=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T18:59:05.974Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: Brawler
Player Level: 100 | Enemy Level: 100
AI Difficulty: contender
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 75" | Enemy Arm: 67"
Practice Mode: true

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 4 thrown, 0 landed (0%)
  cross: 10 thrown, 4 landed (40%) 2 charged 4 body
  leftUppercut: 4 thrown, 2 landed (50%) 1 charged 1 body
  rightUppercut: 3 thrown, 3 landed (100%)
ENEMY:
  jab: 4 thrown, 2 landed (50%) 1 charged
  cross: 9 thrown, 4 landed (44%) 2 body
  leftHook: 6 thrown, 0 landed (0%) 1 charged 4 body
  rightHook: 6 thrown, 1 landed (17%) 3 body
  leftUppercut: 5 thrown, 2 landed (40%) 5 body
  rightUppercut: 3 thrown, 2 landed (67%) 3 body

--- MOVEMENT ---
Player distance traveled: 4021px | Avg dist from enemy: 87px
Time in range: 16.3s | Out of range: 14.2s

--- DEFENSE ---
Player: 17 ducks, 3 full guards, 0 high blocks, 1 low blocks, 3 blocks hit, 1 dodges
Enemy: 34 ducks, 2 full guards, 10 high blocks, 28 low blocks, 6 blocks hit, 3 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 9799/11259
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 9799/11259
      27 | player | defense    | state=duck prev=fullGuard                | (280,260)/(520,259) |  240 | 9799/11259
     107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (271,260)/(520,254) |  249 | 9799/11259
     120 | enemy  | punch      | punch=leftHook feint=false charged=false | (266,260)/(520,253) |  254 | 9799/11257
     133 | enemy  | defense    | state=duck prev=fullGuard                | (266,260)/(520,252) |  254 | 9799/11257
     200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (251,260)/(520,247) |  269 | 9799/11257
     253 | player | defense    | state=none prev=duck                     | (240,260)/(520,244) |  280 | 9799/11257
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (228,260)/(517,241) |  289 | 9799/11257
     347 | enemy  | defense    | state=highBlock prev=duck                | (220,260)/(509,240) |  290 | 9799/11257
     373 | player | defense    | state=duck prev=none                     | (214,260)/(504,239) |  291 | 9799/11258
     413 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (205,260)/(496,238) |  292 | 9799/11258
     506 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (185,260)/(478,239) |  294 | 9799/11259
     547 | enemy  | defense    | state=lowBlock prev=highBlock            | (176,260)/(471,241) |  295 | 9799/11259
