=== HANDZ INPUT RECORDING ===
Date: 2026-03-02T01:00:03.954Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (BoxerPuncher) vs Curtis Shaw (BoxerPuncher)
Player Level: 28 | Enemy Level: 33
AI Difficulty: contender
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 64"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 43 thrown, 7 landed (16%) 3 charged 33 body
  cross: 25 thrown, 4 landed (16%) 3 charged 16 body
  leftHook: 4 thrown, 1 landed (25%) 4 body
  leftUppercut: 13 thrown, 3 landed (23%) 3 charged 12 body
  rightUppercut: 7 thrown, 4 landed (57%) 1 charged 6 body
ENEMY:
  jab: 7 thrown, 1 landed (14%)
  cross: 7 thrown, 1 landed (14%) 1 charged
  leftHook: 6 thrown, 2 landed (33%) 3 body
  rightHook: 4 thrown, 0 landed (0%) 1 body
  leftUppercut: 3 thrown, 1 landed (33%) 3 body
  rightUppercut: 3 thrown, 1 landed (33%) 3 body

--- MOVEMENT ---
Player distance traveled: 7504px | Avg dist from enemy: 74px
Time in range: 31.7s | Out of range: 18.5s

--- DEFENSE ---
Player: 27 ducks, 25 full guards, 7 blocks hit, 9 dodges
Enemy: 22 ducks, 27 full guards, 43 blocks hit, 5 dodges

--- KNOCKDOWNS ---
Player scored: 2 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 902/699
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 902/699
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 902/699
     107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(520,260) |  240 | 902/699
     107 | player | defense    | state=duck prev=none                     | (280,260)/(520,260) |  240 | 902/699
     201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (271,260)/(512,257) |  241 | 902/699
     201 | enemy  | defense    | state=none prev=fullGuard                | (271,260)/(512,257) |  241 | 902/699
     307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (254,260)/(491,250) |  237 | 902/699
     401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (266,260)/(473,253) |  207 | 902/699
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (285,260)/(452,258) |  167 | 902/699
     574 | enemy  | defense    | state=fullGuard prev=none                | (296,260)/(439,261) |  143 | 902/699
     601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (301,260)/(434,262) |  133 | 902/699
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (320,260)/(413,266) |   93 | 902/699
     761 | enemy  | defense    | state=none prev=fullGuard                | (329,260)/(402,268) |   74 | 902/699
     801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (336,260)/(394,269) |   59 | 902/699
     814 | enemy  | defense    | state=duck prev=none                     | (338,260)/(394,270) |   57 | 902/699
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (354,260)/(393,273) |   41 | 902/699
     947 | enemy  | defense    | state=none prev=duck                     | (361,260)/(393,274) |   35 | 902/699
    1001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (371,260)/(397,276) |   31 | 902/699
    1081 | player | punch      | punch=cross feint=undefined charged=fals | (385,259)/(408,278) |   30 | 901/699
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (387,258)/(410,279) |   32 | 901/699
    1107 | enemy  | defense    | state=fullGuard prev=none                | (387,258)/(410,279) |   32 | 901/699
    1148 | enemy  | block      | punch=cross damage=7 blocked=true punchT | (396,258)/(415,282) |   31 | 901/693
    1201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (403,258)/(418,284) |   30 | 902/693
    1308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (421,258)/(426,291) |   34 | 902/693
    1400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (431,265)/(429,300) |   35 | 902/693
    1467 | player | punch      | punch=jab feint=undefined charged=false  | (431,279)/(431,306) |   28 | 901/693
    1508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (431,281)/(432,313) |   32 | 902/693
    1521 | enemy  | block      | punch=jab damage=6 blocked=true punchTra | (431,286)/(433,316) |   30 | 902/687
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (430,296)/(435,328) |   32 | 902/687
    1708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (430,314)/(439,349) |   35 | 901/687
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (430,331)/(443,367) |   38 | 900/687
    1895 | player | punch      | punch=leftUppercut feint=undefined charg | (430,349)/(447,386) |   40 | 896/687
