=== HANDZ INPUT RECORDING ===
Date: 2026-03-02T01:38:14.855Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (BoxerPuncher) vs Dante "Solar Flare" Whitaker (OutBoxer)
Player Level: 39 | Enemy Level: 41
AI Difficulty: contender
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 70"

=== ROUND 1 === (49.3s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 27 thrown, 9 landed (33%) 5 charged 26 body
  cross: 27 thrown, 5 landed (19%) 5 charged 22 body
  leftUppercut: 2 thrown, 0 landed (0%) 2 body
  rightUppercut: 10 thrown, 3 landed (30%) 1 charged 9 body
ENEMY:
  jab: 5 thrown, 1 landed (20%) 2 body
  cross: 11 thrown, 0 landed (0%)
  leftHook: 1 thrown, 1 landed (100%) 1 body
  rightHook: 1 thrown, 0 landed (0%)
  leftUppercut: 1 thrown, 1 landed (100%) 1 body

--- MOVEMENT ---
Player distance traveled: 5124px | Avg dist from enemy: 89px
Time in range: 17.8s | Out of range: 18.5s

--- DEFENSE ---
Player: 20 ducks, 5 full guards, 1 blocks hit, 12 dodges
Enemy: 13 ducks, 17 full guards, 28 blocks hit, 1 dodges

--- KNOCKDOWNS ---
Player scored: 2 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1187/837
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1187/837
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1187/837
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,260) |  240 | 1187/837
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,263) |  240 | 1187/837
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,270) |  240 | 1187/837
     387 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,275) |  240 | 1187/837
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,276) |  240 | 1187/837
     507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (297,260)/(519,283) |  224 | 1187/837
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (313,260)/(519,289) |  207 | 1187/837
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (332,260)/(505,293) |  176 | 1187/837
     760 | enemy  | defense    | state=fullGuard prev=none                | (342,260)/(494,295) |  156 | 1187/837
     800 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (349,260)/(486,296) |  141 | 1187/837
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (368,260)/(484,303) |  123 | 1187/837
     947 | enemy  | defense    | state=none prev=fullGuard                | (375,260)/(483,305) |  117 | 1187/837
     987 | player | defense    | state=duck prev=none                     | (380,265)/(482,308) |  111 | 1187/837
    1000 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (382,267)/(482,309) |  108 | 1187/837
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (382,286)/(479,315) |  102 | 1187/837
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (388,299)/(464,307) |   77 | 1187/837
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (407,299)/(453,300) |   47 | 1187/837
    1401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (418,299)/(450,294) |   32 | 1187/837
    1427 | enemy  | punch      | punch=cross feint=false charged=false bo | (422,300)/(449,291) |   29 | 1187/835
    1494 | player | dodge      | punch=cross method=duck                  | (427,309)/(447,285) |   31 | 1187/836
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (427,309)/(447,285) |   31 | 1187/836
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (431,309)/(439,279) |   30 | 1187/837
    1601 | player | punch      | punch=jab feint=undefined charged=false  | (432,307)/(438,279) |   29 | 1186/837
    1654 | player | hit        | punch=jab damage=14 crit=false stun=fals | (436,303)/(433,271) |   32 | 1186/823
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (436,296)/(429,265) |   32 | 1187/823
    1787 | enemy  | punch      | punch=rightHook feint=false charged=fals | (433,296)/(422,260) |   38 | 1187/820
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (433,296)/(420,260) |   39 | 1187/820
    1854 | player | dodge      | punch=rightHook method=duck              | (423,293)/(414,256) |   38 | 1187/820
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (418,288)/(411,253) |   35 | 1187/820
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (406,276)/(402,235) |   41 | 1187/820
    2027 | player | punch      | punch=cross feint=undefined charged=fals | (399,276)/(399,230) |   46 | 1185/820
    2054 | enemy  | defense    | state=duck prev=none                     | (396,276)/(397,225) |   51 | 1185/820
    2094 | player | hit        | punch=cross damage=21 crit=false stun=fa | (391,270)/(393,214) |   56 | 1186/800
    2107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (391,270)/(393,208) |   63 | 1186/800
    2201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (379,261)/(388,188) |   73 | 1187/800
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (378,243)/(382,170) |   73 | 1187/800
    2321 | enemy  | punch      | punch=cross feint=false charged=false bo | (373,241)/(381,166) |   75 | 1187/798
    2388 | player | dodge      | punch=cross method=duck                  | (362,239)/(377,156) |   85 | 1187/798
    2401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (362,239)/(377,156) |   85 | 1187/798
    2441 | player | punch      | punch=cross feint=undefined charged=fals | (361,231)/(375,150) |   82 | 1185/798
    2507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (361,226)/(371,140) |   86 | 1185/798
    2507 | player | hit        | punch=cross damage=94 crit=true stun=fal | (361,226)/(370,138) |   88 | 1185/704
    2601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (372,226)/(369,120) |  106 | 1184/704
    2708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (385,218)/(368,120) |   99 | 1182/704
    2801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (377,207)/(367,120) |   87 | 1181/704
    2841 | enemy  | punch      | punch=leftUppercut feint=false charged=f | (370,207)/(367,121) |   87 | 1180/700
    2908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (375,202)/(366,121) |   82 | 1179/700
    2908 | enemy  | hit        | punch=leftUppercut damage=21 crit=false  | (377,200)/(366,121) |   80 | 1158/700
    2921 | player | punch      | punch=jab feint=undefined charged=false  | (379,205)/(366,121) |   85 | 1156/702
    2974 | player | hit        | punch=jab damage=69 crit=true stun=false | (378,202)/(367,123) |   80 | 1155/632
    3001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (376,202)/(368,121) |   81 | 1155/632
    3108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (384,198)/(373,128) |   72 | 1153/632
    3201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (387,190)/(377,134) |   57 | 1150/632
    3255 | player | punch      | punch=jab feint=undefined charged=false  | (384,179)/(379,137) |   43 | 1148/632
    3308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (384,172)/(381,141) |   32 | 1147/632
    3308 | enemy  | block      | punch=jab damage=6 blocked=true punchTra | (384,172)/(382,140) |   32 | 1147/626
    3321 | enemy  | defense    | state=fullGuard prev=duck                | (384,172)/(382,140) |   32 | 1147/626
    3361 | enemy  | punch      | punch=leftHook feint=false charged=false | (376,170)/(384,139) |   32 | 1146/625
    3375 | enemy  | defense    | state=duck prev=fullGuard                | (376,170)/(384,139) |   32 | 1146/625
    3401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (376,165)/(386,137) |   30 | 1145/625
    3428 | enemy  | hit        | punch=leftHook damage=16 crit=false stun | (375,159)/(389,132) |   31 | 1128/625
    3508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (363,159)/(393,126) |   44 | 1126/625
    3588 | player | punch      | punch=cross feint=undefined charged=fals | (355,146)/(398,119) |   50 | 1122/625
    3601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (355,146)/(398,118) |   52 | 1122/625
    3654 | enemy  | block      | punch=cross damage=9 blocked=true punchT | (353,135)/(403,112) |   54 | 1121/616
    3668 | enemy  | defense    | state=fullGuard prev=duck                | (353,135)/(403,112) |   54 | 1121/616
    3708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (354,129)/(405,108) |   55 | 1120/616
    3801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (369,125)/(407,108) |   42 | 1118/616
    3815 | player | charge     | armed=true bars=1                        | (371,125)/(407,109) |   39 | 1118/616
    3828 | player | charge     | armed=true bars=1                        | (373,125)/(406,110) |   36 | 1118/616
    3841 | player | charge     | armed=true bars=1                        | (375,123)/(406,111) |   33 | 1117/616
    3855 | player | charge     | armed=true bars=1                        | (377,122)/(405,112) |   30 | 1117/616
    3868 | player | charge     | armed=true bars=1                        | (376,121)/(407,112) |   32 | 1117/616
    3881 | player | charge     | armed=true bars=1                        | (377,119)/(408,113) |   32 | 1116/616
    3895 | player | charge     | armed=true bars=1                        | (377,117)/(408,114) |   31 | 1116/616
    3908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (377,115)/(409,114) |   32 | 1116/616
    3908 | player | charge     | armed=true bars=1                        | (377,115)/(409,114) |   32 | 1116/616
    3921 | player | defense    | state=none prev=duck                     | (377,114)/(410,114) |   33 | 1116/616
    3921 | player | charge     | armed=true bars=1                        | (377,114)/(410,114) |   33 | 1116/616
    3935 | player | charge     | armed=true bars=1                        | (376,115)/(412,114) |   36 | 1116/616
    3948 | player | charge     | armed=true bars=1                        | (374,116)/(413,114) |   39 | 1116/616
    3962 | player | charge     | armed=true bars=1                        | (372,117)/(414,113) |   42 | 1116/616
    3975 | player | charge     | armed=true bars=1                        | (370,118)/(416,113) |   46 | 1116/616
    3988 | player | defense    | state=duck prev=none                     | (368,120)/(417,113) |   49 | 1116/616
    3988 | player | charge     | armed=true bars=1                        | (368,120)/(417,113) |   49 | 1116/616
    4001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (368,120)/(419,113) |   51 | 1116/616
    4001 | player | charge     | armed=true bars=1                        | (368,120)/(419,113) |   51 | 1116/616
    4015 | player | charge     | armed=true bars=1                        | (368,120)/(420,113) |   52 | 1116/616
    4095 | player | punch      | punch=cross feint=undefined charged=fals | (382,120)/(427,117) |   45 | 1112/616
    4108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (382,120)/(428,118) |   46 | 1112/616
    4161 | enemy  | block      | punch=cross damage=8 blocked=true punchT | (394,120)/(434,121) |   40 | 1112/608
    4202 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (399,120)/(437,123) |   38 | 1114/608
    4308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (404,120)/(444,128) |   41 | 1114/608
    4402 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (392,120)/(452,132) |   62 | 1114/608
    4442 | enemy  | punch      | punch=cross feint=false charged=false bo | (401,120)/(457,135) |   57 | 1114/607
    4455 | player | punch      | punch=jab feint=undefined charged=false  | (404,120)/(457,135) |   55 | 1112/607
    4508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (409,123)/(461,138) |   54 | 1112/607
    4508 | enemy  | block      | punch=jab damage=9 blocked=true punchTra | (411,125)/(462,138) |   53 | 1112/597
    4508 | player | dodge      | punch=cross method=duck                  | (411,125)/(462,138) |   53 | 1113/597
