=== HANDZ INPUT RECORDING ===
Date: 2026-03-03T23:42:28.438Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (Brawler) vs Jamal "Oblivion Hook" Pierce (Swarmer)
Player Level: 4 | Enemy Level: 4
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 70"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 32 thrown, 8 landed (25%) 4 charged 28 body
  cross: 26 thrown, 7 landed (27%) 1 charged 18 body
  leftUppercut: 7 thrown, 4 landed (57%) 5 body
  rightUppercut: 6 thrown, 2 landed (33%) 6 body
ENEMY:
  jab: 13 thrown, 2 landed (15%) 1 charged
  cross: 7 thrown, 0 landed (0%) 1 body
  leftHook: 4 thrown, 1 landed (25%) 3 body
  rightHook: 8 thrown, 2 landed (25%) 1 charged 2 body
  leftUppercut: 12 thrown, 9 landed (75%) 1 charged 10 body
  rightUppercut: 3 thrown, 1 landed (33%) 3 body

--- MOVEMENT ---
Player distance traveled: 7005px | Avg dist from enemy: 76px
Time in range: 38.4s | Out of range: 21.5s

--- DEFENSE ---
Player: 47 ducks, 41 full guards, 6 blocks hit, 15 dodges
Enemy: 78 ducks, 86 full guards, 28 blocks hit, 4 dodges

--- KNOCKDOWNS ---
Player scored: 1 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 323/382
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 323/382
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 323/382
      53 | player | defense    | state=duck prev=none                     | (280,260)/(520,260) |  240 | 323/382
     106 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(509,255) |  230 | 323/382
     200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(491,250) |  211 | 323/382
     239 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(483,248) |  204 | 323/382
     293 | enemy  | defense    | state=fullGuard prev=duck                | (280,260)/(473,246) |  193 | 323/382
     307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(470,245) |  191 | 323/382
     347 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(462,243) |  183 | 323/382
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(452,241) |  173 | 323/382
     453 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(441,239) |  162 | 323/382
     506 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(431,237) |  152 | 323/382
     506 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(431,237) |  152 | 323/382
     613 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(410,235) |  132 | 323/382
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(391,233) |  115 | 323/382
     774 | enemy  | defense    | state=duck prev=none                     | (280,260)/(378,232) |  102 | 323/382
     814 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(370,232) |   95 | 323/382
     827 | enemy  | defense    | state=fullGuard prev=duck                | (280,260)/(368,232) |   92 | 323/382
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(361,228) |   87 | 323/382
    1001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(360,224) |   87 | 323/382
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(358,219) |   88 | 323/382
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(357,215) |   89 | 323/382
