=== HANDZ INPUT RECORDING ===
Date: 2026-03-04T01:58:13.446Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Wolfgang "Superman" Aruzenai Jr. (BoxerPuncher)
Player Level: 100 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 10 thrown, 2 landed (20%) 9 body
  cross: 42 thrown, 9 landed (21%) 1 charged 38 body
  leftUppercut: 5 thrown, 1 landed (20%) 5 body
  rightUppercut: 20 thrown, 6 landed (30%) 13 body
ENEMY:
  jab: 5 thrown, 0 landed (0%)
  cross: 14 thrown, 3 landed (21%)
  leftHook: 11 thrown, 1 landed (9%) 7 body
  rightHook: 7 thrown, 1 landed (14%) 4 body
  leftUppercut: 10 thrown, 3 landed (30%) 1 charged 10 body
  rightUppercut: 5 thrown, 3 landed (60%) 5 body

--- MOVEMENT ---
Player distance traveled: 3514px | Avg dist from enemy: 94px
Time in range: 14.2s | Out of range: 16.3s

--- DEFENSE ---
Player: 6 ducks, 5 full guards, 0 blocks hit, 14 dodges
Enemy: 58 ducks, 54 full guards, 21 blocks hit, 1 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/2500
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/2500
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 2500/2500
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,261) |  240 | 2500/2500
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,262) |  240 | 2500/2500
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,264) |  240 | 2500/2500
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,265) |  240 | 2500/2500
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,265) |  240 | 2500/2500
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,266) |  240 | 2500/2500
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,267) |  240 | 2500/2500
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,268) |  240 | 2500/2500
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,269) |  240 | 2500/2500
     174 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,271) |  240 | 2500/2500
     174 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,271) |  240 | 2500/2500
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,272) |  240 | 2500/2500
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,273) |  240 | 2500/2500
     200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,273) |  240 | 2500/2500
     214 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,274) |  240 | 2500/2500
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,275) |  240 | 2500/2500
     227 | enemy  | defense    | state=duck prev=none                     | (280,260)/(520,275) |  240 | 2500/2500
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,276) |  240 | 2500/2500
     254 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,278) |  240 | 2500/2500
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,279) |  240 | 2500/2500
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,280) |  240 | 2500/2500
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,281) |  240 | 2500/2500
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,282) |  240 | 2500/2500
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(519,282) |  240 | 2500/2500
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,283) |  240 | 2500/2500
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,285) |  240 | 2500/2500
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,286) |  240 | 2500/2500
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,287) |  240 | 2500/2500
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(519,288) |  240 | 2500/2500
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(516,289) |  238 | 2500/2500
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(513,290) |  235 | 2500/2500
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(513,290) |  235 | 2500/2500
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(510,291) |  232 | 2500/2500
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(508,291) |  230 | 2500/2500
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,293) |  230 | 2500/2500
     440 | enemy  | defense    | state=none prev=duck                     | (280,260)/(508,293) |  230 | 2500/2500
     454 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(507,294) |  230 | 2500/2500
