=== HANDZ INPUT RECORDING ===
Date: 2026-03-06T23:50:29.887Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (BoxerPuncher) vs Enemy (Swarmer)
Player Level: 3 | Enemy Level: 3
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 60"

=== ROUND 1 === (28.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 13 thrown, 1 landed (8%) 2 charged 9 body
  cross: 17 thrown, 6 landed (35%) 1 charged 11 body
  leftHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 4 thrown, 4 landed (100%) 2 body
  rightUppercut: 2 thrown, 1 landed (50%) 1 body
ENEMY:
  jab: 5 thrown, 1 landed (20%) 1 body
  cross: 3 thrown, 0 landed (0%)
  leftHook: 1 thrown, 0 landed (0%) 1 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 1 thrown, 0 landed (0%) 1 body
  rightUppercut: 1 thrown, 0 landed (0%)

--- MOVEMENT ---
Player distance traveled: 3354px | Avg dist from enemy: 78px
Time in range: 19.1s | Out of range: 9.7s

--- DEFENSE ---
Player: 4 ducks, 5 full guards, 0 blocks hit, 6 dodges
Enemy: 12 ducks, 17 full guards, 20 blocks hit, 3 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 295/293
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 295/293
      26 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
      26 | player | defense    | state=duck prev=fullGuard                | (280,260)/(520,260) |  240 | 295/293
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
      66 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 295/293
     107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(520,260) |  240 | 295/293
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (282,260)/(520,260) |  238 | 295/293
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (284,260)/(520,260) |  236 | 295/293
     146 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (287,260)/(520,260) |  233 | 295/293
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (289,260)/(520,260) |  231 | 295/293
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (291,260)/(520,260) |  229 | 295/293
     186 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (293,260)/(520,260) |  227 | 295/293
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (295,260)/(520,260) |  225 | 295/293
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (297,260)/(520,260) |  223 | 295/293
     213 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (297,260)/(520,260) |  223 | 295/293
     226 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (299,260)/(520,260) |  221 | 295/293
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (302,260)/(520,260) |  218 | 295/293
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (304,260)/(517,261) |  214 | 295/293
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (306,260)/(515,261) |  209 | 295/293
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (308,260)/(512,262) |  204 | 295/293
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (310,260)/(510,262) |  200 | 295/293
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (313,260)/(507,263) |  195 | 295/293
     307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (313,260)/(507,263) |  195 | 295/293
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (315,260)/(505,263) |  190 | 295/293
     333 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (317,260)/(502,264) |  186 | 295/293
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (319,260)/(500,264) |  181 | 295/293
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (321,260)/(497,265) |  176 | 295/293
     373 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (323,260)/(495,266) |  172 | 295/293
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (326,260)/(492,266) |  167 | 295/293
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (328,260)/(490,267) |  162 | 295/293
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (328,260)/(490,267) |  162 | 295/293
     413 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (330,260)/(487,267) |  158 | 295/293
     426 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (332,260)/(485,268) |  153 | 295/293
     426 | enemy  | defense    | state=none prev=fullGuard                | (332,260)/(485,268) |  153 | 295/293
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (334,260)/(482,268) |  149 | 295/293
     453 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (336,260)/(480,269) |  144 | 295/293
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (339,260)/(477,269) |  139 | 295/293
     479 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (341,260)/(475,269) |  135 | 295/293
     493 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (343,260)/(473,270) |  130 | 295/293
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (345,260)/(470,270) |  125 | 295/293
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (345,260)/(470,270) |  125 | 295/293
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (347,260)/(467,270) |  121 | 295/293
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (349,260)/(465,270) |  116 | 295/293
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (352,260)/(462,270) |  111 | 295/293
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (354,260)/(460,270) |  107 | 295/293
     573 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (356,260)/(457,270) |  102 | 295/293
     587 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (358,260)/(455,271) |   98 | 295/293
     600 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (360,260)/(452,271) |   93 | 295/293
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (360,260)/(452,271) |   93 | 295/293
     614 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (362,260)/(450,271) |   88 | 295/293
     627 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (365,260)/(447,271) |   84 | 295/293
     640 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (367,260)/(445,271) |   79 | 295/293
     654 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (369,260)/(443,271) |   74 | 295/293
     667 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (371,260)/(440,271) |   70 | 295/293
     679 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (373,260)/(438,271) |   65 | 295/293
     693 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (375,260)/(435,272) |   61 | 295/293
     706 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (377,260)/(433,272) |   56 | 295/293
     706 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (377,260)/(433,272) |   56 | 295/293
     720 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (380,260)/(432,272) |   54 | 295/293
     733 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (382,260)/(431,271) |   51 | 295/293
     746 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (384,260)/(430,271) |   48 | 295/293
     760 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (386,260)/(430,271) |   45 | 295/293
     774 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (388,260)/(429,271) |   42 | 295/293
