=== HANDZ INPUT RECORDING ===
Date: 2026-07-22T22:34:59.807Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA Drilla (BoxerPuncher) vs Enemy (OutBoxer)
Player Level: 81 | Enemy Level: 81
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 63"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 17 thrown, 6 landed (35%) 11 body
  cross: 68 thrown, 26 landed (38%) 7 charged 56 body
  leftHook: 10 thrown, 3 landed (30%) 5 body
  rightHook: 30 thrown, 9 landed (30%) 1 charged 22 body
  leftUppercut: 2 thrown, 1 landed (50%) 2 body
  rightUppercut: 10 thrown, 1 landed (10%) 10 body
ENEMY:
  jab: 20 thrown, 2 landed (10%) 1 body
  cross: 16 thrown, 2 landed (13%) 1 body
  leftHook: 29 thrown, 3 landed (10%) 1 charged 21 body
  rightHook: 36 thrown, 6 landed (17%) 24 body
  leftUppercut: 11 thrown, 3 landed (27%) 1 charged 7 body
  rightUppercut: 6 thrown, 0 landed (0%) 3 body

--- MOVEMENT ---
Player distance traveled: 7280px | Avg dist from enemy: 96px
Time in range: 22.3s | Out of range: 37.7s

--- DEFENSE ---
Player: 40 ducks, 51 full guards, 10 blocks hit, 15 dodges
Enemy: 85 ducks, 99 full guards, 34 blocks hit, 11 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2849/5247
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2849/5247
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2849/5247
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2849/5247
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 2849/5247
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2849/5247
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2849/5247
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,259) |  240 | 2849/5247
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,258) |  240 | 2849/5247
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,257) |  240 | 2849/5247
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,256) |  240 | 2849/5247
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,256) |  240 | 2849/5247
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,255) |  240 | 2849/5247
