=== HANDZ INPUT RECORDING ===
Date: 2026-07-22T22:41:14.266Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA Drilla (BoxerPuncher) vs Ruslan "Hammer" Fedorov (BoxerPuncher)
Player Level: 82 | Enemy Level: 82
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 74"

=== ROUND 1 === (160.4s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 166 thrown, 68 landed (41%) 21 charged 149 body
  cross: 72 thrown, 26 landed (36%) 2 charged 53 body
  leftHook: 13 thrown, 3 landed (23%) 10 body
  rightHook: 23 thrown, 5 landed (22%) 1 charged 16 body
  leftUppercut: 20 thrown, 8 landed (40%) 18 body
  rightUppercut: 11 thrown, 5 landed (45%) 10 body
ENEMY:
  jab: 32 thrown, 1 landed (3%) 1 charged 2 body
  cross: 38 thrown, 6 landed (16%) 1 charged 9 body
  leftHook: 65 thrown, 9 landed (14%) 49 body
  rightHook: 49 thrown, 5 landed (10%) 35 body
  leftUppercut: 11 thrown, 2 landed (18%) 8 body
  rightUppercut: 9 thrown, 3 landed (33%) 7 body

--- MOVEMENT ---
Player distance traveled: 16249px | Avg dist from enemy: 107px
Time in range: 45.8s | Out of range: 98.6s

--- DEFENSE ---
Player: 89 ducks, 96 full guards, 21 blocks hit, 48 dodges
Enemy: 141 ducks, 161 full guards, 76 blocks hit, 24 dodges

--- KNOCKDOWNS ---
Player scored: 4 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3459/4595
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3459/4595
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3459/4595
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3459/4595
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3459/4595
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3459/4595
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3459/4595
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 3459/4595
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,258) |  236 | 3459/4595
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,258) |  235 | 3459/4595
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,257) |  233 | 3459/4595
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(513,257) |  233 | 3459/4595
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(511,256) |  231 | 3459/4595
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(509,256) |  229 | 3459/4595
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(507,255) |  228 | 3459/4595
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(506,255) |  226 | 3459/4595
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(504,254) |  224 | 3459/4595
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(502,254) |  222 | 3459/4595
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(500,253) |  220 | 3459/4595
     200 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(500,253) |  220 | 3459/4595
     200 | player | defense    | state=fullGuard prev=none                | (280,260)/(500,253) |  220 | 3459/4595
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(499,253) |  219 | 3459/4595
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(497,252) |  217 | 3459/4595
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(495,252) |  215 | 3459/4595
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(493,251) |  213 | 3459/4595
