=== HANDZ INPUT RECORDING ===
Date: 2026-08-03T22:48:07.369Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Ryan Benson (OutBoxer)
Player Level: 31 | Enemy Level: 30
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 61"

=== ROUND 1 === (89.6s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 3 thrown, 1 landed (33%) 3 body
  cross: 61 thrown, 22 landed (36%) 2 charged 59 body
  leftHook: 35 thrown, 12 landed (34%) 34 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 6 thrown, 1 landed (17%) 3 charged 6 body
  rightUppercut: 3 thrown, 1 landed (33%) 1 charged 3 body
ENEMY:
  jab: 21 thrown, 3 landed (14%) 2 body
  cross: 24 thrown, 0 landed (0%) 3 body
  leftHook: 40 thrown, 9 landed (23%) 31 body
  rightHook: 26 thrown, 0 landed (0%) 17 body
  leftUppercut: 14 thrown, 0 landed (0%) 13 body
  rightUppercut: 6 thrown, 1 landed (17%) 6 body

--- MOVEMENT ---
Player distance traveled: 9160px | Avg dist from enemy: 105px
Time in range: 24.3s | Out of range: 50.9s

--- DEFENSE ---
Player: 40 ducks, 68 full guards, 9 blocks hit, 25 dodges
Enemy: 92 ducks, 101 full guards, 24 blocks hit, 2 dodges

--- KNOCKDOWNS ---
Player scored: 4 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1056/2009
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1056/2009
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1056/2009
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1056/2009
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1056/2009
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1056/2009
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1056/2009
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 1056/2009
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(518,259) |  238 | 1056/2009
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,258) |  235 | 1056/2009
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,257) |  233 | 1056/2009
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,256) |  230 | 1056/2009
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(510,256) |  230 | 1056/2009
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(508,255) |  228 | 1056/2009
     120 | enemy  | defense    | state=duck prev=none                     | (280,260)/(508,255) |  228 | 1056/2009
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(505,254) |  225 | 1056/2009
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(503,253) |  223 | 1056/2009
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(500,253) |  220 | 1056/2009
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(498,252) |  218 | 1056/2009
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(495,251) |  215 | 1056/2009
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(493,251) |  213 | 1056/2009
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(490,250) |  211 | 1056/2009
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(490,250) |  211 | 1056/2009
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(488,249) |  208 | 1056/2009
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(485,249) |  206 | 1056/2009
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(483,248) |  203 | 1056/2009
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(480,248) |  201 | 1056/2009
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(478,247) |  198 | 1056/2009
     294 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(475,246) |  196 | 1056/2009
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(473,246) |  193 | 1056/2009
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(473,246) |  193 | 1056/2009
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(470,245) |  191 | 1056/2009
     333 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(468,245) |  189 | 1056/2009
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(466,244) |  186 | 1056/2009
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(463,244) |  184 | 1056/2009
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(461,243) |  181 | 1056/2009
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(458,243) |  179 | 1056/2009
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(456,242) |  177 | 1056/2009
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(456,242) |  177 | 1056/2009
     413 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(453,242) |  174 | 1056/2009
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(451,241) |  172 | 1056/2009
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(448,241) |  169 | 1056/2009
     440 | enemy  | defense    | state=fullGuard prev=duck                | (280,260)/(448,241) |  169 | 1056/2009
     454 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(446,240) |  167 | 1056/2009
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(443,240) |  165 | 1056/2009
     480 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(441,239) |  162 | 1056/2009
     480 | player | defense    | state=fullGuard prev=none                | (280,260)/(441,239) |  162 | 1056/2009
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(438,239) |  160 | 1056/2009
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(436,238) |  157 | 1056/2009
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(436,238) |  157 | 1056/2009
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(433,238) |  155 | 1056/2009
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(431,238) |  153 | 1056/2009
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(430,238) |  151 | 1056/2009
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(428,238) |  150 | 1056/2009
     574 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(427,238) |  149 | 1056/2009
     574 | player | defense    | state=none prev=fullGuard                | (280,260)/(427,238) |  149 | 1056/2009
     574 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(427,238) |  149 | 1056/2009
     587 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(426,238) |  148 | 1056/2009
     600 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(425,238) |  146 | 1056/2009
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(425,238) |  146 | 1056/2009
     614 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(423,239) |  145 | 1056/2009
     627 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(422,239) |  144 | 1056/2009
