=== HANDZ INPUT RECORDING ===
Date: 2026-08-05T21:46:14.694Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Brandon Fields (Brawler)
Player Level: 37 | Enemy Level: 40
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 62"

=== ROUND 1 === (83.2s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 8 thrown, 1 landed (13%) 2 body
  cross: 45 thrown, 15 landed (33%) 1 charged 30 body
  leftHook: 32 thrown, 5 landed (16%) 17 body
  rightHook: 19 thrown, 4 landed (21%) 7 body
  leftUppercut: 7 thrown, 3 landed (43%) 2 charged 7 body
  rightUppercut: 5 thrown, 2 landed (40%) 2 charged 4 body
ENEMY:
  jab: 26 thrown, 1 landed (4%) 1 charged 3 body
  cross: 31 thrown, 3 landed (10%) 8 body
  leftHook: 26 thrown, 1 landed (4%) 1 charged 18 body
  rightHook: 29 thrown, 4 landed (14%) 2 charged 19 body
  leftUppercut: 11 thrown, 1 landed (9%) 8 body
  rightUppercut: 2 thrown, 0 landed (0%) 2 body

--- MOVEMENT ---
Player distance traveled: 7413px | Avg dist from enemy: 105px
Time in range: 23.6s | Out of range: 43.3s

--- DEFENSE ---
Player: 32 ducks, 65 full guards, 19 blocks hit, 17 dodges
Enemy: 80 ducks, 93 full guards, 10 blocks hit, 23 dodges

--- KNOCKDOWNS ---
Player scored: 3 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1430/2564
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1430/2564
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1430/2564
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1430/2564
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1430/2564
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1430/2564
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1430/2564
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,261) |  238 | 1430/2564
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(518,261) |  238 | 1430/2564
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,262) |  236 | 1430/2564
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,263) |  234 | 1430/2564
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,264) |  232 | 1430/2564
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(512,264) |  232 | 1430/2564
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,264) |  230 | 1430/2564
     120 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(510,264) |  230 | 1430/2564
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,265) |  228 | 1430/2564
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(506,265) |  226 | 1430/2564
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(503,266) |  224 | 1430/2564
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(501,267) |  221 | 1430/2564
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(499,267) |  219 | 1430/2564
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(497,268) |  217 | 1430/2564
     200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(497,268) |  217 | 1430/2564
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(495,268) |  215 | 1430/2564
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(493,269) |  213 | 1430/2564
     227 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(493,269) |  213 | 1430/2564
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(491,269) |  211 | 1430/2564
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(489,270) |  209 | 1430/2564
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(487,270) |  207 | 1430/2564
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(485,271) |  205 | 1430/2564
