=== HANDZ INPUT RECORDING ===
Date: 2026-08-05T21:51:48.175Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Evan Brooks (Swarmer)
Player Level: 39 | Enemy Level: 42
AI Difficulty: elite
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 67"

=== ROUND 1 === (32.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 1 thrown, 0 landed (0%) 1 body
  cross: 15 thrown, 6 landed (40%) 2 charged 15 body
  leftHook: 11 thrown, 4 landed (36%) 1 charged 11 body
  leftUppercut: 5 thrown, 2 landed (40%) 1 charged 5 body
  rightUppercut: 4 thrown, 1 landed (25%) 3 body
ENEMY:
  jab: 7 thrown, 0 landed (0%) 1 body
  cross: 6 thrown, 0 landed (0%) 2 body
  leftHook: 5 thrown, 1 landed (20%) 2 body
  rightHook: 5 thrown, 1 landed (20%) 4 body
  leftUppercut: 7 thrown, 0 landed (0%) 4 body
  rightUppercut: 7 thrown, 0 landed (0%) 5 body

--- MOVEMENT ---
Player distance traveled: 2469px | Avg dist from enemy: 101px
Time in range: 6.6s | Out of range: 12.8s

--- DEFENSE ---
Player: 12 ducks, 15 full guards, 1 blocks hit, 10 dodges
Enemy: 27 ducks, 36 full guards, 8 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 2 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1498/1307
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1498/1307
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1498/1307
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1498/1307
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 1498/1307
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(518,259) |  238 | 1498/1307
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,258) |  235 | 1498/1307
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,257) |  233 | 1498/1307
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,256) |  230 | 1498/1307
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,255) |  228 | 1498/1307
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(505,254) |  225 | 1498/1307
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(503,253) |  223 | 1498/1307
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(500,253) |  220 | 1498/1307
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(498,252) |  218 | 1498/1307
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(498,252) |  218 | 1498/1307
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(495,252) |  215 | 1498/1307
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(493,251) |  213 | 1498/1307
     240 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(493,251) |  213 | 1498/1307
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(490,251) |  210 | 1498/1307
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(488,250) |  208 | 1498/1307
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(485,250) |  206 | 1498/1307
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(483,249) |  203 | 1498/1307
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(480,249) |  201 | 1498/1307
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(480,249) |  201 | 1498/1307
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(478,248) |  198 | 1498/1307
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(475,248) |  196 | 1498/1307
     346 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(473,247) |  193 | 1498/1307
     346 | enemy  | defense    | state=duck prev=none                     | (280,260)/(473,247) |  193 | 1498/1307
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(471,247) |  191 | 1498/1307
