=== HANDZ INPUT RECORDING ===
Date: 2026-08-05T21:57:42.214Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Jordan Lewis (Brawler)
Player Level: 41 | Enemy Level: 44
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 75"

=== ROUND 1 === (42.3s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 1 thrown, 1 landed (100%) 1 body
  cross: 31 thrown, 16 landed (52%) 19 body
  leftHook: 19 thrown, 6 landed (32%) 1 charged 11 body
  rightHook: 5 thrown, 0 landed (0%) 4 body
  leftUppercut: 2 thrown, 2 landed (100%) 1 charged 2 body
  rightUppercut: 4 thrown, 0 landed (0%) 2 charged 4 body
ENEMY:
  jab: 15 thrown, 1 landed (7%) 2 body
  cross: 14 thrown, 2 landed (14%)
  leftHook: 17 thrown, 1 landed (6%) 2 charged 15 body
  rightHook: 13 thrown, 3 landed (23%) 9 body
  leftUppercut: 8 thrown, 1 landed (13%) 7 body
  rightUppercut: 6 thrown, 1 landed (17%) 5 body

--- MOVEMENT ---
Player distance traveled: 4605px | Avg dist from enemy: 97px
Time in range: 13.2s | Out of range: 19.9s

--- DEFENSE ---
Player: 21 ducks, 35 full guards, 14 blocks hit, 15 dodges
Enemy: 39 ducks, 51 full guards, 7 blocks hit, 12 dodges

--- KNOCKDOWNS ---
Player scored: 2 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1562/2758
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1562/2758
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1562/2758
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1562/2758
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1562/2758
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1562/2758
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1562/2758
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 1562/2758
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,258) |  236 | 1562/2758
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,257) |  234 | 1562/2758
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,256) |  232 | 1562/2758
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(512,256) |  232 | 1562/2758
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,256) |  230 | 1562/2758
