=== HANDZ INPUT RECORDING ===
Date: 2026-08-06T23:23:57.976Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Enemy (Brawler)
Player Level: 57 | Enemy Level: 57
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 74"

=== ROUND 1 === (33.3s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 4 thrown, 2 landed (50%) 3 body
  cross: 14 thrown, 4 landed (29%) 5 body
  leftHook: 15 thrown, 3 landed (20%) 6 body
  rightHook: 18 thrown, 6 landed (33%) 11 body
  leftUppercut: 13 thrown, 2 landed (15%) 1 charged 3 body
  rightUppercut: 9 thrown, 3 landed (33%) 1 charged 5 body
ENEMY:
  jab: 16 thrown, 1 landed (6%) 1 body
  cross: 18 thrown, 0 landed (0%) 2 body
  leftHook: 15 thrown, 6 landed (40%) 12 body
  rightHook: 16 thrown, 3 landed (19%) 5 body
  leftUppercut: 3 thrown, 0 landed (0%) 2 body
  rightUppercut: 6 thrown, 0 landed (0%) 6 body

--- MOVEMENT ---
Player distance traveled: 4456px | Avg dist from enemy: 86px
Time in range: 16.5s | Out of range: 16.7s

--- DEFENSE ---
Player: 15 ducks, 32 full guards, 30 blocks hit, 9 dodges
Enemy: 44 ducks, 61 full guards, 19 blocks hit, 8 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3123/6104
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3123/6104
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3123/6104
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3123/6104
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3123/6104
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3123/6104
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3123/6104
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 3123/6104
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,258) |  236 | 3123/6104
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,257) |  234 | 3123/6104
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,256) |  232 | 3123/6104
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(512,256) |  232 | 3123/6104
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,256) |  230 | 3123/6104
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,255) |  228 | 3123/6104
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(505,254) |  225 | 3123/6104
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(503,254) |  223 | 3123/6104
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(501,253) |  221 | 3123/6104
     173 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(501,253) |  221 | 3123/6104
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(499,253) |  219 | 3123/6104
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(497,252) |  217 | 3123/6104
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(495,252) |  215 | 3123/6104
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(495,252) |  215 | 3123/6104
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(493,251) |  213 | 3123/6104
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(491,251) |  211 | 3123/6104
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(489,250) |  209 | 3123/6104
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(487,249) |  207 | 3123/6104
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(485,249) |  205 | 3123/6104
     280 | enemy  | defense    | state=fullGuard prev=duck                | (280,260)/(485,249) |  205 | 3123/6104
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(483,248) |  203 | 3123/6104
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(481,248) |  201 | 3123/6104
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(481,248) |  201 | 3123/6104
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(478,247) |  199 | 3123/6104
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(476,247) |  197 | 3123/6104
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(474,246) |  195 | 3123/6104
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(472,246) |  193 | 3123/6104
     373 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(470,245) |  191 | 3123/6104
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(468,245) |  189 | 3123/6104
     387 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(468,245) |  189 | 3123/6104
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(466,244) |  186 | 3123/6104
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(466,244) |  186 | 3123/6104
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(464,244) |  184 | 3123/6104
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(462,244) |  182 | 3123/6104
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(460,243) |  180 | 3123/6104
     440 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(460,243) |  180 | 3123/6104
     453 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(458,243) |  178 | 3123/6104
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(455,242) |  176 | 3123/6104
     480 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(453,242) |  174 | 3123/6104
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(451,241) |  172 | 3123/6104
