=== HANDZ INPUT RECORDING ===
Date: 2026-08-06T23:57:19.995Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Patrick "Stone" O'Connor (OutBoxer)
Player Level: 61 | Enemy Level: 64
AI Difficulty: elite
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 58"

=== ROUND 1 === (19.8s)

--- PUNCH SUMMARY ---
PLAYER:
  leftHook: 6 thrown, 4 landed (67%) 6 body
  rightHook: 3 thrown, 1 landed (33%) 3 body
  leftUppercut: 6 thrown, 2 landed (33%) 1 charged 6 body
  rightUppercut: 2 thrown, 1 landed (50%) 2 body
ENEMY:
  jab: 4 thrown, 0 landed (0%)
  cross: 2 thrown, 0 landed (0%)
  leftHook: 3 thrown, 0 landed (0%) 1 body
  rightHook: 5 thrown, 0 landed (0%) 2 body
  leftUppercut: 5 thrown, 1 landed (20%) 2 body
  rightUppercut: 3 thrown, 0 landed (0%) 3 body

--- MOVEMENT ---
Player distance traveled: 1106px | Avg dist from enemy: 109px
Time in range: 3.5s | Out of range: 6s

--- DEFENSE ---
Player: 7 ducks, 11 full guards, 0 blocks hit, 4 dodges
Enemy: 12 ducks, 13 full guards, 3 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 2 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3411/1872
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3411/1872
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3411/1872
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3411/1872
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,259) |  240 | 3411/1872
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,259) |  240 | 3411/1872
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,258) |  240 | 3411/1872
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,257) |  240 | 3411/1872
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,256) |  240 | 3411/1872
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,255) |  240 | 3411/1872
     174 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,254) |  240 | 3411/1872
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,253) |  240 | 3411/1872
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,252) |  238 | 3411/1872
     200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(518,252) |  238 | 3411/1872
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,252) |  236 | 3411/1872
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,251) |  233 | 3411/1872
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(511,250) |  231 | 3411/1872
     254 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(509,249) |  229 | 3411/1872
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(506,248) |  227 | 3411/1872
