=== HANDZ INPUT RECORDING ===
Date: 2026-08-07T00:40:43.424Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Tyler Morgan (Swarmer)
Player Level: 61 | Enemy Level: 52
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 74"

=== ROUND 1 === (38.5s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 4 thrown, 3 landed (75%) 3 body
  cross: 20 thrown, 7 landed (35%) 19 body
  leftHook: 13 thrown, 2 landed (15%) 13 body
  leftUppercut: 7 thrown, 2 landed (29%) 3 charged 7 body
  rightUppercut: 2 thrown, 1 landed (50%) 2 body
ENEMY:
  jab: 13 thrown, 0 landed (0%)
  cross: 19 thrown, 2 landed (11%) 1 body
  leftHook: 26 thrown, 0 landed (0%) 20 body
  rightHook: 13 thrown, 1 landed (8%) 8 body
  leftUppercut: 6 thrown, 1 landed (17%) 5 body
  rightUppercut: 3 thrown, 1 landed (33%) 2 body

--- MOVEMENT ---
Player distance traveled: 4270px | Avg dist from enemy: 97px
Time in range: 12.1s | Out of range: 18.3s

--- DEFENSE ---
Player: 20 ducks, 35 full guards, 16 blocks hit, 10 dodges
Enemy: 43 ducks, 51 full guards, 10 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 2 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      12 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3419/6455
      12 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3419/6455
      12 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3419/6455
      26 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3419/6455
      26 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3419/6455
      39 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3419/6455
      52 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3419/6455
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(517,261) |  237 | 3419/6455
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,262) |  235 | 3419/6455
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,263) |  232 | 3419/6455
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,265) |  230 | 3419/6455
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(510,265) |  230 | 3419/6455
