=== HANDZ INPUT RECORDING ===
Date: 2026-08-07T01:05:18.424Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Enemy (Brawler)
Player Level: 70 | Enemy Level: 70
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 68"

=== ROUND 1 === (11.6s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 6 thrown, 2 landed (33%) 5 body
  cross: 7 thrown, 4 landed (57%) 7 body
  leftHook: 3 thrown, 0 landed (0%) 3 body
  rightHook: 5 thrown, 1 landed (20%) 3 body
  leftUppercut: 1 thrown, 1 landed (100%) 1 charged 1 body
ENEMY:
  jab: 9 thrown, 0 landed (0%)
  cross: 7 thrown, 1 landed (14%)
  leftHook: 5 thrown, 0 landed (0%) 4 body
  rightHook: 9 thrown, 1 landed (11%) 4 body
  leftUppercut: 2 thrown, 0 landed (0%) 1 body
  rightUppercut: 3 thrown, 0 landed (0%) 3 body

--- MOVEMENT ---
Player distance traveled: 1198px | Avg dist from enemy: 92px
Time in range: 5.4s | Out of range: 6.1s

--- DEFENSE ---
Player: 6 ducks, 10 full guards, 4 blocks hit, 8 dodges
Enemy: 14 ducks, 19 full guards, 3 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3878/6914
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3878/6914
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3878/6914
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3878/6914
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3878/6914
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3878/6914
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3878/6914
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,261) |  238 | 3878/6914
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(518,261) |  238 | 3878/6914
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,262) |  236 | 3878/6914
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,262) |  234 | 3878/6914
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,263) |  233 | 3878/6914
