=== HANDZ INPUT RECORDING ===
Date: 2026-08-07T01:06:09.394Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Enemy (OutBoxer)
Player Level: 71 | Enemy Level: 71
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 61"

=== ROUND 1 === (30.6s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 13 thrown, 2 landed (15%) 4 body
  cross: 12 thrown, 3 landed (25%) 2 body
  leftHook: 5 thrown, 0 landed (0%) 1 body
  rightHook: 8 thrown, 2 landed (25%) 4 body
  leftUppercut: 3 thrown, 0 landed (0%) 1 charged 3 body
  rightUppercut: 3 thrown, 1 landed (33%) 1 charged 3 body
ENEMY:
  jab: 14 thrown, 0 landed (0%) 1 charged
  cross: 17 thrown, 0 landed (0%) 1 charged 2 body
  leftHook: 17 thrown, 2 landed (12%) 11 body
  rightHook: 24 thrown, 1 landed (4%) 17 body
  leftUppercut: 5 thrown, 0 landed (0%) 4 body
  rightUppercut: 7 thrown, 1 landed (14%) 6 body

--- MOVEMENT ---
Player distance traveled: 3212px | Avg dist from enemy: 78px
Time in range: 17s | Out of range: 13.5s

--- DEFENSE ---
Player: 6 ducks, 20 full guards, 28 blocks hit, 2 dodges
Enemy: 36 ducks, 42 full guards, 11 blocks hit, 12 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3927/6945
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3927/6945
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 3927/6945
      28 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3927/6945
      28 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3927/6945
      41 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3927/6945
      54 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 3927/6945
      54 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 3927/6945
      68 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 3927/6945
      68 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(518,259) |  238 | 3927/6945
      81 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,258) |  235 | 3927/6945
      94 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,257) |  233 | 3927/6945
     108 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,256) |  230 | 3927/6945
     108 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(510,256) |  230 | 3927/6945
     121 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,255) |  228 | 3927/6945
     134 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(505,254) |  225 | 3927/6945
     148 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(503,253) |  223 | 3927/6945
     161 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(500,253) |  220 | 3927/6945
     174 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(498,252) |  218 | 3927/6945
     174 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(498,252) |  218 | 3927/6945
     188 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(495,251) |  215 | 3927/6945
     201 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(493,251) |  213 | 3927/6945
     201 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(493,251) |  213 | 3927/6945
     214 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(490,250) |  210 | 3927/6945
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(488,249) |  208 | 3927/6945
     227 | enemy  | defense    | state=duck prev=none                     | (280,260)/(488,249) |  208 | 3927/6945
     241 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(485,249) |  206 | 3927/6945
     254 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(483,248) |  203 | 3927/6945
     268 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(480,248) |  201 | 3927/6945
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(478,247) |  198 | 3927/6945
     294 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(476,246) |  196 | 3927/6945
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(473,246) |  193 | 3927/6945
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(473,246) |  193 | 3927/6945
     321 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(471,245) |  191 | 3927/6945
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(468,245) |  189 | 3927/6945
     334 | enemy  | defense    | state=none prev=duck                     | (280,260)/(468,245) |  189 | 3927/6945
     348 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(466,244) |  186 | 3927/6945
     361 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(463,244) |  184 | 3927/6945
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(461,243) |  181 | 3927/6945
     388 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(458,243) |  179 | 3927/6945
     388 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(458,243) |  179 | 3927/6945
     401 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(456,242) |  176 | 3927/6945
     401 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(456,242) |  176 | 3927/6945
     401 | player | defense    | state=fullGuard prev=none                | (280,260)/(456,242) |  176 | 3927/6945
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(453,242) |  174 | 3927/6945
     428 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(451,241) |  172 | 3927/6945
     441 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(448,241) |  169 | 3927/6945
     454 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(446,240) |  167 | 3927/6945
     468 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(443,240) |  164 | 3927/6945
     481 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(441,239) |  162 | 3927/6945
     481 | player | defense    | state=none prev=fullGuard                | (280,260)/(441,239) |  162 | 3927/6945
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(438,239) |  160 | 3927/6945
     494 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(438,239) |  160 | 3927/6945
     508 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(436,238) |  157 | 3927/6945
