=== HANDZ INPUT RECORDING ===
Date: 2026-08-11T21:54:43.780Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Enemy (BoxerPuncher)
Player Level: 88 | Enemy Level: 88
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 62"

=== ROUND 1 === (53.3s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 11 thrown, 2 landed (18%) 1 charged 10 body
  cross: 94 thrown, 29 landed (31%) 4 charged 86 body
  leftHook: 16 thrown, 5 landed (31%) 10 body
  rightHook: 24 thrown, 5 landed (21%) 8 body
  leftUppercut: 2 thrown, 0 landed (0%) 2 charged 2 body
  rightUppercut: 1 thrown, 0 landed (0%) 1 charged 1 body
ENEMY:
  jab: 7 thrown, 0 landed (0%) 2 body
  cross: 5 thrown, 0 landed (0%) 3 body
  leftHook: 3 thrown, 0 landed (0%) 1 charged 2 body
  leftUppercut: 3 thrown, 1 landed (33%) 1 body

--- MOVEMENT ---
Player distance traveled: 6651px | Avg dist from enemy: 81px
Time in range: 26.4s | Out of range: 26.8s

--- DEFENSE ---
Player: 20 ducks, 38 full guards, 3 blocks hit, 3 dodges
Enemy: 31 ducks, 41 full guards, 34 blocks hit, 2 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 17709/9329
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 17709/9329
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 17709/9329
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 17709/9329
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 17709/9329
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 17709/9329
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 17709/9329
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(517,261) |  237 | 17709/9329
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,262) |  235 | 17709/9329
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,264) |  232 | 17709/9329
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(509,265) |  229 | 17709/9329
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(509,265) |  229 | 17709/9329
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(507,265) |  227 | 17709/9329
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(504,266) |  224 | 17709/9329
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(501,267) |  222 | 17709/9329
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(499,268) |  219 | 17709/9329
     174 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(496,268) |  216 | 17709/9329
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(494,269) |  214 | 17709/9329
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(491,270) |  211 | 17709/9329
     200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(491,270) |  211 | 17709/9329
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(488,271) |  209 | 17709/9329
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(486,271) |  206 | 17709/9329
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(483,272) |  203 | 17709/9329
     254 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(480,272) |  201 | 17709/9329
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(478,273) |  198 | 17709/9329
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(475,274) |  196 | 17709/9329
     280 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(475,274) |  196 | 17709/9329
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(472,274) |  193 | 17709/9329
     306 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(470,275) |  191 | 17709/9329
     306 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(470,275) |  191 | 17709/9329
     306 | player | defense    | state=fullGuard prev=none                | (280,260)/(470,275) |  191 | 17709/9329
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(467,276) |  188 | 17709/9329
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(464,276) |  185 | 17709/9329
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(462,277) |  183 | 17709/9329
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(459,277) |  180 | 17709/9329
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(457,278) |  177 | 17709/9329
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(454,278) |  175 | 17709/9329
     387 | player | defense    | state=none prev=fullGuard                | (280,260)/(454,278) |  175 | 17709/9329
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(451,279) |  172 | 17709/9329
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(451,279) |  172 | 17709/9329
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(449,279) |  170 | 17709/9329
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(446,280) |  167 | 17709/9329
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(443,280) |  165 | 17709/9329
     454 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(441,281) |  162 | 17709/9329
     454 | player | defense    | state=fullGuard prev=none                | (280,260)/(441,281) |  162 | 17709/9329
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(438,281) |  159 | 17709/9329
     480 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(435,282) |  157 | 17709/9329
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(433,282) |  154 | 17709/9329
     494 | enemy  | defense    | state=none prev=duck                     | (280,260)/(433,282) |  154 | 17709/9329
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(430,283) |  152 | 17709/9329
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(430,283) |  152 | 17709/9329
     507 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(430,283) |  152 | 17709/9329
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(427,283) |  149 | 17709/9329
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(425,284) |  147 | 17709/9329
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(423,283) |  145 | 17709/9329
     547 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(423,283) |  145 | 17709/9329
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(422,283) |  144 | 17709/9329
     573 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(421,283) |  143 | 17709/9329
     586 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(420,283) |  141 | 17709/9329
     600 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(418,282) |  140 | 17709/9329
     600 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(418,282) |  140 | 17709/9329
     600 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(418,282) |  140 | 17709/9329
     614 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (284,260)/(417,282) |  134 | 17709/9329
     627 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (288,260)/(415,282) |  129 | 17709/9329
     640 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (291,260)/(414,282) |  124 | 17709/9329
     654 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (295,260)/(412,282) |  119 | 17709/9329
     667 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (299,260)/(411,281) |  114 | 17709/9329
     680 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (303,260)/(409,281) |  109 | 17709/9329
     694 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (306,260)/(408,281) |  104 | 17709/9329
     707 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (310,260)/(406,280) |   98 | 17709/9329
     707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (310,260)/(406,280) |   98 | 17709/9329
     707 | enemy  | defense    | state=none prev=fullGuard                | (310,260)/(406,280) |   98 | 17709/9329
     720 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (314,260)/(405,280) |   93 | 17709/9329
     734 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (318,260)/(403,280) |   88 | 17709/9329
     747 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (321,260)/(402,279) |   83 | 17709/9329
     760 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (321,260)/(400,279) |   81 | 17709/9329
     774 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (321,260)/(399,279) |   80 | 17709/9329
     787 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (321,260)/(397,278) |   78 | 17709/9329
     800 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (321,260)/(396,278) |   76 | 17709/9329
     800 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (321,260)/(396,278) |   76 | 17709/9329
     800 | enemy  | defense    | state=fullGuard prev=none                | (321,260)/(396,278) |   76 | 17709/9329
     814 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (321,260)/(394,277) |   75 | 17709/9329
     827 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (318,260)/(392,277) |   76 | 17709/9329
     840 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (314,260)/(391,277) |   78 | 17709/9329
     854 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (310,260)/(389,276) |   80 | 17709/9329
     867 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (306,260)/(387,276) |   82 | 17709/9329
     880 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (303,260)/(385,276) |   84 | 17709/9329
     880 | enemy  | defense    | state=duck prev=fullGuard                | (303,260)/(385,276) |   84 | 17709/9329
