=== HANDZ INPUT RECORDING ===
Date: 2026-08-12T22:10:20.581Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Caleb Reeves (Brawler)
Player Level: 113 | Enemy Level: 115
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 65"

=== ROUND 1 === (85.7s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 43 thrown, 26 landed (60%) 1 charged 39 body
  cross: 121 thrown, 63 landed (52%) 20 charged 114 body
  leftHook: 27 thrown, 16 landed (59%) 22 body
  rightHook: 19 thrown, 11 landed (58%) 14 body
  leftUppercut: 9 thrown, 4 landed (44%) 9 body
  rightUppercut: 16 thrown, 6 landed (38%) 2 charged 16 body
ENEMY:
  jab: 15 thrown, 0 landed (0%) 6 body
  cross: 7 thrown, 1 landed (14%) 2 body
  leftHook: 6 thrown, 2 landed (33%) 4 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 3 thrown, 0 landed (0%) 3 body
  rightUppercut: 2 thrown, 0 landed (0%) 1 body

--- MOVEMENT ---
Player distance traveled: 11993px | Avg dist from enemy: 79px
Time in range: 42.8s | Out of range: 35.4s

--- DEFENSE ---
Player: 36 ducks, 54 full guards, 5 blocks hit, 7 dodges
Enemy: 36 ducks, 50 full guards, 38 blocks hit, 1 dodges

--- KNOCKDOWNS ---
Player scored: 1 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 24469/111441
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 24469/111441
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 24469/111441
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 24469/111441
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 24469/111441
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 24469/111441
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 24469/111441
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(517,259) |  237 | 24469/111441
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(517,259) |  237 | 24469/111441
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,258) |  235 | 24469/111441
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,256) |  232 | 24469/111441
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(509,255) |  229 | 24469/111441
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(509,255) |  229 | 24469/111441
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(507,254) |  227 | 24469/111441
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(504,254) |  224 | 24469/111441
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(501,253) |  221 | 24469/111441
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(499,252) |  219 | 24469/111441
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(496,251) |  216 | 24469/111441
     173 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(496,251) |  216 | 24469/111441
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(493,251) |  213 | 24469/111441
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(490,250) |  211 | 24469/111441
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(488,249) |  208 | 24469/111441
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(488,249) |  208 | 24469/111441
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(485,249) |  205 | 24469/111441
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(482,248) |  203 | 24469/111441
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(480,247) |  200 | 24469/111441
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(477,247) |  198 | 24469/111441
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(474,246) |  195 | 24469/111441
     280 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(474,246) |  195 | 24469/111441
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(472,245) |  192 | 24469/111441
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(469,245) |  190 | 24469/111441
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(469,245) |  190 | 24469/111441
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(466,244) |  187 | 24469/111441
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(464,244) |  184 | 24469/111441
     334 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(464,244) |  184 | 24469/111441
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(461,243) |  182 | 24469/111441
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(458,242) |  179 | 24469/111441
     373 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(456,242) |  177 | 24469/111441
     373 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(456,242) |  177 | 24469/111441
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(453,242) |  174 | 24469/111441
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(450,242) |  171 | 24469/111441
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(450,242) |  171 | 24469/111441
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(448,243) |  169 | 24469/111441
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(445,243) |  166 | 24469/111441
