=== HANDZ INPUT RECORDING ===
Date: 2026-08-13T21:00:51.797Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA KILLA (BoxerPuncher) vs Enemy (OutBoxer)
Player Level: 136 | Enemy Level: 136
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 1
Player Arm: 65" | Enemy Arm: 63"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 31 thrown, 12 landed (39%) 1 charged 20 body
  cross: 49 thrown, 11 landed (22%) 21 body
  leftHook: 15 thrown, 2 landed (13%) 8 body
  rightHook: 14 thrown, 6 landed (43%) 11 body
ENEMY:
  jab: 18 thrown, 3 landed (17%) 12 body
  cross: 20 thrown, 0 landed (0%) 1 charged 17 body
  leftHook: 28 thrown, 7 landed (25%) 2 charged 22 body
  rightHook: 5 thrown, 1 landed (20%) 4 body
  leftUppercut: 9 thrown, 1 landed (11%) 9 body
  rightUppercut: 4 thrown, 1 landed (25%) 1 charged 3 body

--- MOVEMENT ---
Player distance traveled: 4085px | Avg dist from enemy: 57px
Time in range: 45.7s | Out of range: 14.3s

--- DEFENSE ---
Player: 15 ducks, 19 full guards, 6 blocks hit, 1 dodges
Enemy: 45 ducks, 41 full guards, 26 blocks hit, 8 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- AI DECISIONS ---
Punches thrown: 94 (75 body, 80%) | Time in range: 57.0s
Power-sway throws: 6, landed 1 (17%) | Sway adapt: 0.00 -> best lvl 3
Timed blocks: 4 armed, 2 connected (50%) | Learnt timing: +124ms
Read of player: punch interval 0.26s | lands from 47px | jab windup 4ms | body bias 0.83
Suppressed offense ticks: 0 | Reflex yielded ticks: 1348
Gas: pulled out of 5 burst(s), offence paused 4.9s

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 38012/18084
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 38012/18084
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 38012/18084
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 38012/18084
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 38012/18084
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 38012/18084
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 38012/18084
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,258) |  240 | 38012/18084
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,256) |  240 | 38012/18084
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,254) |  240 | 38012/18084
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,252) |  240 | 38012/18084
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,252) |  240 | 38012/18084
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,251) |  240 | 38012/18084
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,249) |  240 | 38012/18084
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,247) |  240 | 38012/18084
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,245) |  240 | 38012/18084
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,243) |  240 | 38012/18084
     173 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,243) |  240 | 38012/18084
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,241) |  240 | 38012/18084
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(519,239) |  240 | 38012/18084
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(519,237) |  240 | 38012/18084
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(519,237) |  240 | 38012/18084
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(519,235) |  240 | 38012/18084
     227 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(519,235) |  240 | 38012/18084
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(519,234) |  240 | 38012/18084
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(519,232) |  240 | 38012/18084
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(519,230) |  240 | 38012/18084
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,228) |  237 | 38012/18084
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,227) |  233 | 38012/18084
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(506,226) |  229 | 38012/18084
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(506,226) |  229 | 38012/18084
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(502,224) |  225 | 38012/18084
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(502,222) |  225 | 38012/18084
     334 | player | defense    | state=fullGuard prev=none                | (280,260)/(502,222) |  225 | 38012/18084
     334 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(502,222) |  225 | 38012/18084
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(502,221) |  225 | 38012/18084
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(501,219) |  225 | 38012/18084
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(501,217) |  225 | 38012/18084
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(497,216) |  221 | 38012/18084
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(493,215) |  218 | 38012/18084
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(493,215) |  218 | 38012/18084
     400 | player | defense    | state=none prev=fullGuard                | (280,260)/(493,215) |  218 | 38012/18084
     414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(489,214) |  214 | 38012/18084
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(485,213) |  210 | 38012/18084
     440 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(480,212) |  206 | 38012/18084
     440 | enemy  | defense    | state=none prev=duck                     | (280,260)/(480,212) |  206 | 38012/18084
     454 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(476,211) |  202 | 38012/18084
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(472,210) |  199 | 38012/18084
     467 | player | defense    | state=fullGuard prev=none                | (280,260)/(472,210) |  199 | 38012/18084
     480 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(468,209) |  195 | 38012/18084
     494 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(468,207) |  195 | 38012/18084
     494 | enemy  | defense    | state=duck prev=none                     | (280,260)/(468,207) |  195 | 38012/18084
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(467,205) |  195 | 38012/18084
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(467,205) |  195 | 38012/18084
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(467,203) |  195 | 38012/18084
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(466,202) |  195 | 38012/18084
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(464,202) |  193 | 38012/18084
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(462,203) |  191 | 38012/18084
     574 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(460,203) |  189 | 38012/18084
     587 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(458,204) |  187 | 38012/18084
     600 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(456,205) |  185 | 38012/18084
