=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-03-01T16:26:07.794Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Brett "Chrome Tempest" Reed (OutBoxer)
Player Level: 100 | Enemy Level: 24
AI Difficulty: champion
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  cross: 5 thrown, 2 landed (40%) 3 body
  rightHook: 14 thrown, 5 landed (36%) 11 body
ENEMY:
  cross: 2 thrown, 2 landed (100%)
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 4 thrown, 3 landed (75%) 4 body

--- MOVEMENT ---
Player distance traveled: 5243px | Avg dist from enemy: 88px
Time in range: 12.8s | Out of range: 17.5s

--- DEFENSE ---
Player: 5 ducks, 3 full guards, 0 blocks hit, 0 dodges
Enemy: 6 ducks, 12 full guards, 5 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/773
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/773
      26 | player | defense    | state=duck prev=fullGuard                | (280,260)/(520,260) |  240 | 2500/773
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,261) |  240 | 2500/773
     107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (288,260)/(520,264) |  232 | 2500/773
     120 | enemy  | defense    | state=fullGuard prev=none                | (290,260)/(520,265) |  230 | 2500/773
     213 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (309,260)/(510,271) |  201 | 2500/773
     226 | enemy  | defense    | state=duck prev=fullGuard                | (311,260)/(509,272) |  199 | 2500/773
     280 | enemy  | defense    | state=none prev=duck                     | (321,260)/(509,275) |  188 | 2500/773
     307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (327,260)/(509,277) |  183 | 2500/773
     333 | enemy  | defense    | state=fullGuard prev=none                | (332,260)/(509,279) |  178 | 2500/773
     386 | enemy  | defense    | state=none prev=fullGuard                | (342,260)/(509,281) |  168 | 2500/773
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (345,260)/(509,280) |  165 | 2500/773
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (366,260)/(504,276) |  140 | 2500/773
     547 | enemy  | defense    | state=fullGuard prev=none                | (373,260)/(499,278) |  127 | 2500/773
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (384,260)/(501,282) |  119 | 2500/773
     600 | player | punch      | punch=rightHook feint=undefined charged= | (386,260)/(503,284) |  119 | 2498/773
     706 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (404,260)/(521,285) |  119 | 2499/773
     706 | enemy  | defense    | state=none prev=fullGuard                | (404,260)/(521,285) |  119 | 2499/773
     760 | enemy  | defense    | state=fullGuard prev=none                | (415,260)/(531,285) |  119 | 2500/773
     813 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (425,260)/(541,291) |  120 | 2500/773
     867 | enemy  | defense    | state=none prev=fullGuard                | (436,260)/(550,296) |  120 | 2500/773
     894 | player | punch      | punch=rightHook feint=undefined charged= | (443,260)/(556,296) |  118 | 2498/773
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (443,260)/(558,295) |  120 | 2498/773
    1000 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (462,260)/(575,302) |  121 | 2499/773
    1080 | enemy  | defense    | state=fullGuard prev=none                | (477,260)/(588,304) |  120 | 2500/773
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (482,260)/(585,306) |  113 | 2500/773
    1134 | enemy  | defense    | state=none prev=fullGuard                | (488,260)/(582,308) |  106 | 2500/773
    1186 | enemy  | defense    | state=fullGuard prev=none                | (498,260)/(576,312) |   93 | 2500/773
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (500,260)/(574,313) |   91 | 2500/773
    1294 | player | defense    | state=none prev=duck                     | (519,260)/(569,316) |   75 | 2500/773
    1294 | enemy  | defense    | state=none prev=fullGuard                | (519,260)/(569,316) |   75 | 2500/773
    1306 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (521,260)/(568,316) |   73 | 2500/773
    1321 | enemy  | defense    | state=duck prev=none                     | (524,260)/(568,317) |   72 | 2500/773
    1401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (538,264)/(566,318) |   61 | 2500/773
    1481 | player | defense    | state=duck prev=none                     | (549,275)/(565,318) |   47 | 2500/773
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (553,278)/(565,319) |   42 | 2500/773
    1587 | player | punch      | punch=rightHook feint=undefined charged= | (565,291)/(563,319) |   28 | 2498/773
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (565,289)/(563,320) |   31 | 2498/773
    1654 | player | hit        | punch=rightHook damage=163 crit=true stu | (573,291)/(562,320) |   31 | 2499/610
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (573,299)/(550,328) |   37 | 2500/610
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (571,315)/(543,332) |   32 | 2500/610
    1841 | enemy  | punch      | punch=leftUppercut feint=false charged=f | (563,320)/(538,335) |   30 | 2500/606
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (557,323)/(530,340) |   32 | 2500/606
    1921 | player | punch      | punch=rightHook feint=undefined charged= | (553,326)/(529,341) |   29 | 2498/606
    1987 | player | hit        | punch=rightHook damage=163 crit=true stu | (546,330)/(519,347) |   32 | 2499/444
