=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-03-04T00:21:28.587Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (BoxerPuncher) vs Marvin "Night Engine" Carter (BoxerPuncher)
Player Level: 5 | Enemy Level: 6
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 63"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 33 thrown, 13 landed (39%) 2 charged 23 body
  cross: 31 thrown, 9 landed (29%) 4 charged 22 body
  leftHook: 1 thrown, 0 landed (0%)
  leftUppercut: 3 thrown, 0 landed (0%)
  rightUppercut: 4 thrown, 2 landed (50%) 1 charged 3 body
ENEMY:
  jab: 17 thrown, 0 landed (0%) 2 charged 1 body
  cross: 10 thrown, 0 landed (0%)
  leftHook: 4 thrown, 2 landed (50%) 2 body
  rightHook: 7 thrown, 2 landed (29%) 1 charged 4 body
  leftUppercut: 8 thrown, 7 landed (88%) 5 body
  rightUppercut: 3 thrown, 1 landed (33%) 3 body

--- MOVEMENT ---
Player distance traveled: 8314px | Avg dist from enemy: 90px
Time in range: 32.9s | Out of range: 28s

--- DEFENSE ---
Player: 31 ducks, 26 full guards, 11 blocks hit, 8 dodges
Enemy: 74 ducks, 94 full guards, 30 blocks hit, 4 dodges

--- KNOCKDOWNS ---
Player scored: 1 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 342/436
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 342/436
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 342/436
      26 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 342/436
      26 | player | defense    | state=duck prev=fullGuard                | (280,260)/(520,260) |  240 | 342/436
      39 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 342/436
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 342/436
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(517,261) |  237 | 342/436
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(517,261) |  237 | 342/436
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(515,262) |  235 | 342/436
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(513,263) |  233 | 342/436
     106 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(511,264) |  231 | 342/436
     106 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(511,264) |  231 | 342/436
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(508,265) |  228 | 342/436
     120 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(508,265) |  228 | 342/436
     132 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(506,266) |  226 | 342/436
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(504,266) |  224 | 342/436
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(501,267) |  221 | 342/436
