=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-03-04T01:54:15.480Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Wolfgang "Superman" Aruzenai Jr. (BoxerPuncher)
Player Level: 100 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 8 thrown, 2 landed (25%) 1 charged 5 body
  cross: 19 thrown, 7 landed (37%) 13 body
  leftUppercut: 4 thrown, 0 landed (0%) 1 charged 3 body
  rightUppercut: 2 thrown, 1 landed (50%) 2 body
ENEMY:
  jab: 5 thrown, 0 landed (0%)
  cross: 8 thrown, 0 landed (0%)
  leftHook: 8 thrown, 0 landed (0%) 1 body
  rightHook: 9 thrown, 2 landed (22%) 6 body
  leftUppercut: 4 thrown, 0 landed (0%) 4 body
  rightUppercut: 6 thrown, 0 landed (0%) 6 body

--- MOVEMENT ---
Player distance traveled: 3494px | Avg dist from enemy: 106px
Time in range: 7s | Out of range: 23.7s

--- DEFENSE ---
Player: 15 ducks, 12 full guards, 4 blocks hit, 6 dodges
Enemy: 78 ducks, 90 full guards, 5 blocks hit, 2 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/2500
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/2500
      26 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      26 | player | defense    | state=duck prev=fullGuard                | (280,260)/(520,260) |  240 | 2500/2500
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2500/2500
      66 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,261) |  240 | 2500/2500
      66 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,261) |  240 | 2500/2500
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,262) |  240 | 2500/2500
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,264) |  240 | 2500/2500
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,265) |  240 | 2500/2500
     107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(520,265) |  240 | 2500/2500
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,266) |  240 | 2500/2500
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,267) |  240 | 2500/2500
     146 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,268) |  240 | 2500/2500
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,269) |  240 | 2500/2500
     174 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,271) |  240 | 2500/2500
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,272) |  240 | 2500/2500
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,273) |  240 | 2500/2500
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(520,274) |  240 | 2500/2500
     213 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(520,274) |  240 | 2500/2500
     226 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (280,260)/(517,275) |  238 | 2500/2500
     226 | enemy  | defense    | state=duck prev=none                     | (280,260)/(517,275) |  238 | 2500/2500
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (280,260)/(514,276) |  235 | 2500/2500
     254 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (280,260)/(512,277) |  232 | 2500/2500
     266 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(509,278) |  230 | 2500/2500
     266 | player | defense    | state=none prev=duck                     | (280,260)/(509,278) |  230 | 2500/2500
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(509,279) |  230 | 2500/2500
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(509,280) |  230 | 2500/2500
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(509,282) |  230 | 2500/2500
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(509,282) |  230 | 2500/2500
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(508,283) |  230 | 2500/2500
     333 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,284) |  230 | 2500/2500
     333 | enemy  | defense    | state=none prev=duck                     | (280,260)/(508,284) |  230 | 2500/2500
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,285) |  230 | 2500/2500
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,286) |  230 | 2500/2500
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,288) |  230 | 2500/2500
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,289) |  230 | 2500/2500
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,290) |  230 | 2500/2500
     413 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(508,291) |  230 | 2500/2500
     413 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(508,291) |  230 | 2500/2500
     413 | player | defense    | state=duck prev=none                     | (280,260)/(508,291) |  230 | 2500/2500
     426 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (280,260)/(507,292) |  230 | 2500/2500
