=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-03-15T19:32:01.906Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
Player One (BoxerPuncher) vs Wolfgang "Superman" Aruzenai Jr. (BoxerPuncher)
Player Level: 105 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 69"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 10 thrown, 6 landed (60%) 2 charged 8 body
  cross: 33 thrown, 25 landed (76%) 6 charged 32 body
  leftUppercut: 10 thrown, 8 landed (80%) 5 body
  rightUppercut: 5 thrown, 2 landed (40%)
ENEMY:
  jab: 11 thrown, 3 landed (27%) 1 charged 2 body
  cross: 9 thrown, 2 landed (22%) 2 body
  leftHook: 9 thrown, 3 landed (33%) 1 charged 4 body
  rightHook: 10 thrown, 4 landed (40%) 3 body
  leftUppercut: 8 thrown, 6 landed (75%) 1 charged 5 body
  rightUppercut: 3 thrown, 2 landed (67%) 3 body

--- MOVEMENT ---
Player distance traveled: 5744px | Avg dist from enemy: 99px
Time in range: 21.1s | Out of range: 24.7s

--- DEFENSE ---
Player: 22 ducks, 21 full guards, 6 blocks hit, 11 dodges
Enemy: 25 ducks, 28 full guards, 8 blocks hit, 2 dodges

--- KNOCKDOWNS ---
Player scored: 3 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2827/3000
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2827/3000
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2827/3000
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2827/3000
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 2827/3000
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2827/3000
      52 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2827/3000
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,261) |  238 | 2827/3000
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,262) |  236 | 2827/3000
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(515,262) |  235 | 2827/3000
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,263) |  233 | 2827/3000
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(513,263) |  233 | 2827/3000
     119 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,264) |  233 | 2827/3000
     134 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,265) |  233 | 2827/3000
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,266) |  233 | 2827/3000
     159 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(513,266) |  233 | 2827/3000
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(511,267) |  231 | 2827/3000
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(509,268) |  230 | 2827/3000
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(508,269) |  228 | 2827/3000
     214 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(506,270) |  226 | 2827/3000
     214 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(506,270) |  226 | 2827/3000
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (278,260)/(504,270) |  226 | 2827/3000
     239 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (276,260)/(502,271) |  227 | 2827/3000
     254 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (274,260)/(501,272) |  227 | 2827/3000
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(499,272) |  227 | 2827/3000
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(499,273) |  227 | 2827/3000
     280 | enemy  | defense    | state=none prev=fullGuard                | (272,260)/(499,273) |  227 | 2827/3000
     294 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(499,274) |  227 | 2827/3000
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(499,275) |  227 | 2827/3000
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (272,260)/(499,275) |  227 | 2827/3000
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(499,276) |  227 | 2827/3000
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(499,277) |  227 | 2827/3000
     334 | enemy  | defense    | state=fullGuard prev=none                | (272,260)/(499,277) |  227 | 2827/3000
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(498,277) |  227 | 2827/3000
     360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (272,260)/(498,278) |  227 | 2827/3000
