=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-08-11T00:06:21.311Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Wolfgang "Superman" Aruzenai Jr. (BoxerPuncher)
Player Level: 52 | Enemy Level: 56
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 12
Player Arm: 65" | Enemy Arm: 65"

=== ROUND 1 === (180.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 63 thrown, 26 landed (41%) 1 charged 57 body
  cross: 131 thrown, 63 landed (48%) 2 charged 131 body
  leftHook: 44 thrown, 15 landed (34%) 44 body
  rightHook: 58 thrown, 15 landed (26%) 56 body
  leftUppercut: 13 thrown, 3 landed (23%) 13 body
  rightUppercut: 11 thrown, 5 landed (45%) 1 charged 11 body
ENEMY:
  jab: 32 thrown, 2 landed (6%) 8 body
  cross: 38 thrown, 5 landed (13%) 10 body
  leftHook: 57 thrown, 15 landed (26%) 39 body
  rightHook: 32 thrown, 10 landed (31%) 21 body
  leftUppercut: 5 thrown, 2 landed (40%) 4 body
  rightUppercut: 3 thrown, 3 landed (100%) 1 body

--- MOVEMENT ---
Player distance traveled: 17904px | Avg dist from enemy: 83px
Time in range: 88.8s | Out of range: 88.3s

--- DEFENSE ---
Player: 94 ducks, 145 full guards, 19 blocks hit, 67 dodges
Enemy: 290 ducks, 327 full guards, 94 blocks hit, 6 dodges

--- KNOCKDOWNS ---
Player scored: 1 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1665/1613
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1665/1613
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1665/1613
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1665/1613
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1665/1613
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1665/1613
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 1665/1613
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,259) |  240 | 1665/1613
      67 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,259) |  240 | 1665/1613
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,258) |  240 | 1665/1613
      94 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,257) |  240 | 1665/1613
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,256) |  240 | 1665/1613
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,256) |  240 | 1665/1613
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,255) |  240 | 1665/1613
     120 | enemy  | defense    | state=duck prev=none                     | (280,260)/(520,255) |  240 | 1665/1613
     134 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,254) |  240 | 1665/1613
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,253) |  240 | 1665/1613
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(520,252) |  240 | 1665/1613
