=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-03-04T02:12:05.202Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
ODZILLA HAMEHA (BoxerPuncher) vs Adrian "Sudden Silence" Cole (OutBoxer)
Player Level: 10 | Enemy Level: 10
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 67"

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 6 thrown, 2 landed (33%) 5 body
  cross: 18 thrown, 2 landed (11%) 1 charged 11 body
  leftUppercut: 1 thrown, 0 landed (0%) 1 body
  rightUppercut: 5 thrown, 0 landed (0%) 4 body
ENEMY:
  jab: 7 thrown, 0 landed (0%)
  cross: 13 thrown, 5 landed (38%) 1 charged 1 body
  leftHook: 9 thrown, 2 landed (22%) 3 body
  rightHook: 4 thrown, 2 landed (50%) 3 body
  leftUppercut: 3 thrown, 3 landed (100%) 1 charged 2 body
  rightUppercut: 1 thrown, 0 landed (0%) 1 body

--- MOVEMENT ---
Player distance traveled: 5632px | Avg dist from enemy: 103px
Time in range: 19.7s | Out of range: 42.2s

--- DEFENSE ---
Player: 18 ducks, 19 full guards, 5 blocks hit, 6 dodges
Enemy: 134 ducks, 148 full guards, 10 blocks hit, 4 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 453/534
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 453/534
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 453/534
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(522,258) |  242 | 453/534
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(522,258) |  242 | 453/534
      27 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(522,258) |  242 | 453/534
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(524,257) |  244 | 453/534
      54 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(525,255) |  245 | 453/534
      66 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(527,253) |  247 | 453/534
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(529,252) |  249 | 453/534
      94 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(531,250) |  251 | 453/534
     106 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(532,248) |  253 | 453/534
     106 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(532,248) |  253 | 453/534
     119 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(534,247) |  254 | 453/534
     134 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(536,245) |  256 | 453/534
     146 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(538,243) |  258 | 453/534
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(539,241) |  260 | 453/534
     174 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(541,240) |  262 | 453/534
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(543,238) |  263 | 453/534
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (278,260)/(544,236) |  267 | 453/534
     214 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (276,260)/(546,234) |  271 | 453/534
     214 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (276,260)/(546,234) |  271 | 453/534
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (273,260)/(547,232) |  275 | 453/534
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (271,260)/(549,231) |  279 | 453/534
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (269,260)/(551,229) |  283 | 453/534
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (267,260)/(552,227) |  287 | 453/534
     281 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (265,260)/(554,225) |  291 | 453/534
     293 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (262,260)/(555,223) |  295 | 453/534
     306 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (260,260)/(557,222) |  299 | 453/534
     306 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (260,260)/(557,222) |  299 | 453/534
     320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (258,260)/(559,220) |  303 | 453/534
     334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (256,260)/(560,218) |  307 | 453/534
     347 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (254,260)/(559,220) |  308 | 453/534
     347 | enemy  | defense    | state=fullGuard prev=duck                | (254,260)/(559,220) |  308 | 453/534
     361 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (251,260)/(557,221) |  308 | 453/534
     374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (249,260)/(556,223) |  309 | 453/534
     387 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (249,260)/(555,225) |  307 | 453/534
     400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (249,260)/(553,227) |  306 | 453/534
     413 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (251,260)/(552,228) |  302 | 453/534
     413 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (251,260)/(552,228) |  302 | 453/534
     427 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (253,260)/(550,230) |  298 | 453/534
     441 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (256,260)/(549,232) |  294 | 453/534
     453 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (258,260)/(547,234) |  291 | 453/534
     467 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (260,260)/(546,235) |  287 | 453/534
     481 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (262,260)/(544,237) |  283 | 453/534
     493 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (265,260)/(543,239) |  279 | 453/534
     507 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (262,260)/(541,240) |  279 | 453/534
     507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (262,260)/(541,240) |  279 | 453/534
     507 | enemy  | defense    | state=duck prev=fullGuard                | (262,260)/(541,240) |  279 | 453/534
     520 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (260,260)/(538,241) |  278 | 453/534
     534 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (258,260)/(536,242) |  278 | 453/534
     547 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (256,260)/(533,244) |  278 | 453/534
     560 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (254,260)/(531,245) |  277 | 453/534
     560 | enemy  | defense    | state=fullGuard prev=duck                | (254,260)/(531,245) |  277 | 453/534
     573 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (252,260)/(528,246) |  277 | 453/534
     586 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (252,260)/(526,247) |  275 | 453/534
     601 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (252,260)/(523,248) |  272 | 453/534
     601 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (252,260)/(523,248) |  272 | 453/534
     614 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (252,260)/(521,249) |  269 | 453/534
     614 | enemy  | defense    | state=duck prev=fullGuard                | (252,260)/(521,249) |  269 | 453/534
     627 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (254,260)/(518,250) |  265 | 453/534
     641 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (256,260)/(516,252) |  260 | 453/534
     653 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (258,260)/(513,253) |  255 | 453/534
     667 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (260,260)/(511,254) |  251 | 453/534
     680 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (260,260)/(508,255) |  248 | 453/534
     694 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (258,260)/(506,256) |  248 | 453/534
     707 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (256,260)/(503,257) |  247 | 453/534
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (256,260)/(503,257) |  247 | 453/534
     720 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (254,260)/(501,258) |  247 | 453/534
     734 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (251,260)/(498,259) |  247 | 453/534
     747 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (249,260)/(495,260) |  246 | 453/534
     761 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (247,260)/(493,261) |  246 | 453/534
     774 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (245,260)/(490,262) |  246 | 453/534
     774 | enemy  | defense    | state=fullGuard prev=duck                | (245,260)/(490,262) |  246 | 453/534
     787 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (243,260)/(488,263) |  245 | 453/534
     800 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (243,260)/(485,264) |  243 | 453/534
     814 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (243,260)/(483,265) |  240 | 453/534
     814 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (243,260)/(483,265) |  240 | 453/534
     826 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (245,260)/(480,266) |  235 | 453/534
     826 | enemy  | defense    | state=duck prev=fullGuard                | (245,260)/(480,266) |  235 | 453/534
     840 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (247,260)/(478,267) |  231 | 453/534
     854 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (249,260)/(475,268) |  226 | 453/534
     866 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (252,260)/(473,269) |  221 | 453/534
     881 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (254,260)/(470,270) |  217 | 453/534
     881 | enemy  | defense    | state=fullGuard prev=duck                | (254,260)/(470,270) |  217 | 453/534
     894 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (256,260)/(467,271) |  212 | 453/534
     906 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (258,260)/(465,271) |  207 | 453/534
     906 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (258,260)/(465,271) |  207 | 453/534
     920 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (256,260)/(463,272) |  207 | 453/534
     934 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (254,260)/(460,273) |  206 | 453/534
     947 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (252,260)/(457,274) |  206 | 453/534
     961 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (249,260)/(455,275) |  206 | 453/534
     974 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (247,260)/(452,276) |  206 | 453/534
     987 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (245,260)/(450,276) |  205 | 453/534
     987 | enemy  | defense    | state=none prev=fullGuard                | (245,260)/(450,276) |  205 | 453/534
    1001 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (243,260)/(447,277) |  205 | 453/534
    1001 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (243,260)/(447,277) |  205 | 453/534
    1013 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (241,260)/(445,278) |  205 | 453/534
    1027 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (238,260)/(442,279) |  205 | 453/534
    1041 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (236,260)/(440,278) |  205 | 453/534
    1041 | enemy  | defense    | state=duck prev=none                     | (236,260)/(440,278) |  205 | 453/534
    1053 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (234,260)/(439,277) |  206 | 453/534
    1067 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (232,260)/(437,277) |  206 | 453/534
    1081 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (229,260)/(435,276) |  207 | 453/534
    1093 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (227,260)/(434,276) |  207 | 453/534
    1093 | enemy  | defense    | state=fullGuard prev=duck                | (227,260)/(434,276) |  207 | 453/534
    1107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (225,260)/(432,275) |  208 | 453/534
    1107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (225,260)/(432,275) |  208 | 453/534
    1121 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (223,260)/(430,274) |  208 | 453/534
    1133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (221,260)/(429,274) |  209 | 453/534
    1147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (219,260)/(427,273) |  209 | 453/534
    1161 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (216,260)/(426,272) |  210 | 453/534
    1174 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (214,260)/(424,272) |  210 | 453/534
    1187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (212,260)/(422,271) |  211 | 453/534
    1201 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (210,260)/(421,270) |  211 | 453/534
    1201 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (210,260)/(421,270) |  211 | 453/534
    1214 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (207,260)/(419,270) |  212 | 453/534
    1227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (205,260)/(417,269) |  212 | 453/534
    1240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (203,260)/(416,269) |  213 | 453/534
    1254 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (201,260)/(414,268) |  213 | 453/534
    1254 | enemy  | defense    | state=none prev=fullGuard                | (201,260)/(414,268) |  213 | 453/534
    1267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (199,260)/(412,267) |  214 | 453/534
    1281 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (197,260)/(411,267) |  214 | 453/534
    1294 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (194,260)/(409,266) |  215 | 453/534
    1308 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (192,260)/(407,266) |  215 | 453/534
    1308 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (192,260)/(407,266) |  215 | 453/534
    1308 | enemy  | defense    | state=fullGuard prev=none                | (192,260)/(407,266) |  215 | 453/534
    1320 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (190,260)/(406,266) |  216 | 453/534
    1334 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (188,260)/(404,266) |  216 | 453/534
    1348 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (185,260)/(402,266) |  217 | 453/534
    1360 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (183,260)/(401,266) |  218 | 453/534
    1360 | enemy  | defense    | state=duck prev=fullGuard                | (183,260)/(401,266) |  218 | 453/534
    1374 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (181,260)/(399,266) |  218 | 453/534
    1388 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (179,260)/(397,266) |  219 | 453/534
    1400 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (177,260)/(396,266) |  219 | 453/534
    1400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (177,260)/(396,266) |  219 | 453/534
    1414 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (175,260)/(394,266) |  220 | 453/534
    1414 | enemy  | defense    | state=fullGuard prev=duck                | (175,260)/(394,266) |  220 | 453/534
    1428 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (172,260)/(392,266) |  220 | 453/534
    1441 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (170,260)/(391,266) |  221 | 453/534
    1454 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (168,260)/(389,266) |  221 | 453/534
    1454 | player | defense    | state=duck prev=none                     | (168,260)/(389,266) |  221 | 453/534
    1467 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (166,260)/(387,266) |  222 | 453/534
    1481 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (163,260)/(386,266) |  222 | 453/534
    1494 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (161,260)/(384,266) |  223 | 453/534
    1508 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (159,260)/(382,266) |  224 | 453/534
    1508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (159,260)/(382,266) |  224 | 453/534
    1521 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (157,260)/(381,266) |  224 | 453/534
    1534 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (155,260)/(379,266) |  225 | 453/534
    1547 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (155,260)/(377,266) |  223 | 453/534
    1561 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=0 pGu | (157,260)/(376,266) |  219 | 453/534
    1573 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (159,260)/(374,266) |  215 | 453/534
    1573 | enemy  | defense    | state=duck prev=fullGuard                | (159,260)/(374,266) |  215 | 453/534
    1587 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (161,260)/(373,266) |  212 | 453/534
    1601 | player | pos        | pFacing=1 eFacing=-1 pDuck=1 eDuck=1 pGu | (163,260)/(371,266) |  208 | 453/534
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (163,260)/(371,266) |  208 | 453/534
