=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-08-23T21:37:58.280Z
Match Type: Player vs CPU | Mode: Normal

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Wolfgang "Superman" Aruzenai Jr. (BoxerPuncher)
Player Level: 100 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 12
Player Arm: 65" | Enemy Arm: 65"

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 40 thrown, 17 landed (43%) 1 charged 27 body
  cross: 66 thrown, 26 landed (39%) 1 charged 51 body
  leftHook: 10 thrown, 4 landed (40%) 6 body
  rightHook: 6 thrown, 1 landed (17%) 5 body
  leftUppercut: 7 thrown, 1 landed (14%) 5 body
  rightUppercut: 9 thrown, 1 landed (11%) 2 charged 8 body
ENEMY:
  jab: 16 thrown, 3 landed (19%) 11 body
  cross: 3 thrown, 0 landed (0%) 2 body
  leftHook: 2 thrown, 0 landed (0%) 1 body
  leftUppercut: 1 thrown, 1 landed (100%) 1 body

--- MOVEMENT ---
Player distance traveled: 6875px | Avg dist from enemy: 57px
Time in range: 50.2s | Out of range: 9.8s

--- DEFENSE ---
Player: 42 ducks, 49 full guards, 3 blocks hit, 3 dodges
Enemy: 42 ducks, 72 full guards, 62 blocks hit, 5 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- AI DECISIONS ---
Punches thrown: 23 (15 body, 65%) | Time in range: 58.4s
Power-sway throws: 6, landed 4 (67%) | Sway adapt: 0.00 -> best lvl 4
Timed blocks: 2 armed, 1 connected (50%) | Learnt timing: +68ms
Read of player: punch interval 0.24s | lands from 46px | jab windup 87ms | body bias 0.69
Suppressed offense ticks: 0 | Reflex yielded ticks: 1020
Gas: pulled out of 0 burst(s), offence paused 0.0s

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 2632/2355
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2632/2355
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2632/2355
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,260) |  238 | 2632/2355
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(518,260) |  238 | 2632/2355
      27 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(518,260) |  238 | 2632/2355
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,259) |  236 | 2632/2355
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,259) |  234 | 2632/2355
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,257) |  236 | 2632/2355
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(517,256) |  237 | 2632/2355
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,255) |  238 | 2632/2355
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,254) |  240 | 2632/2355
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(520,254) |  240 | 2632/2355
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(521,252) |  241 | 2632/2355
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(522,251) |  243 | 2632/2355
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(524,250) |  244 | 2632/2355
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(525,248) |  245 | 2632/2355
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(526,247) |  247 | 2632/2355
