=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T23:53:22.095Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Enemy (OutBoxer)
Player Level: 100 | Enemy Level: 27
AI Difficulty: contender
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 17 thrown, 7 landed (41%) 5 body
  cross: 26 thrown, 3 landed (12%) 1 charged 5 body
ENEMY:
  jab: 5 thrown, 0 landed (0%)
  cross: 6 thrown, 1 landed (17%)
  rightHook: 3 thrown, 0 landed (0%) 3 body
  leftUppercut: 4 thrown, 2 landed (50%) 4 body

--- MOVEMENT ---
Player distance traveled: 3373px | Avg dist from enemy: 106px
Time in range: 10.8s | Out of range: 20s

--- DEFENSE ---
Player: 3 ducks, 8 full guards, 0 high blocks, 0 low blocks, 3 blocks hit, 0 perfect blocks, 2 dodges
Enemy: 30 ducks, 6 full guards, 20 high blocks, 16 low blocks, 7 blocks hit, 0 perfect blocks, 10 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4250/1430
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4250/1430
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 4250/1430
     201 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,258) |  240 | 4250/1430
     201 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(520,258) |  240 | 4250/1430
     307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,252) |  240 | 4250/1430
     400 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(505,256) |  225 | 4250/1430
     440 | player | defense    | state=none prev=fullGuard                | (280,260)/(498,259) |  218 | 4250/1430
     507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(490,263) |  210 | 4250/1430
     601 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(490,268) |  211 | 4250/1430
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(491,266) |  211 | 4250/1430
     801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(491,261) |  211 | 4250/1430
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(491,255) |  211 | 4250/1430
     921 | player | defense    | state=fullGuard prev=none                | (280,260)/(491,254) |  211 | 4250/1430
    1001 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(491,250) |  211 | 4250/1430
    1067 | player | defense    | state=none prev=fullGuard                | (280,260)/(491,246) |  211 | 4250/1430
    1108 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(491,244) |  211 | 4250/1430
    1214 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(491,248) |  211 | 4250/1430
    1307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(486,251) |  206 | 4250/1430
    1321 | enemy  | defense    | state=highBlock prev=none                | (280,260)/(484,250) |  204 | 4250/1430
    1401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(469,246) |  189 | 4250/1430
    1508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(462,248) |  182 | 4250/1430
    1601 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(462,253) |  182 | 4250/1430
    1695 | enemy  | defense    | state=duck prev=highBlock                | (280,260)/(462,259) |  182 | 4250/1430
    1708 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(462,259) |  182 | 4250/1430
    1801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(455,260) |  175 | 4250/1430
    1881 | enemy  | defense    | state=highBlock prev=duck                | (280,260)/(440,255) |  160 | 4250/1430
    1908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(435,254) |  155 | 4250/1430
    2000 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(432,248) |  153 | 4250/1430
    2068 | enemy  | defense    | state=none prev=highBlock                | (280,260)/(432,245) |  153 | 4250/1430
    2108 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(432,242) |  153 | 4250/1430
    2161 | player | defense    | state=fullGuard prev=none                | (280,260)/(432,239) |  153 | 4250/1430
    2201 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(431,237) |  153 | 4250/1430
    2307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(419,240) |  141 | 4250/1430
    2348 | player | defense    | state=none prev=fullGuard                | (280,260)/(412,244) |  133 | 4250/1430
    2401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(403,249) |  123 | 4250/1430
    2508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(384,256) |  104 | 4250/1430
    2601 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(374,258) |   94 | 4250/1430
    2642 | enemy  | punch      | punch=jab feint=false charged=false body | (280,260)/(374,255) |   94 | 4250/1428
    2708 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(374,252) |   94 | 4250/1429
    2775 | player | defense    | state=fullGuard prev=none                | (280,260)/(374,248) |   94 | 4250/1430
    2802 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(374,247) |   94 | 4250/1430
    2908 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(373,244) |   95 | 4250/1430
    3001 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(374,249) |   95 | 4250/1430
    3108 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(375,255) |   95 | 4250/1430
    3202 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(376,260) |   96 | 4250/1430
    3308 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(376,254) |   96 | 4250/1430
    3402 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(375,249) |   96 | 4250/1430
    3415 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(375,248) |   96 | 4249/1430
    3455 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(375,246) |   96 | 4249/1430
    3508 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(375,243) |   96 | 4250/1430
    3602 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(374,238) |   97 | 4250/1430
    3709 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(373,232) |   97 | 4250/1430
    3802 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (285,260)/(371,227) |   92 | 4250/1430
    3815 | player | punch      | punch=cross feint=undefined charged=fals | (290,260)/(371,226) |   87 | 4249/1430
    3855 | enemy  | defense    | state=none prev=fullGuard                | (296,260)/(373,223) |   85 | 4249/1430
    3868 | enemy  | punch      | punch=jab feint=false charged=false body | (301,260)/(376,219) |   86 | 4249/1428
    3909 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (306,260)/(380,216) |   86 | 4250/1429
    4001 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (324,260)/(394,204) |   90 | 4250/1430
    4069 | player | punch      | punch=jab feint=undefined charged=false  | (340,260)/(406,198) |   90 | 4249/1430
    4109 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (345,260)/(413,195) |   94 | 4250/1430
    4201 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (363,260)/(419,198) |   84 | 4250/1430
    4309 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (384,260)/(408,215) |   51 | 4250/1430
    4322 | player | punch      | punch=cross feint=undefined charged=fals | (388,258)/(407,217) |   45 | 4249/1430
    4335 | enemy  | defense    | state=highBlock prev=none                | (388,258)/(406,217) |   45 | 4249/1430
    4388 | enemy  | block      | punch=cross damage=5 blocked=true perfec | (397,249)/(404,216) |   34 | 4250/1425
    4402 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (397,249)/(404,216) |   34 | 4250/1425
    4509 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (413,239)/(399,210) |   32 | 4250/1425
    4602 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (426,226)/(396,212) |   34 | 4250/1425
    4708 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (440,212)/(394,215) |   47 | 4250/1425
    4708 | enemy  | defense    | state=lowBlock prev=highBlock            | (440,212)/(394,215) |   47 | 4250/1425
    4722 | player | punch      | punch=jab feint=undefined charged=false  | (442,210)/(394,215) |   49 | 4249/1425
    4775 | enemy  | block      | punch=jab damage=6 blocked=true perfectB | (442,210)/(393,218) |   50 | 4250/1418
    4801 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (442,210)/(393,218) |   50 | 4250/1418
    4895 | enemy  | defense    | state=none prev=lowBlock                 | (442,210)/(394,222) |   50 | 4250/1418
    4909 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (444,208)/(394,223) |   52 | 4250/1418
    4935 | player | punch      | punch=jab feint=undefined charged=false  | (449,203)/(394,224) |   59 | 4249/1418
    4989 | player | hit        | punch=jab damage=10 crit=false stun=fals | (457,195)/(395,226) |   70 | 4250/1408
    5002 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (457,195)/(392,228) |   73 | 4250/1408
    5081 | enemy  | defense    | state=highBlock prev=none                | (468,184)/(393,230) |   88 | 4250/1408
    5109 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (472,181)/(394,231) |   93 | 4250/1408
    5202 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (484,168)/(403,223) |   99 | 4250/1408
    5268 | enemy  | defense    | state=none prev=highBlock                | (494,158)/(412,214) |   99 | 4250/1408
    5308 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (494,158)/(417,208) |   92 | 4250/1408
    5402 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (495,158)/(430,195) |   75 | 4250/1408
