=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T23:54:59.461Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Enemy (Brawler)
Player Level: 1 | Enemy Level: 1
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 18 thrown, 5 landed (28%) 3 body
  cross: 26 thrown, 10 landed (38%) 2 charged 14 body
ENEMY:
  jab: 2 thrown, 0 landed (0%)
  cross: 2 thrown, 0 landed (0%)
  leftHook: 3 thrown, 0 landed (0%) 1 body
  leftUppercut: 2 thrown, 0 landed (0%) 2 body

--- MOVEMENT ---
Player distance traveled: 2362px | Avg dist from enemy: 74px
Time in range: 20.7s | Out of range: 10.3s

--- DEFENSE ---
Player: 3 ducks, 4 full guards, 0 high blocks, 0 low blocks, 3 blocks hit, 0 perfect blocks, 0 dodges
Enemy: 17 ducks, 9 full guards, 26 high blocks, 5 low blocks, 13 blocks hit, 0 perfect blocks, 6 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 425/431
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 425/431
     106 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 425/431
     214 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 425/431
     294 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(512,263) |  232 | 425/431
     307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(510,263) |  230 | 425/431
     307 | player | defense    | state=duck prev=fullGuard                | (280,260)/(510,263) |  230 | 425/431
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(497,268) |  217 | 425/431
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(481,273) |  201 | 425/431
     613 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(466,275) |  186 | 425/431
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(452,277) |  173 | 425/431
     801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(439,274) |  159 | 425/431
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(423,269) |  144 | 425/431
    1013 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(408,265) |  128 | 425/431
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(395,261) |  115 | 425/431
    1201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(381,258) |  101 | 425/431
    1240 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(375,259) |   95 | 423/431
    1280 | enemy  | defense    | state=highBlock prev=none                | (280,260)/(370,261) |   90 | 424/431
    1280 | enemy  | punch      | punch=cross feint=false charged=false bo | (280,260)/(368,261) |   88 | 424/429
    1294 | enemy  | defense    | state=none prev=highBlock                | (280,260)/(368,261) |   88 | 424/429
    1306 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(366,261) |   86 | 424/429
    1413 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(350,265) |   70 | 424/430
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(337,268) |   57 | 425/431
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(323,271) |   44 | 425/431
    1601 | enemy  | defense    | state=duck prev=none                     | (280,260)/(323,271) |   44 | 425/431
