=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T23:56:21.771Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Enemy (Swarmer)
Player Level: 100 | Enemy Level: 100
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 16 thrown, 3 landed (19%)
  cross: 33 thrown, 8 landed (24%) 3 charged 5 body
  leftUppercut: 1 thrown, 0 landed (0%)
ENEMY:
  jab: 4 thrown, 2 landed (50%) 1 charged
  cross: 3 thrown, 1 landed (33%)
  leftHook: 5 thrown, 1 landed (20%) 4 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 2 thrown, 0 landed (0%) 2 body
  rightUppercut: 4 thrown, 2 landed (50%) 4 body

--- MOVEMENT ---
Player distance traveled: 3750px | Avg dist from enemy: 80px
Time in range: 18s | Out of range: 13s

--- DEFENSE ---
Player: 3 ducks, 6 full guards, 0 high blocks, 0 low blocks, 2 blocks hit, 0 perfect blocks, 0 dodges
Enemy: 16 ducks, 12 full guards, 32 high blocks, 4 low blocks, 23 blocks hit, 0 perfect blocks, 4 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4250/4208
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4250/4208
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 4250/4208
     200 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 4250/4208
     307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (298,260)/(505,265) |  207 | 4250/4208
     386 | enemy  | defense    | state=none prev=fullGuard                | (298,260)/(487,271) |  189 | 4250/4208
     400 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (296,260)/(484,272) |  189 | 4250/4208
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (275,260)/(460,279) |  187 | 4250/4208
     613 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (254,260)/(437,282) |  184 | 4250/4208
     667 | enemy  | defense    | state=highBlock prev=none                | (244,260)/(425,283) |  182 | 4250/4208
     707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (236,260)/(416,284) |  181 | 4250/4208
     734 | player | defense    | state=duck prev=fullGuard                | (231,260)/(410,283) |  181 | 4250/4208
     800 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (223,260)/(396,278) |  174 | 4250/4208
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (244,260)/(372,270) |  129 | 4250/4208
     947 | enemy  | defense    | state=none prev=highBlock                | (251,260)/(364,267) |  113 | 4250/4208
    1014 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (264,260)/(349,263) |   85 | 4250/4208
    1080 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(334,259) |   54 | 4249/4208
    1106 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (283,260)/(329,258) |   46 | 4249/4208
    1106 | enemy  | defense    | state=duck prev=none                     | (283,260)/(329,258) |   46 | 4249/4208
    1134 | player | hit        | punch=cross damage=16 crit=false stun=fa | (289,260)/(321,255) |   32 | 4249/4191
    1201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (292,263)/(321,249) |   32 | 4250/4191
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (313,263)/(345,242) |   38 | 4250/4191
    1401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (331,263)/(365,236) |   43 | 4250/4191
    1427 | player | punch      | punch=cross feint=undefined charged=fals | (339,263)/(371,235) |   43 | 4249/4191
    1481 | player | hit        | punch=cross damage=19 crit=false stun=fa | (350,263)/(384,228) |   50 | 4249/4173
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (352,263)/(391,222) |   56 | 4250/4173
    1507 | enemy  | defense    | state=none prev=duck                     | (352,263)/(391,222) |   56 | 4250/4173
    1507 | enemy  | punch      | punch=rightUppercut feint=false charged= | (355,263)/(394,220) |   57 | 4250/4169
    1521 | enemy  | defense    | state=duck prev=none                     | (355,263)/(394,220) |   57 | 4250/4169
    1573 | enemy  | hit        | punch=rightUppercut damage=30 crit=false | (367,263)/(407,213) |   63 | 4220/4169
    1600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (365,270)/(409,211) |   74 | 4220/4171
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (386,270)/(430,199) |   84 | 4220/4171
    1774 | enemy  | punch      | punch=leftHook feint=false charged=false | (401,270)/(443,191) |   89 | 4220/4169
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (404,270)/(449,188) |   93 | 4220/4169
    1814 | player | punch      | punch=cross feint=undefined charged=fals | (409,270)/(451,186) |   94 | 4219/4169
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (424,270)/(469,176) |  104 | 4219/4169
    1907 | enemy  | defense    | state=highBlock prev=duck                | (424,270)/(469,176) |  104 | 4219/4169
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (443,270)/(474,176) |   98 | 4219/4169
    2067 | player | defense    | state=fullGuard prev=duck                | (450,270)/(463,188) |   83 | 4219/4169
    2107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (450,270)/(457,195) |   75 | 4219/4169
    2187 | player | punch      | punch=jab feint=undefined charged=false  | (450,270)/(444,209) |   61 | 4218/4169
    2214 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (450,270)/(443,211) |   59 | 4218/4169
    2241 | enemy  | block      | punch=jab damage=6 blocked=true perfectB | (450,270)/(446,211) |   59 | 4218/4163
    2307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (450,259)/(450,210) |   49 | 4218/4163
    2401 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (450,252)/(457,209) |   43 | 4219/4163
    2428 | enemy  | defense    | state=none prev=highBlock                | (450,252)/(459,209) |   44 | 4219/4163
    2508 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (450,252)/(455,207) |   44 | 4220/4163
    2521 | player | punch      | punch=cross feint=undefined charged=fals | (450,252)/(454,207) |   45 | 4218/4163
    2588 | player | hit        | punch=cross damage=35 crit=true stun=fal | (450,252)/(448,206) |   46 | 4219/4129
