=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-22T00:03:54.026Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Enemy (Swarmer)
Player Level: 100 | Enemy Level: 100
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 21 thrown, 2 landed (10%) 3 body
  cross: 53 thrown, 13 landed (25%) 2 charged 20 body
  leftUppercut: 1 thrown, 0 landed (0%)
  rightUppercut: 2 thrown, 0 landed (0%) 1 charged
ENEMY:
  jab: 5 thrown, 1 landed (20%) 1 body
  cross: 6 thrown, 2 landed (33%) 1 body
  leftHook: 3 thrown, 0 landed (0%) 3 body
  rightHook: 2 thrown, 1 landed (50%)
  leftUppercut: 6 thrown, 4 landed (67%) 6 body
  rightUppercut: 4 thrown, 1 landed (25%) 4 body

--- MOVEMENT ---
Player distance traveled: 3190px | Avg dist from enemy: 74px
Time in range: 19.8s | Out of range: 11.3s

--- DEFENSE ---
Player: 7 ducks, 4 full guards, 1 high blocks, 0 low blocks, 1 blocks hit, 0 perfect blocks, 0 dodges
Enemy: 17 ducks, 12 full guards, 28 high blocks, 4 low blocks, 38 blocks hit, 0 perfect blocks, 7 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4250/4208
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4250/4208
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 4250/4208
     213 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 4250/4208
     306 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(502,254) |  222 | 4250/4208
     400 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(481,246) |  202 | 4250/4208
     400 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(481,246) |  202 | 4250/4208
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(457,241) |  178 | 4250/4208
     600 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(436,239) |  158 | 4250/4208
     627 | player | defense    | state=none prev=fullGuard                | (280,260)/(430,238) |  152 | 4250/4208
     680 | enemy  | defense    | state=highBlock prev=none                | (280,260)/(419,237) |  141 | 4250/4208
     706 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(412,237) |  135 | 4250/4208
     800 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(392,236) |  114 | 4250/4208
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(368,235) |   91 | 4250/4208
     960 | enemy  | defense    | state=none prev=highBlock                | (280,260)/(356,236) |   79 | 4250/4208
     974 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(353,236) |   77 | 4249/4208
    1000 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(347,237) |   71 | 4249/4208
    1027 | player | hit        | punch=cross damage=19 crit=false stun=fa | (280,260)/(350,235) |   74 | 4249/4188
    1107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(369,228) |   95 | 4250/4188
    1200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(389,221) |  115 | 4250/4188
    1214 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(391,220) |  118 | 4249/4188
    1306 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(376,220) |  104 | 4250/4188
    1400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(356,224) |   84 | 4250/4188
    1427 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(350,225) |   78 | 4249/4188
    1481 | player | hit        | punch=cross damage=19 crit=false stun=fa | (280,260)/(335,228) |   63 | 4249/4169
    1494 | enemy  | punch      | punch=leftHook feint=false charged=false | (280,260)/(337,226) |   66 | 4250/4168
    1506 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(337,226) |   66 | 4250/4168
    1506 | enemy  | defense    | state=duck prev=none                     | (280,260)/(337,226) |   66 | 4250/4168
    1614 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(313,232) |   44 | 4250/4168
    1667 | player | punch      | punch=cross feint=undefined charged=fals | (280,260)/(301,235) |   33 | 4249/4168
    1707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (279,262)/(294,234) |   32 | 4249/4168
    1721 | enemy  | dodge      | punch=cross method=duck                  | (278,264)/(289,234) |   32 | 4249/4168
    1801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (278,267)/(274,235) |   32 | 4250/4168
    1827 | enemy  | punch      | punch=jab feint=false charged=false body | (278,267)/(268,236) |   32 | 4250/4167
    1881 | enemy  | hit        | punch=jab damage=13 crit=false stun=fals | (278,267)/(253,240) |   37 | 4237/4167
    1907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(250,240) |   42 | 4237/4167
    1947 | enemy  | defense    | state=none prev=duck                     | (280,269)/(241,241) |   48 | 4237/4167
    2001 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(229,237) |   61 | 4237/4167
    2001 | player | punch      | punch=cross feint=undefined charged=fals | (280,269)/(229,237) |   61 | 4236/4167
    2041 | enemy  | defense    | state=duck prev=none                     | (280,269)/(220,234) |   70 | 4236/4167
    2054 | enemy  | dodge      | punch=cross method=duck                  | (280,269)/(214,232) |   76 | 4236/4167
    2107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(205,229) |   85 | 4236/4167
    2200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(202,226) |   89 | 4236/4167
    2308 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(226,230) |   67 | 4236/4167
    2374 | player | punch      | punch=cross feint=undefined charged=fals | (280,269)/(241,232) |   54 | 4235/4167
    2401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(247,233) |   49 | 4235/4167
    2428 | enemy  | dodge      | punch=cross method=duck                  | (280,269)/(248,235) |   47 | 4235/4167
    2508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,269)/(245,238) |   47 | 4235/4167
    2508 | enemy  | defense    | state=highBlock prev=duck                | (280,269)/(245,238) |   47 | 4235/4167
