=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-22T00:31:49.893Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (Swarmer) vs Enemy (BoxerPuncher)
Player Level: 100 | Enemy Level: 100
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 34 thrown, 12 landed (35%) 20 body
  cross: 5 thrown, 3 landed (60%) 5 body
  leftHook: 7 thrown, 1 landed (14%) 5 body
  rightHook: 3 thrown, 0 landed (0%) 3 body
  leftUppercut: 10 thrown, 4 landed (40%) 2 charged 10 body
ENEMY:
  jab: 2 thrown, 1 landed (50%)
  cross: 1 thrown, 0 landed (0%)
  leftHook: 1 thrown, 0 landed (0%) 1 body
  rightHook: 2 thrown, 0 landed (0%) 2 body
  leftUppercut: 1 thrown, 1 landed (100%) 1 body
  rightUppercut: 2 thrown, 0 landed (0%) 2 body

--- MOVEMENT ---
Player distance traveled: 3219px | Avg dist from enemy: 92px
Time in range: 14.7s | Out of range: 15.8s

--- DEFENSE ---
Player: 10 ducks, 11 full guards, 1 blocks hit, 2 dodges
Enemy: 19 ducks, 25 full guards, 16 blocks hit, 1 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1683/1700
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1683/1700
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 1683/1700
     121 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 1683/1700
     214 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (277,260)/(520,260) |  243 | 1683/1700
     294 | enemy  | defense    | state=none prev=fullGuard                | (259,260)/(510,256) |  250 | 1683/1700
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (256,260)/(507,255) |  251 | 1683/1700
     401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (256,260)/(489,249) |  233 | 1683/1700
     508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(468,243) |  189 | 1683/1700
     574 | enemy  | defense    | state=duck prev=none                     | (295,260)/(455,242) |  161 | 1683/1700
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (301,260)/(450,241) |  150 | 1683/1700
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (325,260)/(429,239) |  107 | 1683/1700
     721 | player | defense    | state=duck prev=none                     | (328,260)/(427,238) |  101 | 1683/1700
     801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (334,260)/(412,245) |   80 | 1683/1700
