=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-22T00:38:21.039Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (Swarmer) vs Enemy (Swarmer)
Player Level: 1 | Enemy Level: 1
AI Difficulty: champion
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 3 thrown, 0 landed (0%) 2 body
  cross: 23 thrown, 5 landed (22%) 1 charged 16 body
  leftHook: 1 thrown, 0 landed (0%) 1 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 5 thrown, 2 landed (40%) 1 charged 5 body
  rightUppercut: 1 thrown, 0 landed (0%) 1 body
ENEMY:
  jab: 8 thrown, 0 landed (0%)
  cross: 10 thrown, 2 landed (20%) 2 body
  leftHook: 7 thrown, 0 landed (0%) 2 body
  rightHook: 8 thrown, 1 landed (13%) 4 body
  leftUppercut: 4 thrown, 4 landed (100%) 4 body
  rightUppercut: 1 thrown, 1 landed (100%) 1 charged 1 body

--- MOVEMENT ---
Player distance traveled: 3464px | Avg dist from enemy: 89px
Time in range: 16.5s | Out of range: 13.9s

--- DEFENSE ---
Player: 17 ducks, 16 full guards, 5 blocks hit, 10 dodges
Enemy: 62 ducks, 53 full guards, 12 blocks hit, 5 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 248/248
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 248/248
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,256) |  240 | 248/248
     174 | player | defense    | state=duck prev=fullGuard                | (280,260)/(520,259) |  240 | 248/248
     214 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(520,256) |  240 | 248/248
     267 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(510,260) |  230 | 248/248
     306 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(502,258) |  222 | 248/248
     320 | enemy  | defense    | state=duck prev=none                     | (280,260)/(499,257) |  219 | 248/248
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(489,259) |  209 | 248/248
     426 | enemy  | defense    | state=none prev=duck                     | (280,260)/(489,257) |  209 | 248/248
     506 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(489,259) |  209 | 248/248
     533 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(489,257) |  209 | 248/248
     587 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(479,261) |  199 | 248/248
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(479,260) |  199 | 248/248
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(476,253) |  196 | 248/248
     747 | enemy  | defense    | state=fullGuard prev=duck                | (280,260)/(468,250) |  188 | 248/248
     800 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(458,254) |  178 | 248/248
     813 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(455,255) |  175 | 248/248
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(447,255) |  167 | 248/248
     960 | enemy  | defense    | state=none prev=duck                     | (290,260)/(437,259) |  147 | 248/248
    1014 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (300,260)/(437,255) |  137 | 248/248
    1014 | enemy  | defense    | state=duck prev=none                     | (300,260)/(437,255) |  137 | 248/248
    1066 | enemy  | defense    | state=none prev=duck                     | (310,260)/(437,259) |  127 | 248/248
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (317,260)/(437,256) |  120 | 248/248
    1121 | enemy  | defense    | state=duck prev=none                     | (320,260)/(437,255) |  118 | 248/248
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (332,260)/(442,253) |  110 | 248/248
    1241 | player | punch      | punch=cross feint=undefined charged=fals | (332,260)/(447,253) |  116 | 246/248
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (334,260)/(447,252) |  113 | 246/248
    1321 | enemy  | defense    | state=fullGuard prev=duck                | (337,260)/(448,253) |  111 | 246/248
    1401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (352,260)/(461,256) |  109 | 247/248
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (372,260)/(479,257) |  107 | 247/248
    1600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (389,260)/(490,263) |  100 | 248/248
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (409,260)/(510,257) |  101 | 248/248
    1707 | enemy  | defense    | state=duck prev=fullGuard                | (409,260)/(510,257) |  101 | 248/248
    1761 | enemy  | defense    | state=none prev=duck                     | (419,260)/(521,253) |  102 | 248/248
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (426,260)/(528,249) |  102 | 248/248
    1813 | enemy  | defense    | state=duck prev=none                     | (429,260)/(531,248) |  103 | 248/248
    1827 | player | punch      | punch=cross feint=undefined charged=fals | (434,260)/(533,249) |  100 | 246/248
    1867 | enemy  | defense    | state=none prev=duck                     | (439,260)/(541,251) |  103 | 246/248
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (446,260)/(549,253) |  103 | 246/248
    1921 | enemy  | defense    | state=fullGuard prev=none                | (449,260)/(552,253) |  103 | 246/248
    1974 | enemy  | defense    | state=none prev=fullGuard                | (459,260)/(562,256) |  103 | 246/248
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (464,260)/(567,258) |  104 | 246/248
    2081 | enemy  | defense    | state=duck prev=none                     | (479,260)/(583,256) |  104 | 246/248
    2108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (484,260)/(588,257) |  105 | 246/248
    2134 | enemy  | defense    | state=none prev=duck                     | (489,260)/(593,259) |  105 | 246/248
    2188 | enemy  | defense    | state=duck prev=none                     | (499,260)/(604,255) |  105 | 247/248
    2201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (501,260)/(601,256) |  100 | 247/248
    2253 | enemy  | punch      | punch=cross feint=false charged=false bo | (513,260)/(589,258) |   75 | 247/245
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (521,260)/(581,257) |   60 | 247/246
    2321 | enemy  | hit        | punch=cross damage=9 crit=false stun=fal | (526,260)/(576,259) |   50 | 238/246
    2347 | player | punch      | punch=cross feint=undefined charged=fals | (528,260)/(573,260) |   45 | 236/247
    2401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (536,260)/(573,264) |   38 | 236/247
    2414 | player | hit        | punch=cross damage=8 crit=false stun=fal | (541,260)/(573,262) |   33 | 236/240
    2508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (550,260)/(581,264) |   32 | 236/240
