=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-22T01:12:38.050Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Enemy (Swarmer)
Player Level: 100 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"

=== ROUND 1 === (180.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 92 thrown, 4 landed (4%) 2 charged 65 body
  cross: 177 thrown, 22 landed (12%) 7 charged 125 body
  leftUppercut: 12 thrown, 1 landed (8%) 2 charged 8 body
  rightUppercut: 18 thrown, 3 landed (17%) 2 charged 12 body
ENEMY:
  jab: 20 thrown, 1 landed (5%) 3 charged
  cross: 25 thrown, 4 landed (16%) 1 charged 6 body
  leftHook: 28 thrown, 1 landed (4%) 1 charged 12 body
  rightHook: 19 thrown, 1 landed (5%) 9 body
  leftUppercut: 22 thrown, 4 landed (18%) 22 body
  rightUppercut: 8 thrown, 4 landed (50%) 8 body

--- MOVEMENT ---
Player distance traveled: 26642px | Avg dist from enemy: 101px
Time in range: 60.7s | Out of range: 128.2s

--- DEFENSE ---
Player: 45 ducks, 27 full guards, 28 blocks hit, 10 dodges
Enemy: 111 ducks, 102 full guards, 104 blocks hit, 11 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      27 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/2475
      27 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 2500/2475
      40 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 2500/2475
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(507,256) |  228 | 2500/2475
     213 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (295,260)/(483,256) |  187 | 2500/2475
     227 | enemy  | defense    | state=none prev=fullGuard                | (298,260)/(479,257) |  181 | 2500/2475
     306 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (314,260)/(461,257) |  147 | 2500/2475
     333 | enemy  | defense    | state=duck prev=none                     | (319,260)/(454,257) |  136 | 2500/2475
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (332,260)/(439,258) |  107 | 2500/2475
     453 | enemy  | punch      | punch=leftHook feint=false charged=false | (342,260)/(423,255) |   81 | 2500/2474
     507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (342,260)/(420,257) |   78 | 2500/2474
     587 | enemy  | defense    | state=fullGuard prev=duck                | (342,260)/(420,263) |   78 | 2500/2475
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (342,260)/(420,262) |   78 | 2500/2475
     693 | enemy  | defense    | state=duck prev=fullGuard                | (342,260)/(420,255) |   78 | 2500/2475
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (342,260)/(420,254) |   78 | 2500/2475
     747 | enemy  | defense    | state=none prev=duck                     | (342,260)/(420,250) |   79 | 2500/2475
     760 | enemy  | punch      | punch=rightHook feint=false charged=fals | (342,260)/(420,252) |   79 | 2500/2473
     773 | enemy  | defense    | state=duck prev=none                     | (342,260)/(420,252) |   79 | 2500/2473
     787 | player | punch      | punch=cross feint=undefined charged=fals | (342,260)/(421,253) |   79 | 2499/2473
     814 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (342,260)/(424,255) |   82 | 2499/2473
     906 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (342,260)/(420,254) |   78 | 2500/2474
    1000 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (342,260)/(421,255) |   79 | 2500/2475
    1067 | enemy  | punch      | punch=rightHook feint=false charged=fals | (342,260)/(429,248) |   88 | 2500/2473
    1094 | player | defense    | state=duck prev=none                     | (342,260)/(426,247) |   85 | 2500/2473
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(423,246) |   82 | 2500/2473
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(401,242) |   62 | 2500/2474
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(376,236) |   42 | 2500/2475
    1414 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(351,231) |   31 | 2500/2475
    1414 | player | punch      | punch=cross feint=undefined charged=fals | (342,260)/(351,231) |   31 | 2499/2475
    1427 | enemy  | punch      | punch=leftHook feint=false charged=false | (342,260)/(348,230) |   31 | 2499/2474
    1467 | player | hit        | punch=cross damage=26 crit=false stun=fa | (342,260)/(335,227) |   34 | 2499/2448
    1480 | player | dodge      | punch=leftHook method=duck               | (342,260)/(331,219) |   43 | 2500/2448
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(330,216) |   46 | 2500/2448
    1560 | enemy  | defense    | state=fullGuard prev=duck                | (342,260)/(324,204) |   59 | 2500/2448
    1600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(320,196) |   68 | 2500/2448
    1614 | enemy  | defense    | state=duck prev=fullGuard                | (342,260)/(320,199) |   65 | 2500/2448
    1667 | enemy  | defense    | state=fullGuard prev=duck                | (342,260)/(317,206) |   60 | 2500/2448
    1681 | player | punch      | punch=cross feint=undefined charged=fals | (342,260)/(315,203) |   63 | 2499/2448
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(312,198) |   69 | 2499/2448
    1734 | enemy  | block      | punch=cross damage=9 blocked=true punchT | (342,260)/(308,189) |   78 | 2499/2439
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(303,178) |   91 | 2500/2439
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(299,162) |  107 | 2500/2439
    1907 | player | punch      | punch=cross feint=undefined charged=fals | (342,260)/(299,162) |  107 | 2499/2439
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(306,158) |  108 | 2500/2439
    2107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(309,162) |  104 | 2500/2439
    2147 | enemy  | defense    | state=duck prev=fullGuard                | (342,260)/(310,168) |   98 | 2500/2439
    2201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(312,167) |   98 | 2500/2439
    2254 | enemy  | defense    | state=fullGuard prev=duck                | (342,260)/(310,168) |   98 | 2500/2439
    2307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,260)/(312,167) |   98 | 2500/2439
    2360 | enemy  | defense    | state=duck prev=fullGuard                | (342,252)/(310,168) |   91 | 2500/2439
    2360 | enemy  | punch      | punch=leftHook feint=false charged=false | (342,250)/(311,167) |   88 | 2500/2438
    2401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,245)/(313,166) |   84 | 2500/2438
    2440 | player | punch      | punch=jab feint=undefined charged=false  | (342,234)/(316,165) |   74 | 2499/2438
    2493 | enemy  | block      | punch=jab damage=30 blocked=true punchTr | (342,224)/(321,163) |   64 | 2500/2408
    2508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,224)/(321,163) |   64 | 2500/2408
    2508 | enemy  | defense    | state=fullGuard prev=duck                | (342,224)/(321,163) |   64 | 2500/2408
    2601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (342,206)/(317,151) |   60 | 2499/2408
    2667 | enemy  | punch      | punch=cross feint=false charged=false bo | (340,200)/(323,148) |   55 | 2496/2407
    2707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (334,200)/(323,147) |   54 | 2495/2407
    2721 | player | dodge      | punch=cross method=duck                  | (329,200)/(323,147) |   54 | 2494/2407
    2734 | player | punch      | punch=cross feint=undefined charged=fals | (327,200)/(323,147) |   53 | 2492/2407
    2787 | enemy  | block      | punch=cross damage=9 blocked=true punchT | (317,199)/(324,146) |   53 | 2490/2397
    2801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (317,199)/(324,146) |   53 | 2490/2397
    2907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (315,179)/(326,146) |   35 | 2486/2397
    2987 | player | punch      | punch=cross feint=undefined charged=fals | (302,173)/(327,145) |   37 | 2480/2397
    3001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (302,173)/(327,145) |   37 | 2480/2397
    3001 | enemy  | punch      | punch=jab feint=false charged=false body | (300,173)/(327,145) |   39 | 2479/2396
    3041 | enemy  | block      | punch=cross damage=12 blocked=true punch | (295,173)/(327,145) |   43 | 2478/2384
    3054 | player | dodge      | punch=jab method=duck                    | (295,171)/(327,145) |   42 | 2478/2384
    3108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (296,164)/(328,144) |   37 | 2477/2384
    3147 | enemy  | defense    | state=duck prev=fullGuard                | (301,161)/(328,144) |   32 | 2475/2384
    3201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (296,164)/(329,144) |   38 | 2473/2384
    3214 | enemy  | defense    | state=fullGuard prev=duck                | (295,165)/(331,142) |   43 | 2472/2384
    3268 | enemy  | defense    | state=duck prev=fullGuard                | (292,167)/(342,136) |   59 | 2470/2384
    3281 | player | punch      | punch=rightUppercut feint=undefined char | (295,165)/(344,134) |   58 | 2463/2384
    3308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (297,164)/(349,131) |   62 | 2463/2384
    3308 | enemy  | defense    | state=fullGuard prev=duck                | (297,164)/(349,131) |   62 | 2463/2384
    3401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (292,166)/(359,125) |   78 | 2459/2384
    3508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (291,167)/(370,128) |   89 | 2455/2384
    3601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (291,167)/(360,127) |   80 | 2451/2384
    3601 | player | punch      | punch=rightUppercut feint=undefined char | (291,167)/(360,127) |   80 | 2444/2384
    3708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (291,167)/(359,128) |   79 | 2441/2384
    3801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (291,167)/(362,132) |   79 | 2437/2384
    3801 | enemy  | defense    | state=duck prev=fullGuard                | (291,167)/(362,132) |   79 | 2437/2384
    3801 | enemy  | punch      | punch=cross feint=false charged=false bo | (291,167)/(361,131) |   79 | 2437/2382
