=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-06-28T13:02:25.617Z
Match Type: Player vs CPU | Mode: Practice

--- FIGHT SETTINGS ---
Player (BoxerPuncher) vs Darius "War Algorithm" Price (Swarmer)
Player Level: 25 | Enemy Level: 23
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 65" | Enemy Arm: 65"

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 10 thrown, 5 landed (50%) 6 body
  cross: 13 thrown, 8 landed (62%) 10 body
  leftHook: 2 thrown, 0 landed (0%) 2 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  leftUppercut: 7 thrown, 3 landed (43%) 6 body
  rightUppercut: 8 thrown, 2 landed (25%) 6 body
ENEMY:
  jab: 18 thrown, 2 landed (11%) 2 charged 4 body
  cross: 17 thrown, 5 landed (29%) 1 charged 4 body
  leftHook: 14 thrown, 4 landed (29%) 5 body
  rightHook: 14 thrown, 8 landed (57%) 9 body
  leftUppercut: 10 thrown, 4 landed (40%) 7 body
  rightUppercut: 4 thrown, 2 landed (50%) 4 body

--- MOVEMENT ---
Player distance traveled: 5187px | Avg dist from enemy: 113px
Time in range: 21.1s | Out of range: 38.8s

--- DEFENSE ---
Player: 30 ducks, 36 full guards, 9 blocks hit, 17 dodges
Enemy: 47 ducks, 54 full guards, 3 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 875/743
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 875/743
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 875/743
      27 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 875/743
      27 | player | defense    | state=none prev=fullGuard                | (280,260)/(520,260) |  240 | 875/743
      40 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 875/743
      53 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(520,260) |  240 | 875/743
      67 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(518,259) |  238 | 875/743
      80 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(516,258) |  236 | 875/743
      93 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(514,257) |  234 | 875/743
     107 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(512,256) |  232 | 875/743
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(512,256) |  232 | 875/743
     120 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(510,256) |  230 | 875/743
     133 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(507,255) |  228 | 875/743
     147 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(505,254) |  225 | 875/743
     160 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(503,254) |  223 | 875/743
     173 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(501,253) |  221 | 875/743
     187 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(499,253) |  219 | 875/743
     200 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(497,252) |  217 | 875/743
     200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(497,252) |  217 | 875/743
     213 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(495,252) |  215 | 875/743
     227 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(493,251) |  213 | 875/743
     240 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(491,251) |  211 | 875/743
     240 | enemy  | defense    | state=none prev=fullGuard                | (280,260)/(491,251) |  211 | 875/743
     253 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(489,250) |  209 | 875/743
     267 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(487,249) |  207 | 875/743
     280 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=0 pGu | (280,260)/(485,249) |  205 | 875/743
     294 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(482,248) |  203 | 875/743
     294 | enemy  | defense    | state=duck prev=none                     | (280,260)/(482,248) |  203 | 875/743
     307 | player | pos        | pFacing=1 eFacing=-1 pDuck=0 eDuck=1 pGu | (280,260)/(480,248) |  201 | 875/743
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (280,260)/(480,248) |  201 | 875/743
