=== HANDZ INPUT RECORDING ===
Date: 2026-02-21T19:27:02.025Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: BoxerPuncher
Player Level: 100 | Enemy Level: 100
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 75" | Enemy Arm: 67"
Practice Mode: true

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 11 thrown, 2 landed (18%) 1 charged 4 body
  cross: 34 thrown, 16 landed (47%) 21 body
  leftUppercut: 9 thrown, 1 landed (11%) 1 charged 6 body
  rightUppercut: 7 thrown, 4 landed (57%) 1 charged 3 body
ENEMY:
  jab: 3 thrown, 0 landed (0%) 1 body
  cross: 4 thrown, 0 landed (0%)
  rightHook: 4 thrown, 2 landed (50%) 3 body
  leftUppercut: 1 thrown, 0 landed (0%) 1 body
  rightUppercut: 1 thrown, 0 landed (0%) 1 body

--- MOVEMENT ---
Player distance traveled: 4787px | Avg dist from enemy: 82px
Time in range: 15.5s | Out of range: 14.6s

--- DEFENSE ---
Player: 15 ducks, 17 full guards, 0 high blocks, 0 low blocks, 4 blocks hit, 2 dodges
Enemy: 16 ducks, 4 full guards, 21 high blocks, 9 low blocks, 22 blocks hit, 2 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/5000
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/5000
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 5000/5000
     200 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 5000/5000
     294 | enemy  | defense    | state=highBlock prev=fullGuard           | (280,260)/(508,264) |  229 | 5000/5000
     307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(506,265) |  226 | 5000/5000
     400 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(485,272) |  206 | 5000/5000
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(462,279) |  183 | 5000/5000
     574 | enemy  | defense    | state=none prev=highBlock                | (280,260)/(448,280) |  169 | 5000/5000
     600 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(442,281) |  164 | 5000/5000
     707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(419,283) |  141 | 5000/5000
     800 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(400,277) |  121 | 5000/5000
     867 | player | defense    | state=duck prev=fullGuard                | (280,260)/(386,272) |  107 | 5000/5000
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(378,269) |   98 | 5000/5000
    1000 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (277,260)/(358,266) |   81 | 5000/5000
    1106 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (254,260)/(335,269) |   82 | 5000/5000
    1133 | enemy  | defense    | state=highBlock prev=none                | (249,260)/(330,270) |   82 | 5000/5000
    1201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (234,260)/(315,272) |   82 | 5000/5000
    1254 | player | punch      | punch=cross feint=undefined charged=fals | (219,260)/(316,268) |   96 | 4999/5000
    1267 | enemy  | defense    | state=fullGuard prev=highBlock           | (219,260)/(316,267) |   97 | 4999/5000
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (211,260)/(316,264) |  105 | 4999/5000
    1401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (211,260)/(317,257) |  106 | 5000/5000
    1507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (234,260)/(303,250) |   70 | 5000/5000
    1507 | player | defense    | state=fullGuard prev=duck                | (234,260)/(303,250) |   70 | 5000/5000
    1521 | player | punch      | punch=cross feint=undefined charged=fals | (240,260)/(300,249) |   62 | 4999/5000
    1587 | enemy  | block      | punch=cross damage=4 blocked=true        | (253,262)/(283,244) |   35 | 4999/4996
    1601 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (253,262)/(283,244) |   35 | 5000/4996
    1694 | enemy  | defense    | state=none prev=fullGuard                | (268,276)/(267,242) |   34 | 5000/4996
    1707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (270,278)/(267,245) |   33 | 5000/4996
    1774 | player | defense    | state=duck prev=fullGuard                | (280,289)/(271,259) |   31 | 5000/4996
    1774 | player | punch      | punch=cross feint=undefined charged=fals | (283,289)/(271,259) |   32 | 4999/4996
    1814 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (290,291)/(271,265) |   32 | 4999/4996
    1826 | player | hit        | punch=cross damage=36 crit=true stun=fal | (295,291)/(273,271) |   31 | 4999/4960
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (310,291)/(267,270) |   48 | 5000/4960
    1974 | player | punch      | punch=cross feint=undefined charged=fals | (327,291)/(268,270) |   63 | 4999/4960
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (330,291)/(268,269) |   66 | 4999/4960
    2027 | player | hit        | punch=cross damage=14 crit=false stun=fa | (339,291)/(269,267) |   74 | 4999/4945
    2067 | enemy  | defense    | state=duck prev=none                     | (345,291)/(265,265) |   83 | 5000/4945
    2107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (353,291)/(266,264) |   91 | 5000/4945
    2187 | player | punch      | punch=cross feint=undefined charged=fals | (373,291)/(269,264) |  108 | 4999/4945
    2213 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (376,291)/(272,265) |  108 | 4999/4945
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (396,291)/(280,272) |  118 | 5000/4945
    2374 | player | defense    | state=fullGuard prev=duck                | (411,291)/(287,276) |  125 | 5000/4945
    2401 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (417,291)/(289,278) |  128 | 5000/4945
    2508 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (440,291)/(301,277) |  140 | 5000/4945
    2534 | enemy  | defense    | state=none prev=duck                     | (445,291)/(304,276) |  143 | 5000/4945
    2601 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (460,291)/(311,276) |  150 | 5000/4945
    2708 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (483,291)/(322,277) |  161 | 5000/4945
    2801 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (503,291)/(332,281) |  171 | 5000/4945
    2814 | enemy  | defense    | state=highBlock prev=none                | (506,291)/(333,281) |  173 | 5000/4945
    2908 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (523,291)/(343,283) |  180 | 5000/4946
    3001 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (523,291)/(353,281) |  170 | 5000/4948
    3108 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (523,291)/(365,279) |  159 | 5000/4949
    3188 | player | defense    | state=duck prev=fullGuard                | (523,291)/(373,278) |  150 | 5000/4950
    3201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (523,291)/(375,278) |  149 | 5000/4950
    3308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (523,291)/(386,277) |  138 | 5000/4952
    3375 | enemy  | defense    | state=none prev=highBlock                | (523,291)/(394,276) |  130 | 5000/4953
    3401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (523,291)/(396,277) |  128 | 5000/4953
    3508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (509,291)/(408,281) |  102 | 5000/4955
    3601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (489,291)/(417,284) |   72 | 5000/4956
    3681 | player | punch      | punch=cross feint=undefined charged=fals | (468,291)/(426,283) |   43 | 4999/4957
    3708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (466,291)/(426,283) |   40 | 4999/4957
    3735 | player | hit        | punch=cross damage=12 crit=false stun=fa | (457,291)/(422,282) |   36 | 4999/4946
    3801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (451,291)/(413,279) |   40 | 5000/4946
    3841 | enemy  | punch      | punch=rightHook feint=false charged=fals | (451,291)/(406,277) |   47 | 5000/4944
    3855 | enemy  | defense    | state=duck prev=none                     | (451,291)/(406,277) |   47 | 5000/4944
    3895 | enemy  | hit        | punch=rightHook damage=15 crit=false stu | (451,291)/(395,273) |   59 | 4985/4944
    3908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (456,293)/(395,273) |   64 | 4985/4945
    4002 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (456,293)/(376,267) |   84 | 4985/4945
    4082 | player | defense    | state=fullGuard prev=duck                | (456,278)/(370,264) |   86 | 4985/4945
    4108 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (456,272)/(365,262) |   91 | 4985/4945
    4202 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (456,267)/(345,255) |  111 | 4985/4945
    4228 | player | punch      | punch=cross feint=undefined charged=fals | (453,267)/(340,254) |  114 | 4983/4945
    4308 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (438,267)/(323,248) |  117 | 4983/4945
    4308 | enemy  | defense    | state=highBlock prev=duck                | (438,267)/(323,248) |  117 | 4983/4945
    4402 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (418,267)/(338,244) |   84 | 4983/4945
    4508 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (395,267)/(361,240) |   44 | 4983/4945
    4535 | player | defense    | state=none prev=fullGuard                | (389,267)/(366,239) |   36 | 4983/4945
    4602 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (375,267)/(373,229) |   37 | 4983/4945
