=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T18:02:28.802Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: BoxerPuncher
Player Level: 1 | Enemy Level: 1
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 75" | Enemy Arm: 67"
Practice Mode: true

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 8 thrown, 5 landed (63%) 1 charged 3 body
  cross: 36 thrown, 20 landed (56%) 3 charged 22 body
  leftUppercut: 8 thrown, 3 landed (38%)
ENEMY:
  jab: 17 thrown, 10 landed (59%) 1 charged
  cross: 18 thrown, 6 landed (33%) 1 charged
  leftHook: 10 thrown, 2 landed (20%) 2 body
  rightHook: 9 thrown, 3 landed (33%) 1 charged 4 body
  leftUppercut: 6 thrown, 1 landed (17%) 1 charged 6 body
  rightUppercut: 2 thrown, 0 landed (0%) 2 body

--- MOVEMENT ---
Player distance traveled: 8665px | Avg dist from enemy: 100px
Time in range: 22.8s | Out of range: 38.7s

--- DEFENSE ---
Player: 16 ducks, 2 full guards, 0 high blocks, 0 low blocks, 1 blocks hit, 16 dodges
Enemy: 38 ducks, 10 full guards, 112 high blocks, 30 low blocks, 13 blocks hit, 5 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1000/1000
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 1000/1000
      27 | player | defense    | state=duck prev=fullGuard                | (282,260)/(520,260) |  238 | 1000/1000
      67 | enemy  | defense    | state=highBlock prev=fullGuard           | (290,260)/(517,259) |  228 | 1000/1000
     107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (297,260)/(510,256) |  213 | 1000/1000
     120 | enemy  | defense    | state=none prev=highBlock                | (299,260)/(507,257) |  208 | 1000/1000
     173 | enemy  | defense    | state=highBlock prev=none                | (299,260)/(497,258) |  198 | 1000/1000
     213 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (299,260)/(490,257) |  190 | 1000/1000
     306 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (314,260)/(472,260) |  158 | 1000/1000
     333 | enemy  | defense    | state=none prev=highBlock                | (314,260)/(467,260) |  153 | 1000/1000
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (323,260)/(454,260) |  131 | 1000/1000
     506 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (330,260)/(434,262) |  104 | 1000/1000
     533 | enemy  | feint      | punch=cross feint=true charged=false bod | (338,260)/(427,260) |   89 | 1000/999
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (347,260)/(422,259) |   75 | 1000/1000
     614 | player | punch      | punch=cross feint=undefined charged=fals | (352,260)/(424,260) |   72 | 998/1000
     627 | enemy  | defense    | state=fullGuard prev=none                | (352,260)/(427,261) |   75 | 998/1000
     680 | enemy  | block      | punch=cross damage=4 blocked=true        | (364,260)/(429,258) |   65 | 999/996
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (366,260)/(432,259) |   66 | 999/996
     800 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (381,260)/(449,265) |   69 | 1000/996
     906 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (381,260)/(450,258) |   69 | 1000/996
    1000 | enemy  | defense    | state=none prev=fullGuard                | (381,260)/(440,259) |   59 | 1000/996
