=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T19:56:57.808Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: BoxerPuncher
Player Level: 100 | Enemy Level: 66
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"
Practice Mode: false

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 7 thrown, 0 landed (0%) 1 charged 1 body
  cross: 9 thrown, 0 landed (0%) 1 body
  leftHook: 3 thrown, 2 landed (67%) 2 body
  rightHook: 4 thrown, 1 landed (25%) 1 body
  leftUppercut: 5 thrown, 2 landed (40%) 5 body
  rightUppercut: 3 thrown, 2 landed (67%) 3 body
ENEMY:
  jab: 1 thrown, 0 landed (0%)
  cross: 15 thrown, 3 landed (20%) 1 body
  leftHook: 2 thrown, 0 landed (0%) 1 body
  rightHook: 6 thrown, 1 landed (17%) 2 body
  rightUppercut: 2 thrown, 1 landed (50%) 1 charged 2 body

--- MOVEMENT ---
Player distance traveled: 9914px | Avg dist from enemy: 81px
Time in range: 32.2s | Out of range: 27.6s

--- DEFENSE ---
Player: 24 ducks, 5 full guards, 47 high blocks, 15 low blocks, 6 blocks hit, 3 dodges
Enemy: 22 ducks, 3 full guards, 46 high blocks, 15 low blocks, 8 blocks hit, 1 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/3455
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/3455
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 5000/3455
     200 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 5000/3455
     293 | player | defense    | state=none prev=fullGuard                | (292,264)/(506,255) |  215 | 5000/3455
     293 | enemy  | defense    | state=none prev=fullGuard                | (292,264)/(506,255) |  215 | 5000/3455
     307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (294,265)/(504,254) |  210 | 5000/3455
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (315,272)/(485,248) |  172 | 5000/3455
     507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (338,278)/(464,247) |  130 | 5000/3455
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (358,277)/(446,255) |   91 | 5000/3455
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (381,276)/(426,264) |   47 | 5000/3455
     800 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (388,271)/(419,262) |   32 | 5000/3455
     853 | enemy  | defense    | state=lowBlock prev=none                 | (388,268)/(419,260) |   32 | 5000/3455
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (387,266)/(418,258) |   32 | 5000/3455
    1014 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (379,267)/(432,257) |   54 | 5000/3455
    1107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (360,275)/(451,256) |   93 | 5000/3455
    1133 | player | defense    | state=highBlock prev=none                | (354,277)/(456,256) |  104 | 5000/3455
    1133 | enemy  | defense    | state=none prev=lowBlock                 | (354,277)/(456,256) |  104 | 5000/3455
    1200 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (341,282)/(459,256) |  121 | 5000/3455
    1280 | enemy  | punch      | punch=cross feint=false charged=false bo | (359,274)/(440,256) |   83 | 5000/3453
    1307 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (362,273)/(438,257) |   77 | 5000/3453
    1321 | player | defense    | state=fullGuard prev=highBlock           | (365,272)/(435,257) |   71 | 5000/3453
    1401 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (381,265)/(418,257) |   38 | 5000/3454
    1507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (384,259)/(415,253) |   32 | 5000/3455
    1520 | enemy  | defense    | state=highBlock prev=none                | (384,259)/(415,252) |   32 | 5000/3455
    1613 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (384,255)/(415,248) |   32 | 5000/3455
    1693 | player | defense    | state=lowBlock prev=fullGuard            | (389,251)/(426,247) |   37 | 5000/3455
    1707 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (386,252)/(429,247) |   43 | 5000/3455
    1801 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (366,257)/(448,247) |   82 | 5000/3455
    1801 | enemy  | defense    | state=none prev=highBlock                | (366,257)/(448,247) |   82 | 5000/3455
    1907 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (344,264)/(454,250) |  111 | 5000/3455
    1961 | player | punch      | punch=cross feint=false charged=false bo | (352,261)/(443,254) |   91 | 4999/3455
    1974 | player | defense    | state=none prev=lowBlock                 | (352,261)/(441,255) |   88 | 4999/3455
    2001 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (358,259)/(435,256) |   77 | 4999/3455
    2001 | enemy  | defense    | state=duck prev=none                     | (358,259)/(435,256) |   77 | 4999/3455
    2014 | enemy  | dodge      | punch=cross method=duck                  | (364,257)/(430,258) |   67 | 4999/3455
    2107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (380,252)/(415,261) |   36 | 5000/3455
    2147 | player | defense    | state=lowBlock prev=none                 | (383,247)/(413,260) |   32 | 5000/3455
    2187 | enemy  | punch      | punch=cross feint=false charged=false bo | (388,239)/(409,258) |   28 | 5000/3453
    2201 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (387,238)/(410,260) |   32 | 5000/3453
    2227 | player | defense    | state=highBlock prev=lowBlock            | (390,233)/(408,260) |   32 | 5000/3453
    2253 | player | block      | punch=cross damage=1 blocked=true        | (398,228)/(401,259) |   31 | 4999/3454
    2307 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (406,225)/(394,255) |   32 | 4999/3455
    2401 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (397,238)/(386,269) |   33 | 4999/3455
    2467 | enemy  | defense    | state=highBlock prev=duck                | (387,249)/(382,282) |   34 | 4999/3455
    2507 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (381,255)/(380,290) |   35 | 4999/3455
    2601 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (369,256)/(380,309) |   54 | 4999/3455
    2707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (358,234)/(387,330) |  100 | 4999/3455
    2707 | player | defense    | state=none prev=highBlock                | (358,234)/(387,330) |  100 | 4999/3455
    2801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (349,215)/(391,337) |  130 | 4999/3455
    2907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (361,235)/(392,316) |   87 | 4999/3455
    3001 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (371,253)/(392,297) |   49 | 4999/3455
    3028 | enemy  | defense    | state=none prev=highBlock                | (374,258)/(396,301) |   48 | 4999/3455
    3108 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (380,274)/(408,313) |   48 | 5000/3455
    3201 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (386,294)/(422,327) |   50 | 5000/3455
    3295 | player | punch      | punch=leftUppercut feint=false charged=f | (387,306)/(435,343) |   60 | 4997/3455
    3308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (387,306)/(437,345) |   63 | 4998/3455
    3308 | player | defense    | state=duck prev=none                     | (387,306)/(437,345) |   63 | 4998/3455
    3308 | enemy  | defense    | state=highBlock prev=none                | (387,306)/(437,345) |   63 | 4998/3455
    3401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (375,289)/(449,361) |  104 | 4999/3455
    3508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (360,269)/(457,368) |  139 | 5000/3455
    3601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (368,281)/(449,350) |  106 | 5000/3455
    3655 | player | defense    | state=none prev=duck                     | (375,291)/(444,340) |   85 | 5000/3455
    3707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (381,301)/(439,329) |   65 | 5000/3455
    3801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (395,315)/(440,321) |   45 | 5000/3455
    3908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (415,325)/(445,313) |   32 | 5000/3455
    3935 | player | defense    | state=highBlock prev=none                | (419,328)/(446,311) |   32 | 5000/3455
    4001 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (433,335)/(452,300) |   40 | 5000/3455
    4108 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (426,357)/(462,280) |   86 | 5000/3455
    4202 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (420,377)/(468,266) |  121 | 5000/3455
    4308 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (414,399)/(452,283) |  123 | 5000/3455
    4402 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (410,414)/(438,298) |  120 | 5000/3455
    4427 | enemy  | defense    | state=none prev=highBlock                | (409,415)/(437,302) |  116 | 5000/3455
    4507 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (407,411)/(438,319) |   97 | 5000/3455
    4602 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (409,390)/(440,338) |   62 | 5000/3455
    4708 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (408,369)/(437,356) |   32 | 5000/3455
    4708 | enemy  | defense    | state=highBlock prev=none                | (408,369)/(437,356) |   32 | 5000/3455
    4775 | player | defense    | state=none prev=highBlock                | (397,374)/(431,367) |   35 | 5000/3455
    4801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (392,377)/(428,372) |   37 | 5000/3455
    4908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (372,392)/(429,384) |   58 | 5000/3455
    5002 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (355,392)/(448,386) |   94 | 5000/3455
    5055 | player | defense    | state=highBlock prev=none                | (345,386)/(458,384) |  113 | 5000/3455
    5109 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (335,380)/(466,380) |  131 | 5000/3455
    5202 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (319,370)/(481,370) |  162 | 5000/3455
    5268 | enemy  | defense    | state=none prev=highBlock                | (333,367)/(492,364) |  158 | 5000/3455
    5309 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (342,365)/(498,360) |  156 | 5000/3455
    5335 | player | defense    | state=none prev=highBlock                | (348,364)/(502,357) |  154 | 5000/3455
    5402 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (362,361)/(493,355) |  131 | 5000/3455
    5508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (385,362)/(471,351) |   87 | 5000/3455
    5548 | enemy  | defense    | state=highBlock prev=none                | (394,363)/(463,350) |   71 | 5000/3455
    5602 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (405,365)/(452,350) |   49 | 5000/3455
    5708 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (420,371)/(437,344) |   32 | 5000/3455
    5802 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (436,365)/(419,339) |   31 | 5000/3455
    5909 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (454,351)/(403,324) |   58 | 5000/3455
    6002 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (471,360)/(388,311) |   96 | 5000/3455
    6108 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (485,368)/(396,309) |  106 | 5000/3455
    6202 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (481,360)/(415,313) |   81 | 5000/3455
