=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T20:03:17.660Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: OutBoxer
Player Level: 100 | Enemy Level: 66
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"
Practice Mode: false

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 9 thrown, 3 landed (33%)
  cross: 16 thrown, 2 landed (13%) 2 charged
  leftHook: 7 thrown, 2 landed (29%) 3 body
  rightHook: 2 thrown, 0 landed (0%) 1 body
  leftUppercut: 8 thrown, 3 landed (38%) 8 body
  rightUppercut: 2 thrown, 1 landed (50%) 2 body
ENEMY:
  jab: 8 thrown, 5 landed (63%)
  cross: 12 thrown, 2 landed (17%) 1 charged 2 body
  leftHook: 4 thrown, 1 landed (25%) 2 body
  rightHook: 2 thrown, 1 landed (50%) 1 body
  leftUppercut: 3 thrown, 2 landed (67%) 3 body
  rightUppercut: 1 thrown, 1 landed (100%) 1 charged 1 body

--- MOVEMENT ---
Player distance traveled: 10287px | Avg dist from enemy: 93px
Time in range: 26s | Out of range: 34s

--- DEFENSE ---
Player: 20 ducks, 1 full guards, 46 high blocks, 4 low blocks, 4 blocks hit, 1 dodges
Enemy: 23 ducks, 3 full guards, 54 high blocks, 7 low blocks, 11 blocks hit, 6 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/3455
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/3455
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 5000/3455
     214 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(520,260) |  240 | 5000/3455
     293 | player | defense    | state=highBlock prev=fullGuard           | (292,256)/(508,264) |  217 | 5000/3455
     293 | enemy  | defense    | state=none prev=fullGuard                | (292,256)/(508,264) |  217 | 5000/3455
     307 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (294,255)/(505,265) |  211 | 5000/3455
     400 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (315,248)/(484,272) |  171 | 5000/3455
     506 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (338,242)/(461,276) |  128 | 5000/3455
     574 | player | defense    | state=none prev=highBlock                | (352,243)/(447,269) |   99 | 5000/3455
     574 | enemy  | defense    | state=highBlock prev=none                | (352,243)/(447,269) |   99 | 5000/3455
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (358,244)/(442,266) |   87 | 5000/3455
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (381,245)/(420,255) |   41 | 5000/3455
     746 | player | punch      | punch=jab feint=false charged=false body | (387,248)/(416,252) |   29 | 4999/3455
     746 | enemy  | punch      | punch=jab feint=false charged=false body | (387,248)/(413,251) |   26 | 4999/3454
     760 | enemy  | defense    | state=none prev=highBlock                | (384,248)/(416,251) |   32 | 4999/3454
     800 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (376,247)/(425,252) |   50 | 5000/3454
     800 | player | hit        | punch=jab damage=12 crit=false stun=fals | (373,247)/(428,252) |   56 | 5000/3442
     800 | enemy  | hit        | punch=jab damage=9 crit=false stun=false | (373,247)/(432,253) |   59 | 4991/3442
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (350,245)/(453,255) |  103 | 4991/3442
    1014 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (333,242)/(454,251) |  121 | 4991/3442
    1107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (313,236)/(434,242) |  121 | 4991/3442
    1201 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (293,231)/(414,233) |  122 | 4991/3442
    1307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (316,236)/(391,238) |   75 | 4991/3442
    1400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (336,240)/(370,241) |   34 | 4991/3442
    1507 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (337,236)/(367,248) |   32 | 4991/3442
    1507 | player | defense    | state=highBlock prev=none                | (337,236)/(367,248) |   32 | 4991/3442
    1601 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (351,227)/(353,257) |   30 | 4991/3442
    1681 | player | punch      | punch=cross feint=false charged=false bo | (369,222)/(336,260) |   50 | 4990/3443
    1694 | player | defense    | state=none prev=highBlock                | (369,222)/(333,261) |   54 | 4990/3443
    1707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (371,220)/(331,263) |   59 | 4990/3443
    1721 | enemy  | defense    | state=highBlock prev=none                | (372,217)/(328,265) |   65 | 4991/3443
    1734 | enemy  | block      | punch=cross damage=1 blocked=true        | (375,212)/(323,269) |   77 | 4991/3443
    1800 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (382,202)/(313,276) |  101 | 4992/3443
    1880 | player | defense    | state=highBlock prev=none                | (391,187)/(299,287) |  136 | 4993/3443
    1907 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (394,182)/(294,291) |  147 | 4993/3443
    2001 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (386,195)/(307,282) |  118 | 4994/3443
    2108 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (374,215)/(326,267) |   71 | 4995/3443
    2161 | player | defense    | state=none prev=highBlock                | (368,225)/(336,260) |   47 | 4996/3443
    2201 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (361,229)/(340,253) |   32 | 4996/3443
    2240 | player | punch      | punch=cross feint=false charged=false bo | (358,230)/(339,252) |   29 | 4995/3443
    2294 | enemy  | block      | punch=cross damage=1 blocked=true        | (359,226)/(336,249) |   32 | 4996/3442
    2307 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (359,226)/(336,249) |   32 | 4997/3442
    2348 | enemy  | defense    | state=none prev=highBlock                | (358,226)/(334,247) |   32 | 4997/3442
    2401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (358,227)/(331,243) |   32 | 4998/3442
    2508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (376,211)/(313,259) |   79 | 4999/3442
    2600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (391,197)/(297,273) |  121 | 5000/3442
    2628 | enemy  | defense    | state=highBlock prev=none                | (396,194)/(292,277) |  133 | 5000/3442
    2707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (385,199)/(303,272) |  110 | 5000/3442
    2801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (367,208)/(322,262) |   70 | 5000/3442
    2867 | enemy  | punch      | punch=rightHook feint=false charged=fals | (351,216)/(338,254) |   40 | 5000/3440
    2881 | enemy  | defense    | state=none prev=highBlock                | (351,216)/(338,254) |   40 | 5000/3440
    2908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (353,211)/(341,248) |   40 | 5000/3440
    2921 | enemy  | hit        | punch=rightHook damage=41 crit=true stun | (355,205)/(345,243) |   39 | 4959/3440
    3001 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (360,187)/(352,230) |   44 | 4959/3441
    3001 | enemy  | defense    | state=highBlock prev=none                | (360,187)/(352,230) |   44 | 4959/3441
    3107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (360,175)/(365,209) |   34 | 4959/3441
    3174 | player | punch      | punch=cross feint=false charged=false bo | (359,167)/(366,219) |   52 | 4958/3442
    3201 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (359,165)/(366,225) |   60 | 4958/3442
    3214 | enemy  | defense    | state=duck prev=highBlock                | (359,164)/(366,227) |   64 | 4958/3442
    3227 | enemy  | dodge      | punch=cross method=duck                  | (359,161)/(366,233) |   73 | 4958/3442
    3308 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (352,164)/(365,248) |   85 | 4958/3443
    3401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (346,171)/(368,260) |   91 | 4958/3444
    3494 | enemy  | punch      | punch=cross feint=false charged=false bo | (344,183)/(376,258) |   82 | 4958/3443
    3508 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (344,183)/(376,258) |   82 | 4958/3443
    3548 | enemy  | hit        | punch=cross damage=12 crit=false stun=fa | (344,189)/(380,257) |   78 | 4946/3444
    3602 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (341,190)/(384,256) |   79 | 4946/3445
    3655 | enemy  | defense    | state=highBlock prev=duck                | (339,191)/(386,268) |   91 | 4946/3445
    3708 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (338,192)/(389,280) |  102 | 4946/3446
    3801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (335,194)/(395,301) |  123 | 4946/3447
    3908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (336,202)/(394,295) |  110 | 4946/3448
    3935 | enemy  | defense    | state=none prev=highBlock                | (337,204)/(393,289) |  102 | 4946/3448
    4002 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (339,211)/(391,274) |   82 | 4946/3449
    4028 | player | defense    | state=highBlock prev=none                | (340,214)/(390,268) |   74 | 4946/3449
    4108 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (344,221)/(393,259) |   62 | 4946/3450
    4202 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (353,226)/(414,266) |   73 | 4946/3451
    4308 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (364,231)/(438,274) |   86 | 4946/3452
    4402 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (366,229)/(458,281) |  106 | 4946/3453
    4494 | enemy  | defense    | state=highBlock prev=none                | (368,226)/(479,288) |  127 | 4946/3453
    4508 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (368,226)/(481,289) |  129 | 4946/3454
    4602 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (374,225)/(486,287) |  129 | 4946/3454
    4709 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (385,229)/(468,271) |   93 | 4948/3455
    4775 | enemy  | defense    | state=none prev=highBlock                | (392,231)/(456,261) |   71 | 4949/3455
    4802 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (395,232)/(451,257) |   62 | 4949/3455
    4869 | player | defense    | state=duck prev=highBlock                | (402,234)/(439,249) |   40 | 4950/3455
    4908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (404,234)/(434,244) |   32 | 4950/3455
    5001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (403,235)/(435,235) |   32 | 4952/3455
    5055 | enemy  | defense    | state=highBlock prev=none                | (401,239)/(437,226) |   38 | 4952/3455
    5109 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (390,240)/(448,220) |   61 | 4953/3455
    5149 | player | defense    | state=none prev=duck                     | (381,242)/(455,216) |   79 | 4954/3455
    5202 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (370,243)/(466,209) |  102 | 4954/3455
    5309 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (357,243)/(476,200) |  126 | 4956/3455
    5335 | enemy  | defense    | state=none prev=highBlock                | (363,240)/(470,200) |  114 | 4956/3455
    5402 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (375,232)/(455,200) |   86 | 4957/3455
    5429 | player | defense    | state=highBlock prev=none                | (380,229)/(449,200) |   75 | 4958/3455
    5508 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (395,220)/(431,200) |   41 | 4959/3455
    5602 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (414,213)/(446,196) |   36 | 4960/3455
