=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T20:05:58.029Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: Brawler
Player Level: 100 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"
Practice Mode: false

=== ROUND 1 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 35 thrown, 1 landed (3%) 2 charged
  cross: 26 thrown, 4 landed (15%) 1 charged 1 body
  leftHook: 30 thrown, 5 landed (17%) 9 body
  rightHook: 28 thrown, 3 landed (11%) 10 body
  leftUppercut: 13 thrown, 2 landed (15%) 13 body
  rightUppercut: 12 thrown, 2 landed (17%) 1 charged 11 body
ENEMY:
  jab: 29 thrown, 6 landed (21%) 2 charged
  cross: 49 thrown, 11 landed (22%) 1 charged 14 body
  leftHook: 16 thrown, 5 landed (31%) 8 body
  rightHook: 28 thrown, 2 landed (7%) 13 body
  leftUppercut: 16 thrown, 2 landed (13%) 2 charged 16 body
  rightUppercut: 14 thrown, 1 landed (7%) 1 charged 14 body

--- MOVEMENT ---
Player distance traveled: 6082px | Avg dist from enemy: 85px
Time in range: 26.4s | Out of range: 33.6s

--- DEFENSE ---
Player: 66 ducks, 15 full guards, 50 high blocks, 70 low blocks, 8 blocks hit, 14 dodges
Enemy: 94 ducks, 11 full guards, 40 high blocks, 54 low blocks, 8 blocks hit, 23 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/5750
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/5750
      67 | player | defense    | state=highBlock prev=fullGuard           | (283,259)/(517,259) |  234 | 5000/5750
      67 | enemy  | defense    | state=none prev=fullGuard                | (283,259)/(517,259) |  234 | 5000/5750
     106 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (292,256)/(509,256) |  217 | 5000/5750
     120 | player | defense    | state=none prev=highBlock                | (294,255)/(506,257) |  212 | 5000/5750
     120 | enemy  | defense    | state=duck prev=none                     | (294,255)/(506,257) |  212 | 5000/5750
     174 | player | defense    | state=lowBlock prev=none                 | (306,253)/(495,258) |  189 | 5000/5750
     174 | enemy  | defense    | state=highBlock prev=duck                | (306,253)/(495,258) |  189 | 5000/5750
     200 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (312,252)/(490,256) |  178 | 5000/5750
     227 | player | defense    | state=highBlock prev=lowBlock            | (318,251)/(485,256) |  167 | 5000/5750
     227 | enemy  | defense    | state=duck prev=highBlock                | (318,251)/(485,256) |  167 | 5000/5750
     280 | player | defense    | state=lowBlock prev=highBlock            | (329,249)/(474,258) |  145 | 5000/5750
     280 | enemy  | defense    | state=highBlock prev=duck                | (329,249)/(474,258) |  145 | 5000/5750
     307 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (335,248)/(468,259) |  134 | 5000/5750
     334 | player | defense    | state=none prev=lowBlock                 | (341,249)/(463,259) |  123 | 5000/5750
     334 | enemy  | defense    | state=duck prev=highBlock                | (341,249)/(463,259) |  123 | 5000/5750
     388 | enemy  | defense    | state=highBlock prev=duck                | (352,252)/(452,260) |  101 | 5000/5750
     401 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (355,254)/(449,259) |   95 | 5000/5750
     401 | enemy  | punch      | punch=jab feint=false charged=false body | (357,255)/(447,258) |   89 | 5000/5749
     414 | enemy  | defense    | state=none prev=highBlock                | (357,255)/(447,258) |   89 | 5000/5749
     427 | player | defense    | state=fullGuard prev=none                | (360,256)/(444,257) |   84 | 5000/5749
     481 | player | punch      | punch=jab feint=false charged=false body | (346,261)/(433,254) |   88 | 4999/5750
     508 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (343,263)/(428,253) |   86 | 4999/5750
     601 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (323,271)/(409,248) |   89 | 5000/5750
     641 | enemy  | punch      | punch=rightHook feint=false charged=fals | (312,276)/(401,245) |   94 | 5000/5747
     707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (301,280)/(388,242) |   95 | 5000/5748
     748 | player | punch      | punch=cross feint=false charged=false bo | (292,284)/(380,239) |   98 | 4999/5748
     801 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (281,289)/(369,236) |  103 | 4999/5749
     827 | enemy  | defense    | state=duck prev=none                     | (280,288)/(364,235) |   99 | 4999/5749
     867 | player | defense    | state=none prev=fullGuard                | (286,281)/(356,233) |   85 | 5000/5750
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (291,273)/(348,230) |   71 | 5000/5750
     974 | enemy  | punch      | punch=leftHook feint=false charged=false | (295,273)/(334,226) |   61 | 5000/5748
    1001 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (294,273)/(329,225) |   59 | 5000/5749
    1040 | enemy  | hit        | punch=leftHook damage=18 crit=false stun | (288,275)/(318,222) |   61 | 4982/5749
    1080 | player | defense    | state=lowBlock prev=none                 | (280,284)/(313,220) |   71 | 4982/5750
    1108 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (282,285)/(308,219) |   71 | 4982/5750
    1174 | player | punch      | punch=rightUppercut feint=false charged= | (288,287)/(294,215) |   72 | 4979/5750
    1187 | player | defense    | state=duck prev=lowBlock                 | (288,287)/(292,214) |   72 | 4979/5750
    1187 | enemy  | punch      | punch=rightHook feint=false charged=fals | (287,287)/(292,214) |   72 | 4979/5747
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (287,287)/(289,214) |   73 | 4979/5748
    1228 | player | defense    | state=fullGuard prev=duck                | (285,286)/(284,212) |   74 | 4979/5748
    1308 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (289,289)/(268,208) |   84 | 4979/5749
    1401 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (298,295)/(249,202) |  105 | 4979/5750
    1508 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,279)/(238,200) |   89 | 4979/5750
    1534 | player | punch      | punch=jab feint=false charged=false body | (282,277)/(237,200) |   89 | 4978/5750
    1587 | enemy  | punch      | punch=jab feint=false charged=false body | (286,276)/(236,201) |   90 | 4978/5749
    1601 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (286,276)/(236,201) |   90 | 4978/5749
    1654 | player | defense    | state=duck prev=fullGuard                | (289,274)/(241,198) |   90 | 4978/5749
    1708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (293,272)/(247,194) |   90 | 4978/5750
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (299,268)/(258,187) |   91 | 4978/5750
    1868 | player | punch      | punch=rightHook feint=false charged=fals | (304,266)/(266,182) |   92 | 4976/5750
    1908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (306,265)/(270,180) |   92 | 4977/5750
    1988 | enemy  | defense    | state=none prev=duck                     | (301,267)/(277,176) |   94 | 4978/5750
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (300,267)/(276,176) |   94 | 4978/5750
    2041 | player | defense    | state=highBlock prev=duck                | (301,267)/(281,183) |   86 | 4978/5750
    2041 | enemy  | defense    | state=duck prev=none                     | (301,267)/(281,183) |   86 | 4978/5750
    2055 | enemy  | punch      | punch=cross feint=false charged=false bo | (303,266)/(282,186) |   83 | 4979/5748
    2081 | player | defense    | state=duck prev=highBlock                | (304,266)/(281,186) |   83 | 4979/5748
    2108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (305,266)/(279,187) |   83 | 4979/5749
    2108 | player | dodge      | punch=cross method=duck                  | (307,265)/(279,189) |   81 | 4979/5749
    2201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (311,270)/(280,206) |   71 | 4981/5750
    2241 | enemy  | defense    | state=lowBlock prev=duck                 | (310,274)/(282,208) |   71 | 4981/5750
    2295 | enemy  | defense    | state=duck prev=lowBlock                 | (303,270)/(282,208) |   66 | 4982/5750
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (303,273)/(281,208) |   69 | 4982/5750
    2321 | enemy  | punch      | punch=cross feint=false charged=false bo | (303,278)/(280,205) |   77 | 4982/5746
    2401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (307,280)/(277,193) |   93 | 4984/5747
    2508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (305,293)/(281,203) |   93 | 4985/5748
    2522 | player | defense    | state=lowBlock prev=duck                 | (307,295)/(282,205) |   93 | 4985/5748
    2548 | enemy  | defense    | state=lowBlock prev=duck                 | (310,300)/(285,210) |   94 | 4986/5748
    2562 | player | punch      | punch=jab feint=false charged=false body | (308,301)/(286,213) |   91 | 4985/5748
    2575 | player | defense    | state=none prev=lowBlock                 | (308,301)/(286,210) |   94 | 4985/5749
    2602 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (306,301)/(284,205) |   99 | 4985/5749
    2708 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (298,304)/(280,183) |  122 | 4987/5750
    2762 | player | punch      | punch=leftHook feint=false charged=false | (294,305)/(285,193) |  112 | 4986/5750
    2802 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (292,305)/(287,201) |  104 | 4987/5750
    2908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (284,308)/(288,223) |   85 | 4988/5750
    2908 | enemy  | punch      | punch=cross feint=false charged=false bo | (283,308)/(289,223) |   85 | 4988/5748
    2922 | enemy  | defense    | state=none prev=lowBlock                 | (283,308)/(289,223) |   85 | 4989/5748
    2988 | player | punch      | punch=leftHook feint=false charged=false | (278,309)/(294,223) |   87 | 4988/5749
    3002 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (277,309)/(294,223) |   88 | 4988/5749
