=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T21:15:40.447Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: Brawler
Player Level: 100 | Enemy Level: 100
AI Difficulty: champion
Round Duration: 180s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"
Practice Mode: true

=== ROUND 1 === (180.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 91 thrown, 6 landed (7%) 2 charged
  cross: 84 thrown, 3 landed (4%) 5 charged
  leftHook: 77 thrown, 8 landed (10%) 34 body
  rightHook: 68 thrown, 6 landed (9%) 1 charged 29 body
  leftUppercut: 44 thrown, 6 landed (14%) 44 body
  rightUppercut: 42 thrown, 7 landed (17%) 42 body
ENEMY:
  jab: 78 thrown, 3 landed (4%) 2 charged
  cross: 90 thrown, 7 landed (8%) 2 charged 10 body
  leftHook: 63 thrown, 4 landed (6%) 2 charged 29 body
  rightHook: 79 thrown, 2 landed (3%) 36 body
  leftUppercut: 57 thrown, 10 landed (18%) 3 charged 57 body
  rightUppercut: 55 thrown, 10 landed (18%) 55 body

--- MOVEMENT ---
Player distance traveled: 15850px | Avg dist from enemy: 90px
Time in range: 44.3s | Out of range: 135.7s

--- DEFENSE ---
Player: 245 ducks, 36 full guards, 204 high blocks, 166 low blocks, 19 blocks hit, 31 dodges
Enemy: 256 ducks, 18 full guards, 174 high blocks, 265 low blocks, 13 blocks hit, 42 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      14 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/5075
      14 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 5000/5075
      67 | player | defense    | state=none prev=fullGuard                | (283,259)/(517,259) |  234 | 5000/5075
      67 | enemy  | defense    | state=none prev=fullGuard                | (283,259)/(517,259) |  234 | 5000/5075
     107 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (291,256)/(509,256) |  218 | 5000/5075
     200 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (312,260)/(490,257) |  178 | 5000/5075
     227 | enemy  | defense    | state=highBlock prev=none                | (317,261)/(485,256) |  167 | 5000/5075
     280 | player | defense    | state=duck prev=none                     | (329,262)/(474,255) |  145 | 5000/5075
     280 | enemy  | defense    | state=none prev=highBlock                | (329,262)/(474,255) |  145 | 5000/5075
     308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (335,260)/(468,256) |  134 | 5000/5075
     334 | player | defense    | state=none prev=duck                     | (340,259)/(463,258) |  123 | 5000/5075
     334 | enemy  | defense    | state=highBlock prev=none                | (340,259)/(463,258) |  123 | 5000/5075
     400 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (355,259)/(449,260) |   95 | 5000/5075
     400 | enemy  | punch      | punch=jab feint=false charged=false body | (357,260)/(447,261) |   89 | 5000/5074
     414 | enemy  | defense    | state=none prev=highBlock                | (357,260)/(447,261) |   89 | 5000/5074
     427 | player | defense    | state=duck prev=none                     | (360,261)/(444,261) |   84 | 5000/5074
     454 | player | dodge      | punch=jab method=duck                    | (360,258)/(436,263) |   76 | 5000/5075
     480 | player | punch      | punch=rightUppercut feint=false charged= | (360,258)/(433,264) |   73 | 4997/5075
     508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (360,259)/(428,265) |   68 | 4997/5075
     547 | player | hit        | punch=rightUppercut damage=29 crit=false | (360,263)/(417,267) |   57 | 4998/5046
     601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (360,266)/(417,268) |   58 | 5000/5046
     601 | enemy  | punch      | punch=leftUppercut feint=false charged=f | (360,267)/(417,268) |   58 | 5000/5043
     613 | enemy  | defense    | state=duck prev=none                     | (360,267)/(415,269) |   55 | 5000/5043
     667 | enemy  | hit        | punch=leftUppercut damage=32 crit=false  | (359,272)/(401,272) |   42 | 4968/5043
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (349,275)/(395,273) |   46 | 4968/5044
     800 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (347,282)/(378,276) |   32 | 4968/5044
     854 | enemy  | defense    | state=none prev=duck                     | (342,287)/(373,278) |   32 | 4968/5044
     854 | player | punch      | punch=rightUppercut feint=false charged= | (342,287)/(373,278) |   32 | 4965/5044
     867 | enemy  | defense    | state=lowBlock prev=none                 | (341,289)/(371,279) |   32 | 4965/5044
     908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (339,292)/(375,277) |   38 | 4965/5044
     921 | enemy  | block      | punch=rightUppercut damage=1 blocked=tru | (339,294)/(380,274) |   45 | 4965/5043
    1001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (339,299)/(390,270) |   59 | 4966/5043
    1108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (338,307)/(388,272) |   61 | 4966/5043
    1201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (338,314)/(386,264) |   69 | 4966/5043
    1201 | enemy  | punch      | punch=rightHook feint=false charged=fals | (337,315)/(385,263) |   70 | 4966/5040
    1214 | enemy  | defense    | state=duck prev=lowBlock                 | (337,315)/(385,263) |   70 | 4966/5040
    1268 | player | punch      | punch=rightHook feint=false charged=fals | (337,319)/(382,261) |   74 | 4964/5040
    1308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (337,322)/(380,259) |   76 | 4964/5040
    1335 | enemy  | defense    | state=lowBlock prev=duck                 | (337,324)/(381,260) |   78 | 4964/5040
    1388 | player | defense    | state=highBlock prev=duck                | (333,336)/(385,262) |   90 | 4964/5040
    1388 | enemy  | defense    | state=none prev=lowBlock                 | (333,336)/(385,262) |   90 | 4964/5040
    1401 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (333,335)/(385,263) |   90 | 4964/5040
    1440 | enemy  | defense    | state=duck prev=none                     | (330,333)/(388,264) |   90 | 4964/5040
    1494 | player | defense    | state=lowBlock prev=highBlock            | (320,340)/(391,267) |  102 | 4964/5040
    1494 | enemy  | defense    | state=highBlock prev=duck                | (320,340)/(391,267) |  102 | 4964/5040
    1507 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (322,338)/(391,268) |   99 | 4965/5040
    1547 | player | defense    | state=highBlock prev=lowBlock            | (331,334)/(393,269) |   90 | 4965/5040
    1547 | enemy  | defense    | state=none prev=highBlock                | (331,334)/(393,269) |   90 | 4965/5040
    1560 | enemy  | punch      | punch=jab feint=false charged=false body | (332,335)/(395,271) |   90 | 4965/5039
    1588 | player | defense    | state=fullGuard prev=highBlock           | (333,336)/(395,271) |   90 | 4965/5039
    1601 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (333,337)/(396,272) |   90 | 4966/5039
    1707 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (339,342)/(402,277) |   90 | 4967/5039
    1761 | player | punch      | punch=cross feint=false charged=false bo | (345,344)/(404,280) |   87 | 4966/5039
    1761 | enemy  | punch      | punch=jab feint=false charged=false body | (345,344)/(404,280) |   87 | 4966/5038
    1801 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (350,341)/(405,281) |   81 | 4966/5039
    1801 | enemy  | defense    | state=duck prev=none                     | (350,341)/(405,281) |   81 | 4966/5039
    1814 | player | block      | punch=jab damage=12 blocked=true         | (356,338)/(404,279) |   76 | 4955/5039
    1828 | enemy  | dodge      | punch=cross method=duck                  | (359,337)/(403,279) |   73 | 4955/5040
    1908 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (372,330)/(401,277) |   60 | 4955/5041
    2001 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (391,320)/(404,267) |   54 | 4955/5042
    2027 | player | punch      | punch=leftUppercut feint=false charged=f | (396,317)/(407,263) |   56 | 4952/5042
    2041 | player | defense    | state=duck prev=fullGuard                | (399,316)/(409,260) |   57 | 4952/5042
    2094 | player | hit        | punch=leftUppercut damage=75 crit=true s | (413,309)/(415,247) |   62 | 4952/4968
    2108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (413,309)/(415,235) |   74 | 4953/4968
    2161 | enemy  | defense    | state=lowBlock prev=duck                 | (424,303)/(413,241) |   64 | 4953/4968
    2201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (432,299)/(415,240) |   62 | 4953/4968
    2215 | enemy  | defense    | state=none prev=lowBlock                 | (435,298)/(415,240) |   61 | 4953/4968
    2268 | enemy  | defense    | state=duck prev=none                     | (446,292)/(413,241) |   61 | 4953/4968
    2295 | enemy  | punch      | punch=cross feint=false charged=false bo | (454,288)/(415,240) |   62 | 4953/4966
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (454,288)/(415,240) |   62 | 4953/4966
    2335 | player | punch      | punch=cross feint=false charged=false bo | (459,285)/(415,240) |   63 | 4952/4966
    2348 | player | dodge      | punch=cross method=duck                  | (465,283)/(414,241) |   66 | 4952/4966
    2388 | enemy  | dodge      | punch=cross method=duck                  | (473,278)/(413,242) |   70 | 4952/4966
    2402 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (473,278)/(413,242) |   70 | 4952/4966
    2415 | enemy  | defense    | state=lowBlock prev=duck                 | (472,279)/(413,242) |   70 | 4952/4966
    2508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (478,292)/(411,245) |   82 | 4952/4966
    2535 | player | defense    | state=highBlock prev=duck                | (479,290)/(410,246) |   82 | 4952/4966
    2561 | enemy  | punch      | punch=rightUppercut feint=false charged= | (481,288)/(411,245) |   82 | 4952/4959
    2574 | enemy  | defense    | state=duck prev=lowBlock                 | (481,288)/(411,245) |   82 | 4952/4959
    2588 | player | defense    | state=lowBlock prev=highBlock            | (481,287)/(411,244) |   82 | 4952/4959
    2602 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (482,286)/(412,244) |   82 | 4952/4959
    2681 | enemy  | defense    | state=highBlock prev=duck                | (485,281)/(413,241) |   82 | 4952/4959
    2708 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (486,279)/(414,240) |   82 | 4953/4959
    2735 | enemy  | defense    | state=duck prev=highBlock                | (486,279)/(414,240) |   82 | 4953/4959
    2788 | enemy  | defense    | state=lowBlock prev=duck                 | (487,282)/(415,238) |   85 | 4954/4959
    2801 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (490,283)/(415,238) |   88 | 4954/4959
    2842 | enemy  | punch      | punch=leftHook feint=false charged=false | (495,286)/(421,239) |   88 | 4954/4956
    2855 | enemy  | defense    | state=duck prev=lowBlock                 | (495,286)/(421,239) |   88 | 4954/4956
    2894 | player | punch      | punch=cross feint=false charged=false bo | (493,289)/(425,239) |   84 | 4953/4956
    2908 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (493,289)/(426,240) |   83 | 4954/4956
    2908 | player | defense    | state=none prev=lowBlock                 | (493,289)/(426,240) |   83 | 4954/4956
    2948 | enemy  | dodge      | punch=cross method=duck                  | (491,293)/(432,241) |   79 | 4954/4957
    3002 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (489,295)/(436,242) |   76 | 4955/4957
    3109 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (485,302)/(446,244) |   69 | 4956/4959
    3109 | player | punch      | punch=jab feint=false charged=false body | (485,302)/(446,244) |   69 | 4955/4959
    3135 | enemy  | punch      | punch=rightHook feint=false charged=fals | (483,304)/(449,245) |   68 | 4955/4955
    3161 | enemy  | dodge      | punch=jab method=duck                    | (482,306)/(453,245) |   67 | 4955/4955
    3202 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (481,308)/(456,246) |   66 | 4956/4955
    3309 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (476,314)/(467,248) |   67 | 4957/4957
    3375 | enemy  | punch      | punch=leftUppercut feint=false charged=f | (473,319)/(474,250) |   70 | 4958/4952
    3402 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (472,320)/(476,250) |   70 | 4958/4952
    3509 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (467,327)/(487,252) |   77 | 4959/4954
    3522 | player | punch      | punch=jab feint=false charged=false body | (467,328)/(489,253) |   78 | 4958/4954
    3602 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (463,332)/(497,254) |   85 | 4959/4955
    3708 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (459,339)/(508,257) |   96 | 4960/4956
    3708 | enemy  | punch      | punch=cross feint=false charged=false bo | (458,340)/(508,257) |   97 | 4960/4953
    3802 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (455,345)/(506,260) |   99 | 4961/4954
    3855 | enemy  | defense    | state=lowBlock prev=duck                 | (453,348)/(504,261) |  101 | 4962/4955
    3882 | player | punch      | punch=leftUppercut feint=false charged=f | (452,350)/(504,264) |  101 | 4960/4956
    3895 | player | defense    | state=duck prev=none                     | (451,351)/(503,265) |  100 | 4960/4956
    3909 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (450,352)/(502,266) |  100 | 4960/4956
    4002 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (446,357)/(498,274) |   98 | 4961/4957
    4109 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (442,364)/(495,279) |  100 | 4962/4959
    4109 | player | punch      | punch=leftHook feint=false charged=false | (442,364)/(495,279) |  100 | 4961/4959
    4202 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (437,366)/(487,278) |  101 | 4962/4960
    4215 | player | defense    | state=highBlock prev=duck                | (436,366)/(488,275) |  104 | 4962/4960
    4255 | enemy  | punch      | punch=jab feint=false charged=false body | (438,354)/(479,283) |   82 | 4963/4960
    4268 | player | defense    | state=duck prev=highBlock                | (438,354)/(479,283) |   82 | 4963/4960
    4268 | enemy  | defense    | state=none prev=lowBlock                 | (438,354)/(479,283) |   82 | 4963/4960
    4309 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (434,362)/(472,288) |   83 | 4964/4960
    4402 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (426,380)/(457,301) |   84 | 4965/4962
    4509 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (418,401)/(439,316) |   88 | 4966/4963
    4509 | enemy  | punch      | punch=leftHook feint=false charged=false | (417,404)/(439,316) |   91 | 4966/4962
    4522 | player | punch      | punch=rightUppercut feint=false charged= | (417,407)/(437,318) |   91 | 4964/4962
    4602 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (413,412)/(424,329) |   83 | 4965/4963
    4709 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (411,414)/(406,344) |   69 | 4966/4964
    4776 | player | punch      | punch=jab feint=false charged=false body | (411,413)/(395,354) |   61 | 4965/4965
    4802 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (413,412)/(391,357) |   59 | 4966/4966
    4829 | player | hit        | punch=jab damage=44 crit=true stun=false | (415,411)/(384,363) |   57 | 4966/4923
    4908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (422,406)/(373,357) |   70 | 4968/4923
    4908 | enemy  | punch      | punch=rightUppercut feint=false charged= | (424,406)/(373,357) |   70 | 4968/4919
    4923 | enemy  | defense    | state=duck prev=none                     | (424,406)/(372,358) |   70 | 4968/4919
    5002 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (434,399)/(365,364) |   77 | 4969/4919
    5056 | enemy  | defense    | state=lowBlock prev=duck                 | (442,394)/(363,367) |   84 | 4969/4919
    5082 | player | punch      | punch=leftHook feint=false charged=false | (446,392)/(362,368) |   87 | 4967/4919
    5096 | enemy  | defense    | state=duck prev=lowBlock                 | (448,390)/(362,367) |   89 | 4967/4919
    5109 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (450,389)/(363,367) |   90 | 4967/4919
    5202 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (464,381)/(367,364) |   98 | 4968/4919
    5309 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (479,371)/(370,362) |  110 | 4970/4919
    5309 | player | punch      | punch=leftUppercut feint=false charged=f | (479,371)/(370,362) |  110 | 4964/4919
    5403 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (492,363)/(379,365) |  113 | 4965/4919
    5483 | enemy  | defense    | state=lowBlock prev=duck                 | (503,357)/(387,366) |  116 | 4966/4919
    5509 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (507,354)/(390,366) |  117 | 4967/4919
    5589 | enemy  | defense    | state=none prev=lowBlock                 | (500,357)/(398,366) |  102 | 4967/4919
    5603 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (500,358)/(399,366) |  101 | 4968/4919
    5643 | enemy  | defense    | state=lowBlock prev=none                 | (498,360)/(398,366) |  100 | 4968/4919
    5655 | player | defense    | state=highBlock prev=duck                | (501,358)/(397,367) |  104 | 4968/4919
    5696 | enemy  | defense    | state=highBlock prev=lowBlock            | (508,354)/(398,366) |  111 | 4969/4920
    5709 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (505,355)/(399,365) |  106 | 4969/4920
    5762 | player | defense    | state=duck prev=highBlock                | (494,360)/(397,364) |   98 | 4969/4921
    5789 | enemy  | punch      | punch=rightUppercut feint=false charged= | (486,363)/(395,362) |   91 | 4970/4917
    5803 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (486,363)/(395,362) |   91 | 4970/4917
    5803 | enemy  | defense    | state=duck prev=highBlock                | (486,363)/(395,362) |   91 | 4970/4917
    5816 | player | defense    | state=lowBlock prev=duck                 | (486,362)/(395,362) |   91 | 4970/4918
    5909 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (486,363)/(393,362) |   93 | 4971/4919
    5909 | enemy  | defense    | state=none prev=duck                     | (486,363)/(393,362) |   93 | 4971/4919
    5962 | enemy  | defense    | state=highBlock prev=none                | (486,359)/(390,360) |   96 | 4971/4920
    6003 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (486,356)/(391,359) |   95 | 4972/4920
    6016 | enemy  | defense    | state=lowBlock prev=highBlock            | (486,355)/(392,358) |   94 | 4972/4920
    6069 | enemy  | defense    | state=highBlock prev=lowBlock            | (486,351)/(395,358) |   91 | 4972/4921
    6069 | enemy  | punch      | punch=cross feint=false charged=false bo | (486,350)/(395,359) |   91 | 4972/4920
    6083 | enemy  | defense    | state=none prev=highBlock                | (486,350)/(395,359) |   91 | 4973/4920
    6109 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (486,348)/(395,360) |   91 | 4973/4920
    6190 | player | defense    | state=highBlock prev=lowBlock            | (485,344)/(395,363) |   92 | 4974/4921
    6190 | player | punch      | punch=jab feint=false charged=false body | (485,345)/(395,363) |   92 | 4973/4921
    6203 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (485,345)/(395,363) |   92 | 4973/4921
    6203 | player | defense    | state=none prev=highBlock                | (485,345)/(395,363) |   92 | 4973/4921
    6310 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (487,353)/(396,367) |   92 | 4974/4923
    6350 | enemy  | punch      | punch=leftHook feint=false charged=false | (488,357)/(396,368) |   93 | 4975/4922
    6363 | enemy  | defense    | state=duck prev=none                     | (488,357)/(396,369) |   93 | 4975/4922
    6402 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (489,360)/(396,370) |   93 | 4975/4923
    6510 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (488,366)/(396,374) |   93 | 4976/4924
    6523 | player | punch      | punch=cross feint=false charged=false bo | (488,366)/(396,375) |   92 | 4975/4924
    6603 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (486,367)/(396,377) |   90 | 4976/4926
    6710 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (483,369)/(391,378) |   92 | 4977/4927
    6736 | player | defense    | state=duck prev=none                     | (482,370)/(391,379) |   91 | 4977/4927
    6803 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (488,366)/(391,378) |   98 | 4978/4928
    6897 | player | defense    | state=none prev=duck                     | (489,363)/(402,381) |   89 | 4979/4930
    6910 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (489,362)/(402,382) |   89 | 4979/4930
    6950 | player | defense    | state=duck prev=none                     | (489,363)/(403,385) |   89 | 4980/4930
    6990 | enemy  | defense    | state=lowBlock prev=duck                 | (489,365)/(404,388) |   88 | 4981/4931
    7003 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (489,365)/(404,389) |   88 | 4981/4931
    7003 | player | defense    | state=highBlock prev=duck                | (489,365)/(404,389) |   88 | 4981/4931
    7043 | enemy  | defense    | state=highBlock prev=lowBlock            | (488,365)/(403,386) |   87 | 4981/4932
    7057 | player | defense    | state=duck prev=highBlock                | (487,364)/(403,385) |   87 | 4982/4932
    7057 | player | punch      | punch=jab feint=false charged=false body | (487,363)/(403,385) |   87 | 4981/4932
    7096 | enemy  | defense    | state=lowBlock prev=highBlock            | (487,361)/(402,382) |   87 | 4981/4932
    7110 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (486,360)/(402,381) |   87 | 4981/4933
    7176 | enemy  | punch      | punch=cross feint=false charged=false bo | (485,354)/(395,377) |   92 | 4982/4932
    7190 | enemy  | defense    | state=none prev=lowBlock                 | (485,354)/(395,377) |   92 | 4982/4932
    7203 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (485,353)/(393,377) |   95 | 4983/4932
    7296 | player | punch      | punch=leftUppercut feint=false charged=f | (483,346)/(374,376) |  113 | 4981/4934
    7310 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (483,345)/(371,375) |  116 | 4982/4934
    7376 | enemy  | defense    | state=duck prev=none                     | (482,340)/(357,374) |  129 | 4982/4935
    7403 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (481,339)/(352,374) |  134 | 4983/4935
