=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T18:31:03.459Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: Brawler
Player Level: 1 | Enemy Level: 1
AI Difficulty: champion
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 75" | Enemy Arm: 67"
Practice Mode: true

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 7 thrown, 5 landed (71%) 5 body
  cross: 11 thrown, 6 landed (55%) 1 charged 6 body
  leftUppercut: 4 thrown, 2 landed (50%) 1 charged 3 body
  rightUppercut: 4 thrown, 4 landed (100%) 1 charged 2 body
ENEMY:
  jab: 7 thrown, 1 landed (14%) 1 charged
  cross: 7 thrown, 1 landed (14%) 1 charged 1 body
  leftHook: 4 thrown, 0 landed (0%) 3 body
  rightHook: 5 thrown, 2 landed (40%) 4 body
  leftUppercut: 3 thrown, 1 landed (33%) 3 body
  rightUppercut: 3 thrown, 3 landed (100%) 3 body

--- MOVEMENT ---
Player distance traveled: 3476px | Avg dist from enemy: 103px
Time in range: 12.1s | Out of range: 18.3s

--- DEFENSE ---
Player: 10 ducks, 1 full guards, 0 high blocks, 0 low blocks, 0 blocks hit, 6 dodges
Enemy: 66 ducks, 2 full guards, 15 high blocks, 60 low blocks, 3 blocks hit, 5 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 979/1127
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 979/1127
      27 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(520,259) |  240 | 979/1127
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=0 | (280,260)/(520,259) |  240 | 979/1127
     200 | player | move       | pDef=fullGuard pStance=neutral pRhythm=0 | (280,260)/(511,256) |  231 | 979/1127
     240 | enemy  | defense    | state=lowBlock prev=duck                 | (280,260)/(511,255) |  231 | 979/1127
     307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=0 | (280,260)/(511,259) |  231 | 979/1127
     347 | enemy  | defense    | state=duck prev=lowBlock                 | (280,260)/(509,261) |  229 | 979/1127
     400 | player | move       | pDef=fullGuard pStance=neutral pRhythm=0 | (280,260)/(500,262) |  220 | 979/1127
     400 | enemy  | defense    | state=lowBlock prev=duck                 | (280,260)/(500,262) |  220 | 979/1127
     454 | enemy  | defense    | state=duck prev=lowBlock                 | (280,260)/(491,259) |  211 | 979/1127
     507 | player | move       | pDef=fullGuard pStance=neutral pRhythm=0 | (280,260)/(484,258) |  204 | 979/1127
     507 | enemy  | defense    | state=lowBlock prev=duck                 | (280,260)/(484,258) |  204 | 979/1127
     560 | enemy  | defense    | state=duck prev=lowBlock                 | (280,260)/(482,259) |  202 | 979/1127
     600 | player | move       | pDef=fullGuard pStance=neutral pRhythm=0 | (280,260)/(475,257) |  195 | 979/1127
     667 | enemy  | defense    | state=lowBlock prev=duck                 | (280,260)/(473,253) |  193 | 979/1127
     680 | player | defense    | state=duck prev=fullGuard                | (280,260)/(470,253) |  190 | 979/1127
     706 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (280,260)/(466,251) |  186 | 979/1127
     720 | enemy  | defense    | state=highBlock prev=lowBlock            | (280,260)/(464,252) |  184 | 979/1127
     774 | enemy  | defense    | state=lowBlock prev=highBlock            | (280,260)/(457,255) |  177 | 979/1127
     800 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (280,260)/(457,257) |  177 | 979/1127
     907 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (280,260)/(457,253) |  177 | 979/1127
     934 | enemy  | defense    | state=none prev=lowBlock                 | (280,260)/(457,253) |  177 | 979/1127
     986 | enemy  | defense    | state=highBlock prev=none                | (280,260)/(457,254) |  177 | 979/1127
    1013 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (280,260)/(457,253) |  177 | 979/1127
    1094 | enemy  | defense    | state=duck prev=highBlock                | (280,260)/(448,256) |  168 | 979/1127
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (280,260)/(448,257) |  168 | 979/1127
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (290,260)/(448,262) |  158 | 979/1127
    1200 | enemy  | defense    | state=highBlock prev=duck                | (290,260)/(448,262) |  158 | 979/1127
    1254 | enemy  | defense    | state=lowBlock prev=highBlock            | (299,260)/(448,265) |  149 | 979/1127
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (309,260)/(448,266) |  139 | 979/1127
    1361 | enemy  | defense    | state=duck prev=lowBlock                 | (318,260)/(448,265) |  130 | 979/1127
    1401 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (326,260)/(448,267) |  122 | 979/1127
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (345,260)/(447,273) |  103 | 979/1127
    1521 | enemy  | defense    | state=lowBlock prev=duck                 | (347,260)/(447,272) |  101 | 979/1127
    1574 | enemy  | defense    | state=duck prev=lowBlock                 | (357,260)/(450,269) |   94 | 979/1127
    1587 | enemy  | punch      | punch=jab feint=false charged=false body | (362,260)/(455,268) |   93 | 979/1125
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (362,260)/(455,268) |   93 | 979/1125
    1654 | player | punch      | punch=cross feint=undefined charged=fals | (374,260)/(464,266) |   90 | 977/1126
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (381,260)/(473,264) |   92 | 978/1126
    1721 | player | hit        | punch=cross damage=8 crit=false stun=fal | (386,260)/(477,264) |   92 | 978/1119
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (398,260)/(491,261) |   93 | 979/1119
