=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T19:17:08.569Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: OutBoxer
Player Level: 100 | Enemy Level: 100
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 75" | Enemy Arm: 67"
Practice Mode: true

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 4 thrown, 0 landed (0%)
  cross: 16 thrown, 9 landed (56%) 2 charged 9 body
  leftHook: 2 thrown, 1 landed (50%) 2 body
  rightHook: 15 thrown, 4 landed (27%) 2 charged 6 body
  leftUppercut: 6 thrown, 2 landed (33%) 1 body
  rightUppercut: 6 thrown, 3 landed (50%) 1 charged 2 body
ENEMY:
  cross: 3 thrown, 1 landed (33%) 1 body
  leftHook: 1 thrown, 0 landed (0%)
  leftUppercut: 4 thrown, 2 landed (50%) 4 body

--- MOVEMENT ---
Player distance traveled: 1823px | Avg dist from enemy: 95px
Time in range: 14.5s | Out of range: 16s

--- DEFENSE ---
Player: 8 ducks, 6 full guards, 0 high blocks, 0 low blocks, 2 blocks hit, 0 dodges
Enemy: 13 ducks, 6 full guards, 23 high blocks, 12 low blocks, 17 blocks hit, 2 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 9800/9790
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 9800/9790
      27 | enemy  | defense    | state=duck prev=fullGuard                | (280,260)/(523,261) |  243 | 9800/9790
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(540,270) |  261 | 9800/9790
     200 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(561,279) |  282 | 9800/9790
     227 | enemy  | defense    | state=highBlock prev=duck                | (280,260)/(567,280) |  288 | 9800/9790
     307 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(586,278) |  307 | 9800/9790
     333 | player | defense    | state=duck prev=fullGuard                | (280,260)/(592,277) |  313 | 9800/9790
     414 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(611,275) |  332 | 9800/9790
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(602,276) |  322 | 9800/9790
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(580,280) |  300 | 9800/9790
     706 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(555,280) |  275 | 9800/9790
     800 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(533,273) |  253 | 9800/9790
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(508,267) |  228 | 9800/9790
    1000 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(486,262) |  206 | 9800/9790
    1067 | enemy  | defense    | state=none prev=highBlock                | (280,260)/(470,258) |  190 | 9800/9790
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(461,256) |  181 | 9800/9790
    1201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(439,252) |  159 | 9800/9790
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(413,247) |  134 | 9800/9790
    1401 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(391,245) |  112 | 9800/9790
