=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T19:26:15.827Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: BoxerPuncher
Player Level: 100 | Enemy Level: 100
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: double | Total Rounds: 3
Player Arm: 75" | Enemy Arm: 67"
Practice Mode: true

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 10 thrown, 3 landed (30%)
  cross: 29 thrown, 13 landed (45%) 12 body
  leftHook: 3 thrown, 1 landed (33%)
  rightHook: 3 thrown, 0 landed (0%)
  leftUppercut: 18 thrown, 8 landed (44%) 4 body
  rightUppercut: 5 thrown, 3 landed (60%)
ENEMY:
  jab: 6 thrown, 0 landed (0%)
  cross: 3 thrown, 0 landed (0%)
  leftHook: 1 thrown, 0 landed (0%)
  rightHook: 2 thrown, 0 landed (0%) 2 body
  rightUppercut: 4 thrown, 1 landed (25%) 1 charged 4 body

--- MOVEMENT ---
Player distance traveled: 2618px | Avg dist from enemy: 79px
Time in range: 17.7s | Out of range: 12.4s

--- DEFENSE ---
Player: 9 ducks, 10 full guards, 0 high blocks, 0 low blocks, 7 blocks hit, 3 dodges
Enemy: 19 ducks, 4 full guards, 17 high blocks, 11 low blocks, 14 blocks hit, 13 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4900/4895
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4900/4895
     107 | player | move       | pDef=fullGuard pStance=neutral pRhythm=2 | (280,260)/(504,248) |  224 | 4900/4895
     120 | enemy  | defense    | state=highBlock prev=fullGuard           | (280,260)/(501,247) |  221 | 4900/4895
     213 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(481,244) |  201 | 4900/4895
     213 | player | defense    | state=duck prev=fullGuard                | (280,260)/(481,244) |  201 | 4900/4895
     307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(460,241) |  181 | 4900/4895
     400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(440,239) |  162 | 4900/4895
     507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(417,237) |  139 | 4900/4895
     600 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(397,237) |  119 | 4900/4895
     707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(375,246) |   97 | 4900/4895
     747 | player | punch      | punch=cross feint=false charged=false bo | (280,260)/(367,249) |   88 | 4898/4895
     800 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(357,254) |   77 | 4899/4895
     800 | player | hit        | punch=cross damage=15 crit=false stun=fa | (280,260)/(354,255) |   74 | 4899/4880
     907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(339,260) |   59 | 4900/4880
     934 | enemy  | punch      | punch=cross feint=false charged=false bo | (280,260)/(330,262) |   50 | 4900/4878
     947 | enemy  | defense    | state=none prev=highBlock                | (280,260)/(330,262) |   50 | 4900/4878
     960 | player | punch      | punch=cross feint=false charged=false bo | (280,260)/(327,263) |   47 | 4898/4878
     987 | player | dodge      | punch=cross method=duck                  | (280,260)/(319,265) |   39 | 4899/4878
    1000 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (280,260)/(319,265) |   39 | 4899/4878
    1014 | player | hit        | punch=cross damage=12 crit=false stun=fa | (280,260)/(313,267) |   34 | 4899/4866
    1067 | enemy  | defense    | state=highBlock prev=none                | (279,260)/(309,270) |   32 | 4900/4866
    1107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (275,258)/(306,267) |   32 | 4900/4866
    1200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (265,257)/(297,258) |   32 | 4900/4866
    1307 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(285,244) |   32 | 4900/4866
    1307 | player | punch      | punch=cross feint=false charged=false bo | (257,259)/(285,244) |   32 | 4898/4866
    1400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(289,250) |   33 | 4899/4866
    1507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(292,257) |   35 | 4900/4866
    1601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(294,264) |   37 | 4900/4866
    1641 | player | punch      | punch=cross feint=false charged=false bo | (257,259)/(294,267) |   37 | 4898/4866
    1654 | enemy  | defense    | state=none prev=highBlock                | (257,259)/(294,268) |   38 | 4898/4866
    1694 | player | hit        | punch=cross damage=36 crit=true stun=fal | (257,259)/(294,272) |   39 | 4898/4830
    1707 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(304,276) |   50 | 4898/4830
    1734 | enemy  | defense    | state=fullGuard prev=none                | (257,259)/(304,277) |   50 | 4896/4830
    1801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(304,279) |   51 | 4890/4830
    1907 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(305,275) |   51 | 4881/4830
    2001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(307,272) |   51 | 4872/4830
    2041 | player | punch      | punch=cross feint=false charged=false bo | (257,259)/(307,271) |   52 | 4866/4830
    2094 | enemy  | block      | punch=cross damage=18 blocked=true       | (257,259)/(308,268) |   52 | 4862/4812
    2107 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(308,268) |   52 | 4862/4812
    2201 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(309,265) |   52 | 4854/4812
    2241 | enemy  | defense    | state=highBlock prev=fullGuard           | (257,259)/(309,263) |   52 | 4851/4812
    2241 | player | punch      | punch=cross feint=false charged=false bo | (257,259)/(309,263) |   52 | 4848/4812
    2294 | player | hit        | punch=cross damage=12 crit=false stun=fa | (257,259)/(310,261) |   53 | 4844/4799
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (257,259)/(313,261) |   56 | 4844/4799
