=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T19:58:14.384Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: BoxerPuncher
Player Level: 100 | Enemy Level: 66
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"
Practice Mode: false

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 9 thrown, 4 landed (44%) 1 charged 1 body
  cross: 12 thrown, 2 landed (17%) 2 charged 1 body
  leftHook: 6 thrown, 1 landed (17%) 3 body
  rightHook: 2 thrown, 1 landed (50%)
  leftUppercut: 3 thrown, 2 landed (67%) 1 charged 3 body
  rightUppercut: 2 thrown, 1 landed (50%) 2 body
ENEMY:
  jab: 4 thrown, 0 landed (0%)
  cross: 7 thrown, 2 landed (29%)
  leftHook: 1 thrown, 0 landed (0%) 1 charged 1 body
  rightHook: 5 thrown, 1 landed (20%) 3 body
  leftUppercut: 2 thrown, 1 landed (50%) 2 body

--- MOVEMENT ---
Player distance traveled: 9634px | Avg dist from enemy: 80px
Time in range: 34.1s | Out of range: 25.9s

--- DEFENSE ---
Player: 27 ducks, 2 full guards, 54 high blocks, 7 low blocks, 3 blocks hit, 2 dodges
Enemy: 17 ducks, 4 full guards, 52 high blocks, 5 low blocks, 14 blocks hit, 0 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4895/3385
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4895/3385
      27 | player | defense    | state=duck prev=fullGuard                | (277,261)/(522,259) |  245 | 4895/3385
     107 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (260,265)/(538,252) |  278 | 4895/3385
     200 | player | move       | pDef=duck pStance=neutral pRhythm=0 pPun | (274,262)/(545,246) |  271 | 4895/3385
     200 | enemy  | defense    | state=highBlock prev=fullGuard           | (274,262)/(545,246) |  271 | 4895/3385
     307 | player | move       | pDef=highBlock pStance=neutral pRhythm=0 | (297,256)/(523,243) |  226 | 4895/3385
     307 | player | defense    | state=highBlock prev=duck                | (297,256)/(523,243) |  226 | 4895/3385
     400 | player | move       | pDef=highBlock pStance=neutral pRhythm=0 | (317,251)/(504,240) |  187 | 4895/3385
     507 | player | move       | pDef=highBlock pStance=neutral pRhythm=0 | (340,245)/(483,237) |  143 | 4895/3385
     587 | player | defense    | state=none prev=highBlock                | (357,240)/(466,235) |  110 | 4895/3385
     600 | player | move       | pDef=none pStance=neutral pRhythm=0 pPun | (360,240)/(463,234) |  104 | 4895/3385
     707 | player | move       | pDef=none pStance=neutral pRhythm=0 pPun | (383,243)/(442,238) |   60 | 4895/3385
     760 | enemy  | defense    | state=none prev=highBlock                | (394,245)/(431,241) |   37 | 4895/3385
     800 | player | move       | pDef=none pStance=neutral pRhythm=0 pPun | (397,247)/(429,243) |   32 | 4895/3385
