=== HANDZ INPUT RECORDING (SINGLE ROUND) ===
Date: 2026-02-21T20:04:29.456Z

--- FIGHT SETTINGS ---
Player Archetype: BoxerPuncher | Enemy Archetype: OutBoxer
Player Level: 100 | Enemy Level: 66
AI Difficulty: journeyman
Round Duration: 60s | Timer Speed: normal | Total Rounds: 3
Player Arm: 60" | Enemy Arm: 60"
Practice Mode: false

=== ROUND 2 === (60.0s)

--- PUNCH SUMMARY ---
PLAYER:
  jab: 16 thrown, 4 landed (25%) 1 charged
  cross: 14 thrown, 2 landed (14%) 1 body
  leftHook: 3 thrown, 0 landed (0%) 2 charged 2 body
  rightHook: 5 thrown, 2 landed (40%) 4 body
  leftUppercut: 2 thrown, 0 landed (0%) 2 body
  rightUppercut: 4 thrown, 2 landed (50%) 1 charged 4 body
ENEMY:
  jab: 5 thrown, 2 landed (40%) 2 charged 1 body
  cross: 6 thrown, 3 landed (50%)
  leftHook: 4 thrown, 2 landed (50%) 4 body
  rightHook: 1 thrown, 0 landed (0%) 1 body
  rightUppercut: 2 thrown, 2 landed (100%) 2 body

--- MOVEMENT ---
Player distance traveled: 9470px | Avg dist from enemy: 89px
Time in range: 26.3s | Out of range: 33.7s

--- DEFENSE ---
Player: 20 ducks, 2 full guards, 57 high blocks, 10 low blocks, 1 blocks hit, 1 dodges
Enemy: 18 ducks, 4 full guards, 54 high blocks, 3 low blocks, 11 blocks hit, 3 dodges

--- KNOCKDOWNS ---
Player scored: 0 | Enemy scored: 0

--- EVENT LOG ---
Time(ms) | Actor  | Event      | Details                                  | Positions (P/E) | Dist | Stam(P/E)
------------------------------------------------------------------------------------------------------------------------
      13 | player | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4900/3382
      13 | enemy  | defense    | state=fullGuard prev=none                | (280,260)/(520,260) |  240 | 4900/3382
      40 | player | defense    | state=highBlock prev=fullGuard           | (274,261)/(515,263) |  241 | 4900/3382
      53 | enemy  | defense    | state=none prev=fullGuard                | (271,262)/(512,265) |  241 | 4900/3382
     107 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (260,264)/(502,271) |  242 | 4900/3382
     200 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (240,268)/(482,271) |  242 | 4900/3382
     307 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (251,265)/(458,265) |  207 | 4900/3382
     333 | player | defense    | state=none prev=highBlock                | (257,264)/(452,264) |  195 | 4900/3382
     413 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (274,261)/(434,263) |  160 | 4900/3382
     506 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (294,261)/(413,268) |  119 | 4900/3382
     600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (314,266)/(392,272) |   78 | 4900/3382
     640 | enemy  | defense    | state=highBlock prev=none                | (323,268)/(384,273) |   61 | 4900/3382
     707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (337,272)/(369,275) |   32 | 4900/3382
     814 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (336,275)/(368,281) |   32 | 4900/3382
     907 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (348,280)/(378,290) |   32 | 4900/3382
     920 | player | defense    | state=highBlock prev=none                | (350,280)/(381,291) |   32 | 4900/3382
     934 | enemy  | defense    | state=none prev=highBlock                | (353,281)/(384,293) |   32 | 4900/3382
    1000 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (344,280)/(397,300) |   56 | 4900/3382
    1107 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (321,276)/(419,311) |  103 | 4900/3382
    1201 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (307,273)/(437,321) |  139 | 4900/3382
    1307 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (330,277)/(458,334) |  140 | 4900/3382
    1401 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (350,280)/(451,328) |  112 | 4900/3382
    1507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (373,285)/(432,314) |   65 | 4900/3382
    1507 | player | defense    | state=none prev=highBlock                | (373,285)/(432,314) |   65 | 4900/3382
    1520 | enemy  | defense    | state=highBlock prev=none                | (376,286)/(429,312) |   59 | 4900/3382
    1520 | enemy  | punch      | punch=cross feint=false charged=false bo | (379,287)/(427,310) |   54 | 4900/3380
    1533 | enemy  | defense    | state=none prev=highBlock                | (379,287)/(427,310) |   54 | 4900/3381
    1561 | player | punch      | punch=jab feint=false charged=true body= | (387,289)/(422,306) |   39 | 4897/3381
    1574 | enemy  | hit        | punch=cross damage=10 crit=false stun=fa | (390,289)/(422,305) |   36 | 4887/3382
    1600 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (390,289)/(425,306) |   39 | 4887/3382
    1614 | player | hit        | punch=jab damage=225 crit=true stun=fals | (396,290)/(431,308) |   39 | 4887/3157
    1707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (398,286)/(450,317) |   60 | 4888/3157
    1801 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (383,270)/(459,323) |   92 | 4888/3157
    1894 | player | defense    | state=highBlock prev=none                | (369,254)/(467,329) |  123 | 4888/3157
    1907 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (367,252)/(469,329) |  128 | 4888/3157
    2001 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (381,267)/(479,332) |  118 | 4888/3157
    2108 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (396,285)/(486,332) |  101 | 4888/3157
    2188 | player | defense    | state=duck prev=highBlock                | (409,297)/(479,325) |   75 | 4888/3157
    2200 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (412,298)/(478,324) |   71 | 4888/3157
    2308 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (431,312)/(470,314) |   39 | 4888/3157
    2400 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (442,323)/(474,308) |   36 | 4888/3157
    2481 | player | defense    | state=none prev=duck                     | (424,325)/(483,303) |   62 | 4889/3158
    2507 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (419,326)/(485,302) |   71 | 4889/3158
    2601 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (399,328)/(495,297) |  102 | 4890/3159
    2707 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (408,318)/(507,295) |  102 | 4892/3161
    2774 | player | defense    | state=lowBlock prev=none                 | (420,309)/(515,294) |   96 | 4892/3162
    2801 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (425,305)/(518,294) |   94 | 4893/3162
    2840 | enemy  | defense    | state=highBlock prev=none                | (432,300)/(522,294) |   90 | 4893/3163
    2908 | player | move       | pDef=lowBlock pStance=neutral pRhythm=2  | (446,294)/(530,296) |   84 | 4894/3164
    2908 | player | punch      | punch=rightHook feint=false charged=fals | (448,294)/(530,296) |   81 | 4892/3164
    2920 | player | defense    | state=duck prev=lowBlock                 | (448,294)/(531,296) |   83 | 4892/3164
    3001 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (466,290)/(540,299) |   75 | 4893/3166
    3108 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (489,285)/(552,303) |   66 | 4894/3167
    3148 | enemy  | defense    | state=none prev=highBlock                | (489,282)/(556,306) |   70 | 4894/3168
    3174 | player | defense    | state=highBlock prev=duck                | (490,280)/(558,307) |   74 | 4895/3168
    3201 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (490,278)/(561,309) |   77 | 4895/3168
    3308 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (493,270)/(569,316) |   89 | 4896/3170
    3401 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (505,270)/(566,318) |   77 | 4897/3171
    3401 | enemy  | punch      | punch=jab feint=false charged=true body= | (508,271)/(565,318) |   74 | 4897/3168
    3455 | enemy  | hit        | punch=jab damage=310 crit=true stun=fals | (519,274)/(563,320) |   63 | 4587/3169
    3467 | player | defense    | state=none prev=highBlock                | (511,265)/(563,320) |   75 | 4587/3171
    3495 | player | defense    | state=duck prev=none                     | (514,266)/(562,320) |   72 | 4587/3171
    3507 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (515,267)/(561,321) |   71 | 4587/3171
    3507 | player | punch      | punch=rightHook feint=false charged=fals | (517,267)/(561,321) |   70 | 4586/3171
    3547 | enemy  | defense    | state=highBlock prev=none                | (520,268)/(560,322) |   67 | 4586/3171
    3601 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (526,269)/(557,323) |   63 | 4586/3171
    3708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (537,272)/(540,334) |   62 | 4586/3171
    3801 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (543,279)/(525,343) |   67 | 4586/3171
    3908 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (545,291)/(507,354) |   74 | 4586/3172
    3935 | player | defense    | state=highBlock prev=duck                | (546,294)/(503,357) |   77 | 4586/3173
    4002 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (547,301)/(492,364) |   84 | 4586/3173
    4108 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (558,295)/(476,373) |  114 | 4586/3175
    4201 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (567,290)/(486,354) |  104 | 4586/3176
    4307 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (574,288)/(497,331) |   88 | 4586/3177
    4401 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (576,291)/(502,317) |   78 | 4587/3178
    4428 | player | punch      | punch=leftHook feint=false charged=false | (577,292)/(501,315) |   79 | 4587/3178
    4441 | player | defense    | state=duck prev=highBlock                | (577,292)/(501,314) |   79 | 4587/3178
    4508 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (578,294)/(499,309) |   81 | 4588/3179
    4508 | enemy  | defense    | state=duck prev=highBlock                | (578,294)/(499,309) |   81 | 4588/3179
    4602 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (580,297)/(496,303) |   84 | 4589/3180
    4708 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (583,301)/(495,294) |   87 | 4591/3182
    4775 | player | punch      | punch=leftUppercut feint=false charged=f | (584,303)/(495,289) |   90 | 4589/3182
    4802 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (585,304)/(495,287) |   91 | 4589/3183
    4909 | player | move       | pDef=duck pStance=neutral pRhythm=2 pPun | (586,304)/(504,281) |   86 | 4591/3184
    5002 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (587,301)/(525,279) |   66 | 4592/3185
    5002 | player | defense    | state=highBlock prev=duck                | (587,301)/(525,279) |   66 | 4592/3185
    5081 | enemy  | defense    | state=lowBlock prev=duck                 | (588,298)/(543,277) |   50 | 4593/3186
    5109 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (588,297)/(548,277) |   44 | 4594/3186
    5201 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (591,302)/(534,273) |   64 | 4595/3187
    5309 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (583,307)/(510,269) |   82 | 4596/3188
    5309 | player | defense    | state=none prev=highBlock                | (583,307)/(510,269) |   82 | 4596/3188
    5389 | enemy  | defense    | state=none prev=lowBlock                 | (578,310)/(497,269) |   91 | 4597/3189
    5402 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (579,309)/(499,271) |   88 | 4598/3190
    5509 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (581,305)/(517,290) |   66 | 4599/3191
    5601 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (585,298)/(532,306) |   53 | 4600/3193
    5615 | player | defense    | state=highBlock prev=none                | (585,297)/(534,308) |   52 | 4601/3193
    5695 | enemy  | defense    | state=highBlock prev=none                | (599,290)/(538,315) |   66 | 4602/3194
    5709 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (601,289)/(538,316) |   69 | 4602/3194
    5802 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (619,279)/(540,323) |   91 | 4603/3195
    5909 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (641,269)/(548,328) |  110 | 4605/3197
    5922 | player | defense    | state=none prev=highBlock                | (643,268)/(551,327) |  110 | 4605/3197
    6002 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (657,262)/(562,321) |  112 | 4606/3198
    6109 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (650,254)/(576,312) |   95 | 4607/3200
    6202 | player | move       | pDef=none pStance=neutral pRhythm=2 pPun | (640,248)/(576,306) |   87 | 4609/3201
    6229 | player | defense    | state=highBlock prev=none                | (637,246)/(574,304) |   86 | 4609/3202
    6309 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (630,241)/(570,300) |   83 | 4610/3203
    6402 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (622,236)/(563,296) |   84 | 4611/3205
    6509 | player | move       | pDef=highBlock pStance=neutral pRhythm=2 | (613,231)/(541,308) |  106 | 4613/3206
